edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
EDGE,unconstrained,risk,0.5031889081001282,40,0.02162315882742405,36,0.47407597303390503,4,81.0,-0.4815657492727041,-0.029112935066223145
EDGE,unconstrained,intervention,0.4200884252786636,40,0.017602454870939255,31,0.27953481674194336,4,85.75,-0.4024859704077243,-0.14055360853672022
EDGE,unconstrained,all_concepts,0.3060840964317322,40,-0.037056926637887955,64,0.2349175661802292,2,96.0,-0.34314102306962013,-0.07116653025150299
EDGE,unconstrained,problem_analysis,0.466359481215477,40,0.011124568991363049,30,0.32956600189208984,4,87.5,-0.45523491222411394,-0.13679347932338715
EDGE,unconstrained,theoretical_insight,0.4077548384666443,40,0.012508592568337917,28,0.13727852702140808,2,83.75,-0.39524624589830637,-0.2704763114452362
EDGE,unconstrained,design_rationale,0.3605238795280456,40,0.026471735909581184,29,0.3058646321296692,3,92.25,-0.3340521436184644,-0.05465924739837641
EDGE,unconstrained,implementation_mechanism,0.4250656217336654,40,0.007412713952362537,31,0.31749287247657776,3,90.5,-0.4176529077813029,-0.10757274925708765
EDGE,unconstrained,validation_evidence,0.4250119924545288,40,0.0130911311134696,30,,0,100.0,-0.4119208613410592,
EDGE,single_risk,risk,0.4918421357870102,40,0.006798014510422945,34,0.4938433766365051,4,84.0,-0.48504412127658725,0.002001240849494934
EDGE,single_risk,intervention,0.4213501811027527,40,0.004801409784704447,33,0.29809239506721497,3,86.5,-0.41654877131804824,-0.12325778603553772
EDGE,single_risk,all_concepts,0.3043414279818535,40,-0.01949700154364109,62,0.27076348662376404,3,93.0,-0.3238384295254946,-0.03357794135808945
EDGE,single_risk,problem_analysis,0.4434771835803985,40,0.020705556496977806,29,0.3053932189941406,2,93.75,-0.4227716270834207,-0.13808396458625788
EDGE,single_risk,theoretical_insight,0.3929056972265243,40,0.013762881979346275,30,0.13598977029323578,2,89.0,-0.379142815247178,-0.2569159269332885
EDGE,single_risk,design_rationale,0.3657724559307098,40,0.008244357071816921,29,0.32339751720428467,3,88.5,-0.35752809885889286,-0.042374938726425115
EDGE,single_risk,implementation_mechanism,0.3993549048900604,40,0.022971272468566895,33,0.2147577404975891,2,89.5,-0.37638363242149353,-0.1845971643924713
EDGE,single_risk,validation_evidence,0.4051278382539749,40,-0.010022428818047047,33,0.23392266035079956,2,91.25,-0.41515026707202196,-0.17120517790317535
EDGE,monotonic,risk,0.5076028257608414,40,0.004153415095061064,33,0.40232113003730774,4,72.0,-0.5034494106657803,-0.10528169572353363
EDGE,monotonic,intervention,0.4439222812652588,40,0.032004036009311676,31,0.23660233616828918,2,84.25,-0.4119182452559471,-0.2073199450969696
EDGE,monotonic,all_concepts,0.3080680593848228,40,-0.037484828382730484,61,0.26537731289863586,2,94.5,-0.3455528877675533,-0.042690746486186926
EDGE,monotonic,problem_analysis,0.4531171321868896,40,0.023075880482792854,29,,0,100.0,-0.43004125170409674,
EDGE,monotonic,theoretical_insight,0.3978018909692764,40,0.022823888808488846,29,0.11044484376907349,2,78.5,-0.3749780021607875,-0.2873570472002029
EDGE,monotonic,design_rationale,0.4008439183235168,40,0.04047442600131035,28,0.17444287240505219,2,81.75,-0.36036949232220644,-0.2264010459184646
EDGE,monotonic,implementation_mechanism,0.4052297472953796,40,0.014268551953136921,31,0.35576561093330383,4,88.25,-0.39096119534224266,-0.04946413636207575
