node_type,mode,threshold_from,threshold_to,n_nodes,centroid_sim_mean,centroid_sim_median,centroid_sim_std,centroid_sim_min,centroid_sim_max,high_stable_pct,moderate_pct,low_stable_pct
risk,unconstrained,EDGE,0.8,2639,0.9369,0.9675,0.0636,0.6008,0.994,0.9636,0.0364,0.0
risk,unconstrained,0.8,0.85,6977,0.974,0.9933,0.0469,0.5726,0.9996,0.9817,0.0183,0.0
risk,unconstrained,0.85,0.9,4760,0.9674,0.9924,0.0533,0.6477,0.9998,0.9735,0.0265,0.0
risk,unconstrained,0.9,0.95,3211,0.9603,0.9859,0.0542,0.6215,0.9996,0.9779,0.0221,0.0
risk,single_risk,EDGE,0.8,2515,0.9489,0.9714,0.0522,0.6057,0.9982,0.9746,0.0254,0.0
risk,single_risk,0.8,0.85,3471,0.9656,0.9918,0.0509,0.6879,0.9995,0.9842,0.0158,0.0
risk,single_risk,0.85,0.9,2796,0.9661,0.9892,0.0507,0.5498,0.9992,0.9828,0.0172,0.0
risk,single_risk,0.9,0.95,2534,0.9739,0.9916,0.0445,0.5858,0.9998,0.9866,0.0134,0.0
risk,monotonic,EDGE,0.8,2532,0.9348,0.9594,0.065,0.6293,0.9933,0.9566,0.0434,0.0
risk,monotonic,0.8,0.85,6308,0.9647,0.9862,0.0495,0.6177,0.9995,0.9826,0.0174,0.0
risk,monotonic,0.85,0.9,4341,0.9691,0.991,0.0513,0.6526,0.9998,0.9795,0.0205,0.0
risk,monotonic,0.9,0.95,3062,0.9658,0.9867,0.0508,0.6219,0.9997,0.983,0.017,0.0
risk,both,EDGE,0.8,2453,0.9525,0.9718,0.0543,0.673,0.9982,0.9755,0.0245,0.0
risk,both,0.8,0.85,3336,0.9638,0.9877,0.0538,0.5975,0.9994,0.9754,0.0246,0.0
risk,both,0.85,0.9,2714,0.9665,0.9877,0.0523,0.5739,0.9991,0.9768,0.0232,0.0
risk,both,0.9,0.95,2473,0.976,0.9929,0.0422,0.5764,0.9999,0.9911,0.0089,0.0
intervention,unconstrained,EDGE,0.8,2713,0.9271,0.9402,0.0672,0.6018,0.9946,0.9407,0.0593,0.0
intervention,unconstrained,0.8,0.85,3790,0.95,0.9853,0.0667,0.539,0.9982,0.9573,0.0427,0.0
intervention,unconstrained,0.85,0.9,2924,0.95,0.974,0.0618,0.5121,1.0,0.9685,0.0315,0.0
intervention,unconstrained,0.9,0.95,2719,0.9704,0.9936,0.0528,0.6254,1.0,0.9816,0.0184,0.0
intervention,single_risk,EDGE,0.8,2711,0.9301,0.9402,0.0656,0.5981,0.9949,0.941,0.059,0.0
intervention,single_risk,0.8,0.85,3751,0.9456,0.9715,0.0636,0.5446,0.9979,0.9536,0.0464,0.0
intervention,single_risk,0.85,0.9,2900,0.9492,0.9746,0.0614,0.5771,0.9979,0.9648,0.0352,0.0
intervention,single_risk,0.9,0.95,2718,0.9692,0.9915,0.0485,0.58,1.0,0.9849,0.0151,0.0
intervention,monotonic,EDGE,0.8,2669,0.9308,0.9624,0.0676,0.5742,0.9914,0.9352,0.0648,0.0
intervention,monotonic,0.8,0.85,3462,0.9563,0.9881,0.0629,0.5498,0.9991,0.9613,0.0387,0.0
intervention,monotonic,0.85,0.9,2840,0.9518,0.9685,0.0593,0.567,0.9979,0.9687,0.0313,0.0
intervention,monotonic,0.9,0.95,2675,0.9624,0.9861,0.0507,0.667,1.0,0.9832,0.0168,0.0
intervention,both,EDGE,0.8,2668,0.9326,0.9541,0.0667,0.6009,0.9951,0.9453,0.0547,0.0
intervention,both,0.8,0.85,3427,0.9532,0.9813,0.0622,0.4713,0.9983,0.9656,0.0341,0.0003
intervention,both,0.85,0.9,2822,0.953,0.9804,0.0625,0.4644,0.999,0.9674,0.0322,0.0004
intervention,both,0.9,0.95,2674,0.969,0.9891,0.0465,0.6555,1.0,0.9907,0.0093,0.0
all_concepts,unconstrained,EDGE,0.8,11423,0.9254,0.9474,0.0672,0.5977,0.9926,0.9319,0.0681,0.0
all_concepts,unconstrained,0.8,0.85,17072,0.9516,0.9761,0.0623,0.564,0.9991,0.9629,0.0371,0.0
all_concepts,unconstrained,0.85,0.9,13205,0.9476,0.9782,0.062,0.6007,0.9978,0.9665,0.0335,0.0
all_concepts,unconstrained,0.9,0.95,11840,0.9573,0.9829,0.0539,0.4188,1.0,0.977,0.0227,0.0003
all_concepts,single_risk,EDGE,0.8,11352,0.9321,0.9608,0.0649,0.6113,0.9942,0.9442,0.0558,0.0
all_concepts,single_risk,0.8,0.85,15514,0.9478,0.9671,0.062,0.5383,0.9982,0.9638,0.0362,0.0
all_concepts,single_risk,0.85,0.9,12493,0.9481,0.9681,0.0617,0.5747,0.9981,0.9589,0.0411,0.0
all_concepts,single_risk,0.9,0.95,11715,0.9586,0.9816,0.0537,0.5498,1.0,0.9799,0.0201,0.0
all_concepts,monotonic,EDGE,0.8,11071,0.9282,0.9572,0.0664,0.5069,0.9928,0.9366,0.0634,0.0
all_concepts,monotonic,0.8,0.85,14678,0.9518,0.9749,0.0622,0.5785,0.9984,0.9566,0.0434,0.0
all_concepts,monotonic,0.85,0.9,12229,0.9508,0.9688,0.0606,0.6032,0.9975,0.9585,0.0415,0.0
all_concepts,monotonic,0.9,0.95,11469,0.9606,0.9761,0.05,0.5175,1.0,0.9819,0.0181,0.0
all_concepts,both,EDGE,0.8,11059,0.9331,0.9583,0.0662,0.5963,0.9925,0.9417,0.0583,0.0
all_concepts,both,0.8,0.85,14083,0.9548,0.9841,0.0651,0.6213,0.9985,0.9585,0.0415,0.0
all_concepts,both,0.85,0.9,12055,0.9521,0.9839,0.0636,0.5982,0.9974,0.9611,0.0389,0.0
all_concepts,both,0.9,0.95,11463,0.962,0.9845,0.0518,0.4294,1.0,0.9812,0.0185,0.0003
problem_analysis,unconstrained,EDGE,0.8,2508,0.9189,0.946,0.0694,0.6258,0.9903,0.9199,0.0801,0.0
problem_analysis,unconstrained,0.8,0.85,5062,0.9596,0.9857,0.0599,0.6282,0.9992,0.9747,0.0253,0.0
problem_analysis,unconstrained,0.85,0.9,3357,0.9523,0.9837,0.0606,0.6579,0.9968,0.964,0.036,0.0
problem_analysis,unconstrained,0.9,0.95,2581,0.9508,0.9779,0.0592,0.6364,0.9991,0.9717,0.0283,0.0
problem_analysis,single_risk,EDGE,0.8,2450,0.9204,0.94,0.0708,0.6062,0.9942,0.9302,0.0698,0.0
problem_analysis,single_risk,0.8,0.85,3920,0.9531,0.9838,0.0657,0.5943,0.998,0.9574,0.0426,0.0
problem_analysis,single_risk,0.85,0.9,2845,0.9503,0.9867,0.0658,0.6209,0.9986,0.9536,0.0464,0.0
problem_analysis,single_risk,0.9,0.95,2482,0.958,0.9853,0.0561,0.638,0.9997,0.973,0.027,0.0
problem_analysis,monotonic,EDGE,0.8,2398,0.9213,0.948,0.0712,0.5782,0.9946,0.9416,0.0584,0.0
problem_analysis,monotonic,0.8,0.85,4023,0.9524,0.9813,0.0659,0.6265,0.9986,0.9597,0.0403,0.0
problem_analysis,monotonic,0.85,0.9,2859,0.9479,0.9827,0.0637,0.6242,0.9973,0.9507,0.0493,0.0
problem_analysis,monotonic,0.9,0.95,2433,0.9564,0.9879,0.0583,0.668,0.9995,0.9758,0.0242,0.0
problem_analysis,both,EDGE,0.8,2395,0.9267,0.9563,0.07,0.5973,0.9953,0.9311,0.0689,0.0
problem_analysis,both,0.8,0.85,3670,0.9569,0.9886,0.0648,0.6057,0.9986,0.958,0.042,0.0
problem_analysis,both,0.85,0.9,2748,0.9493,0.976,0.0653,0.6181,0.9981,0.9501,0.0499,0.0
problem_analysis,both,0.9,0.95,2431,0.9649,0.9936,0.0579,0.619,0.9997,0.9757,0.0243,0.0
theoretical_insight,unconstrained,EDGE,0.8,2206,0.9317,0.9658,0.0676,0.5078,0.9942,0.9451,0.0549,0.0
theoretical_insight,unconstrained,0.8,0.85,3143,0.9497,0.9806,0.0638,0.5496,0.9982,0.9513,0.0487,0.0
theoretical_insight,unconstrained,0.85,0.9,2475,0.9362,0.9606,0.0617,0.631,0.9986,0.9535,0.0465,0.0
theoretical_insight,unconstrained,0.9,0.95,2255,0.9516,0.976,0.0567,0.6512,0.999,0.9752,0.0248,0.0
theoretical_insight,single_risk,EDGE,0.8,2200,0.9302,0.9524,0.0659,0.5005,0.9946,0.9464,0.0536,0.0
theoretical_insight,single_risk,0.8,0.85,2933,0.9427,0.9673,0.0625,0.6465,0.9984,0.9519,0.0481,0.0
theoretical_insight,single_risk,0.85,0.9,2375,0.9447,0.9739,0.0606,0.6153,0.9983,0.9655,0.0345,0.0
theoretical_insight,single_risk,0.9,0.95,2241,0.9524,0.9748,0.0525,0.6161,1.0,0.9817,0.0183,0.0
