edge_config,mode,node_type,cluster_id,cluster_size,n_edge_nodes,edge_purity,is_gold_standard
EDGE,unconstrained,risk,3,81,81,1.0,True
EDGE,unconstrained,risk,14,66,66,1.0,True
EDGE,unconstrained,risk,1,123,123,1.0,True
EDGE,unconstrained,risk,10,87,87,1.0,True
EDGE,unconstrained,risk,22,71,71,1.0,True
EDGE,unconstrained,risk,26,86,86,1.0,True
EDGE,unconstrained,risk,2,81,81,1.0,True
EDGE,unconstrained,risk,9,43,43,1.0,True
EDGE,unconstrained,risk,6,220,220,1.0,True
EDGE,unconstrained,risk,11,87,87,1.0,True
EDGE,unconstrained,risk,25,103,103,1.0,True
EDGE,unconstrained,risk,13,64,64,1.0,True
EDGE,unconstrained,risk,20,141,141,1.0,True
EDGE,unconstrained,risk,28,75,75,1.0,True
EDGE,unconstrained,risk,4,149,149,1.0,True
EDGE,unconstrained,risk,19,69,69,1.0,True
EDGE,unconstrained,risk,21,32,32,1.0,True
EDGE,unconstrained,risk,17,26,26,1.0,True
EDGE,unconstrained,risk,0,165,165,1.0,True
EDGE,unconstrained,risk,37,20,20,1.0,True
EDGE,unconstrained,risk,24,79,79,1.0,True
EDGE,unconstrained,risk,12,38,38,1.0,True
EDGE,unconstrained,risk,36,95,95,1.0,True
EDGE,unconstrained,risk,5,40,40,1.0,True
EDGE,unconstrained,risk,23,55,55,1.0,True
EDGE,unconstrained,risk,32,11,11,1.0,True
EDGE,unconstrained,risk,7,51,51,1.0,True
EDGE,unconstrained,risk,35,51,51,1.0,True
EDGE,unconstrained,risk,18,48,48,1.0,True
EDGE,unconstrained,risk,30,54,54,1.0,True
EDGE,unconstrained,risk,34,10,10,1.0,True
EDGE,unconstrained,risk,15,25,25,1.0,True
EDGE,unconstrained,risk,38,26,26,1.0,True
EDGE,unconstrained,risk,29,144,144,1.0,True
EDGE,unconstrained,risk,8,20,20,1.0,True
EDGE,unconstrained,risk,39,46,46,1.0,True
EDGE,unconstrained,risk,33,27,27,1.0,True
EDGE,unconstrained,risk,16,18,18,1.0,True
EDGE,unconstrained,risk,27,5,5,1.0,True
EDGE,unconstrained,risk,31,7,7,1.0,True
EDGE,single_risk,risk,32,42,42,1.0,True
EDGE,single_risk,risk,10,49,49,1.0,True
EDGE,single_risk,risk,9,111,111,1.0,True
EDGE,single_risk,risk,2,206,206,1.0,True
EDGE,single_risk,risk,6,74,74,1.0,True
EDGE,single_risk,risk,7,60,60,1.0,True
EDGE,single_risk,risk,1,101,101,1.0,True
EDGE,single_risk,risk,14,84,84,1.0,True
EDGE,single_risk,risk,29,31,31,1.0,True
EDGE,single_risk,risk,27,87,87,1.0,True
EDGE,single_risk,risk,15,92,92,1.0,True
EDGE,single_risk,risk,11,71,71,1.0,True
EDGE,single_risk,risk,20,145,145,1.0,True
EDGE,single_risk,risk,28,74,74,1.0,True
EDGE,single_risk,risk,0,200,200,1.0,True
EDGE,single_risk,risk,34,69,69,1.0,True
EDGE,single_risk,risk,26,111,111,1.0,True
EDGE,single_risk,risk,22,24,24,1.0,True
EDGE,single_risk,risk,18,65,65,1.0,True
EDGE,single_risk,risk,25,79,79,1.0,True
EDGE,single_risk,risk,31,27,27,1.0,True
EDGE,single_risk,risk,21,88,88,1.0,True
EDGE,single_risk,risk,4,33,33,1.0,True
EDGE,single_risk,risk,8,18,18,1.0,True
EDGE,single_risk,risk,30,54,54,1.0,True
EDGE,single_risk,risk,23,9,9,1.0,True
EDGE,single_risk,risk,3,99,99,1.0,True
EDGE,single_risk,risk,13,51,51,1.0,True
EDGE,single_risk,risk,39,6,6,1.0,True
EDGE,single_risk,risk,12,23,23,1.0,True
EDGE,single_risk,risk,16,48,48,1.0,True
EDGE,single_risk,risk,24,123,123,1.0,True
EDGE,single_risk,risk,33,21,21,1.0,True
EDGE,single_risk,risk,35,3,3,1.0,True
EDGE,single_risk,risk,17,61,61,1.0,True
EDGE,single_risk,risk,19,52,52,1.0,True
EDGE,single_risk,risk,36,24,24,1.0,True
EDGE,single_risk,risk,37,9,9,1.0,True
EDGE,single_risk,risk,5,4,4,1.0,True
EDGE,single_risk,risk,38,1,1,1.0,True
EDGE,monotonic,risk,37,39,39,1.0,True
EDGE,monotonic,risk,0,47,47,1.0,True
EDGE,monotonic,risk,21,99,99,1.0,True
EDGE,monotonic,risk,2,198,198,1.0,True
EDGE,monotonic,risk,14,52,52,1.0,True
EDGE,monotonic,risk,4,92,92,1.0,True
EDGE,monotonic,risk,31,60,60,1.0,True
EDGE,monotonic,risk,11,90,90,1.0,True
EDGE,monotonic,risk,29,34,34,1.0,True
EDGE,monotonic,risk,32,89,89,1.0,True
EDGE,monotonic,risk,16,37,37,1.0,True
EDGE,monotonic,risk,8,122,122,1.0,True
EDGE,monotonic,risk,20,29,29,1.0,True
EDGE,monotonic,risk,22,116,116,1.0,True
EDGE,monotonic,risk,36,83,83,1.0,True
EDGE,monotonic,risk,34,127,127,1.0,True
EDGE,monotonic,risk,1,101,101,1.0,True
EDGE,monotonic,risk,30,103,103,1.0,True
EDGE,monotonic,risk,35,22,22,1.0,True
EDGE,monotonic,risk,6,89,89,1.0,True
EDGE,monotonic,risk,15,81,81,1.0,True
EDGE,monotonic,risk,24,30,30,1.0,True
EDGE,monotonic,risk,25,94,94,1.0,True
EDGE,monotonic,risk,10,63,63,1.0,True
EDGE,monotonic,risk,26,12,12,1.0,True
EDGE,monotonic,risk,9,29,29,1.0,True
EDGE,monotonic,risk,33,44,44,1.0,True
EDGE,monotonic,risk,13,76,76,1.0,True
EDGE,monotonic,risk,17,53,53,1.0,True
EDGE,monotonic,risk,5,76,76,1.0,True
EDGE,monotonic,risk,18,10,10,1.0,True
EDGE,monotonic,risk,12,23,23,1.0,True
EDGE,monotonic,risk,3,168,168,1.0,True
EDGE,monotonic,risk,28,27,27,1.0,True
EDGE,monotonic,risk,19,17,17,1.0,True
EDGE,monotonic,risk,38,43,43,1.0,True
EDGE,monotonic,risk,23,27,27,1.0,True
EDGE,monotonic,risk,27,21,21,1.0,True
EDGE,monotonic,risk,39,7,7,1.0,True
EDGE,monotonic,risk,7,2,2,1.0,True
EDGE,both,risk,24,60,60,1.0,True
EDGE,both,risk,17,32,32,1.0,True
EDGE,both,risk,10,99,99,1.0,True
EDGE,both,risk,0,202,202,1.0,True
EDGE,both,risk,1,35,35,1.0,True
EDGE,both,risk,27,60,60,1.0,True
EDGE,both,risk,29,40,40,1.0,True
EDGE,both,risk,19,86,86,1.0,True
EDGE,both,risk,22,125,125,1.0,True
EDGE,both,risk,13,89,89,1.0,True
EDGE,both,risk,6,40,40,1.0,True
EDGE,both,risk,15,88,88,1.0,True
EDGE,both,risk,12,70,70,1.0,True
EDGE,both,risk,18,79,79,1.0,True
EDGE,both,risk,2,207,207,1.0,True
EDGE,both,risk,7,99,99,1.0,True
EDGE,both,risk,5,50,50,1.0,True
EDGE,both,risk,11,107,107,1.0,True
EDGE,both,risk,20,23,23,1.0,True
EDGE,both,risk,36,59,59,1.0,True
EDGE,both,risk,37,49,49,1.0,True
EDGE,both,risk,9,37,37,1.0,True
EDGE,both,risk,30,87,87,1.0,True
EDGE,both,risk,28,30,30,1.0,True
EDGE,both,risk,25,59,59,1.0,True
EDGE,both,risk,26,45,45,1.0,True
EDGE,both,risk,39,32,32,1.0,True
EDGE,both,risk,23,36,36,1.0,True
EDGE,both,risk,35,59,59,1.0,True
EDGE,both,risk,14,50,50,1.0,True
EDGE,both,risk,33,15,15,1.0,True
EDGE,both,risk,4,65,65,1.0,True
EDGE,both,risk,3,163,163,1.0,True
EDGE,both,risk,31,4,4,1.0,True
EDGE,both,risk,32,29,29,1.0,True
EDGE,both,risk,21,25,25,1.0,True
EDGE,both,risk,34,4,4,1.0,True
EDGE,both,risk,8,19,19,1.0,True
EDGE,both,risk,16,8,8,1.0,True
EDGE,both,risk,38,2,2,1.0,True
0.8,unconstrained,risk,10,544,82,0.1507,False
0.8,unconstrained,risk,29,215,112,0.5209,False
0.8,unconstrained,risk,21,568,342,0.6021,False
0.8,unconstrained,risk,3,356,119,0.3343,False
0.8,unconstrained,risk,7,242,92,0.3802,False
0.8,unconstrained,risk,1,322,30,0.0932,False
0.8,unconstrained,risk,17,385,99,0.2571,False
0.8,unconstrained,risk,13,640,89,0.1391,False
0.8,unconstrained,risk,8,319,212,0.6646,False
0.8,unconstrained,risk,32,226,52,0.2301,False
0.8,unconstrained,risk,4,383,52,0.1358,False
0.8,unconstrained,risk,5,137,27,0.1971,False
0.8,unconstrained,risk,15,551,147,0.2668,False
0.8,unconstrained,risk,22,196,34,0.1735,False
0.8,unconstrained,risk,24,60,6,0.1,False
0.8,unconstrained,risk,38,55,7,0.1273,False
0.8,unconstrained,risk,16,292,67,0.2295,False
0.8,unconstrained,risk,23,80,9,0.1125,False
