edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,unconstrained,risk,3,0,81,0
EDGE,unconstrained,risk,14,0,66,0
EDGE,unconstrained,risk,1,0,123,0
EDGE,unconstrained,risk,10,0,87,0
EDGE,unconstrained,risk,22,0,71,0
EDGE,unconstrained,risk,26,0,86,0
EDGE,unconstrained,risk,2,0,81,0
EDGE,unconstrained,risk,9,0,43,0
EDGE,unconstrained,risk,6,0,220,0
EDGE,unconstrained,risk,11,0,87,0
EDGE,unconstrained,risk,25,0,103,0
EDGE,unconstrained,risk,13,0,64,0
EDGE,unconstrained,risk,20,0,141,0
EDGE,unconstrained,risk,28,0,75,0
EDGE,unconstrained,risk,4,0,149,0
EDGE,unconstrained,risk,19,0,69,0
EDGE,unconstrained,risk,21,0,32,0
EDGE,unconstrained,risk,17,0,26,0
EDGE,unconstrained,risk,0,0,165,0
EDGE,unconstrained,risk,37,0,20,0
EDGE,unconstrained,risk,24,0,79,0
EDGE,unconstrained,risk,12,0,38,0
EDGE,unconstrained,risk,36,0,95,0
EDGE,unconstrained,risk,5,0,40,0
EDGE,unconstrained,risk,23,0,55,0
EDGE,unconstrained,risk,32,0,11,0
EDGE,unconstrained,risk,7,0,51,0
EDGE,unconstrained,risk,35,0,51,0
EDGE,unconstrained,risk,18,0,48,0
EDGE,unconstrained,risk,30,0,54,0
EDGE,unconstrained,risk,34,0,10,0
EDGE,unconstrained,risk,15,0,25,0
EDGE,unconstrained,risk,38,0,26,0
EDGE,unconstrained,risk,29,0,144,0
EDGE,unconstrained,risk,8,0,20,0
EDGE,unconstrained,risk,39,0,46,0
EDGE,unconstrained,risk,33,0,27,0
EDGE,unconstrained,risk,16,0,18,0
EDGE,unconstrained,risk,27,0,5,0
EDGE,unconstrained,risk,31,0,7,0
EDGE,unconstrained,intervention,15,0,97,0
EDGE,unconstrained,intervention,9,0,113,0
EDGE,unconstrained,intervention,17,0,109,0
EDGE,unconstrained,intervention,4,0,103,0
EDGE,unconstrained,intervention,22,0,89,0
EDGE,unconstrained,intervention,5,0,214,0
EDGE,unconstrained,intervention,39,0,39,0
EDGE,unconstrained,intervention,19,0,215,0
EDGE,unconstrained,intervention,10,0,88,0
EDGE,unconstrained,intervention,32,0,63,0
EDGE,unconstrained,intervention,30,0,62,0
EDGE,unconstrained,intervention,2,0,153,0
EDGE,unconstrained,intervention,16,0,28,0
EDGE,unconstrained,intervention,36,0,65,0
EDGE,unconstrained,intervention,18,0,99,0
EDGE,unconstrained,intervention,3,0,195,0
EDGE,unconstrained,intervention,8,0,106,0
EDGE,unconstrained,intervention,33,0,10,0
EDGE,unconstrained,intervention,6,0,81,0
EDGE,unconstrained,intervention,1,0,44,0
EDGE,unconstrained,intervention,13,0,180,0
EDGE,unconstrained,intervention,27,0,27,0
EDGE,unconstrained,intervention,21,0,27,0
EDGE,unconstrained,intervention,11,0,47,0
EDGE,unconstrained,intervention,14,0,64,0
EDGE,unconstrained,intervention,7,0,88,0
EDGE,unconstrained,intervention,24,0,36,0
EDGE,unconstrained,intervention,37,0,41,0
EDGE,unconstrained,intervention,12,0,11,0
EDGE,unconstrained,intervention,20,0,26,0
EDGE,unconstrained,intervention,0,0,24,0
EDGE,unconstrained,intervention,38,0,17,0
EDGE,unconstrained,intervention,26,0,16,0
EDGE,unconstrained,intervention,34,0,6,0
EDGE,unconstrained,intervention,25,0,36,0
EDGE,unconstrained,intervention,35,0,36,0
EDGE,unconstrained,intervention,29,0,23,0
EDGE,unconstrained,intervention,31,0,17,0
EDGE,unconstrained,intervention,28,0,13,0
EDGE,unconstrained,intervention,23,0,6,0
EDGE,unconstrained,all_concepts,11,0,406,0
EDGE,unconstrained,all_concepts,4,0,326,0
EDGE,unconstrained,all_concepts,34,0,163,0
EDGE,unconstrained,all_concepts,8,0,475,0
EDGE,unconstrained,all_concepts,16,0,346,0
EDGE,unconstrained,all_concepts,39,0,126,0
EDGE,unconstrained,all_concepts,36,0,380,0
EDGE,unconstrained,all_concepts,2,0,530,0
EDGE,unconstrained,all_concepts,5,0,533,0
EDGE,unconstrained,all_concepts,32,0,27,0
EDGE,unconstrained,all_concepts,14,0,1139,0
EDGE,unconstrained,all_concepts,30,0,162,0
EDGE,unconstrained,all_concepts,37,0,344,0
EDGE,unconstrained,all_concepts,22,0,668,0
EDGE,unconstrained,all_concepts,3,0,539,0
EDGE,unconstrained,all_concepts,20,0,472,0
EDGE,unconstrained,all_concepts,9,0,677,0
EDGE,unconstrained,all_concepts,6,0,490,0
EDGE,unconstrained,all_concepts,17,0,155,0
EDGE,unconstrained,all_concepts,1,0,562,0
EDGE,unconstrained,all_concepts,0,0,251,0
EDGE,unconstrained,all_concepts,28,0,89,0
EDGE,unconstrained,all_concepts,10,0,913,0
EDGE,unconstrained,all_concepts,19,0,393,0
EDGE,unconstrained,all_concepts,15,0,159,0
EDGE,unconstrained,all_concepts,13,0,284,0
EDGE,unconstrained,all_concepts,18,0,258,0
EDGE,unconstrained,all_concepts,7,0,271,0
EDGE,unconstrained,all_concepts,24,0,113,0
EDGE,unconstrained,all_concepts,23,0,44,0
EDGE,unconstrained,all_concepts,21,0,201,0
EDGE,unconstrained,all_concepts,31,0,16,0
EDGE,unconstrained,all_concepts,12,0,38,0
EDGE,unconstrained,all_concepts,27,0,24,0
EDGE,unconstrained,all_concepts,33,0,22,0
EDGE,unconstrained,all_concepts,35,0,56,0
EDGE,unconstrained,all_concepts,38,0,44,0
EDGE,unconstrained,all_concepts,26,0,72,0
EDGE,unconstrained,all_concepts,25,0,14,0
EDGE,unconstrained,all_concepts,29,0,1,0
EDGE,unconstrained,problem_analysis,4,0,108,0
EDGE,unconstrained,problem_analysis,32,0,67,0
EDGE,unconstrained,problem_analysis,13,0,46,0
EDGE,unconstrained,problem_analysis,14,0,54,0
EDGE,unconstrained,problem_analysis,21,0,58,0
EDGE,unconstrained,problem_analysis,28,0,75,0
EDGE,unconstrained,problem_analysis,12,0,176,0
EDGE,unconstrained,problem_analysis,36,0,87,0
EDGE,unconstrained,problem_analysis,5,0,197,0
