edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
EDGE,unconstrained,risk,3,2006,2023,17,2018.530864197531,2020.0,81,81
EDGE,unconstrained,risk,14,2003,2023,20,2017.3939393939395,2019.0,66,66
EDGE,unconstrained,risk,1,2009,2023,14,2019.2764227642276,2019.0,123,123
EDGE,unconstrained,risk,10,2014,2023,9,2020.8045977011495,2021.0,87,87
EDGE,unconstrained,risk,22,2013,2023,10,2020.1408450704225,2021.0,71,71
EDGE,unconstrained,risk,26,2006,2023,17,2019.3372093023256,2020.0,86,86
EDGE,unconstrained,risk,2,2015,2023,8,2020.8148148148148,2021.0,81,81
EDGE,unconstrained,risk,9,2012,2023,11,2019.4651162790697,2020.0,43,43
EDGE,unconstrained,risk,6,2010,2023,13,2020.2293577981652,2022.0,218,220
EDGE,unconstrained,risk,11,2012,2023,11,2020.1954022988505,2021.0,87,87
EDGE,unconstrained,risk,25,2012,2023,11,2020.0388349514562,2020.0,103,103
EDGE,unconstrained,risk,13,2013,2023,10,2019.6875,2021.0,64,64
EDGE,unconstrained,risk,20,2012,2023,11,2020.063829787234,2020.0,141,141
EDGE,unconstrained,risk,28,2013,2023,10,2019.32,2020.0,75,75
EDGE,unconstrained,risk,4,2013,2023,10,2021.0472972972973,2022.0,148,149
EDGE,unconstrained,risk,19,2013,2023,10,2020.5217391304348,2021.0,69,69
EDGE,unconstrained,risk,21,2008,2023,15,2021.0625,2022.0,32,32
EDGE,unconstrained,risk,17,2019,2023,4,2021.76,2022.0,25,26
EDGE,unconstrained,risk,0,2011,2023,12,2019.678787878788,2020.0,165,165
EDGE,unconstrained,risk,37,2013,2023,10,2022.0,2023.0,20,20
EDGE,unconstrained,risk,24,1994,2023,29,2018.1012658227849,2019.0,79,79
EDGE,unconstrained,risk,12,2002,2023,21,2018.9473684210527,2020.0,38,38
EDGE,unconstrained,risk,36,2014,2023,9,2019.5578947368422,2019.0,95,95
EDGE,unconstrained,risk,5,2009,2023,14,2019.6410256410256,2020.0,39,40
EDGE,unconstrained,risk,23,2017,2023,6,2021.4727272727273,2022.0,55,55
EDGE,unconstrained,risk,32,2014,2023,9,2019.0,2020.0,11,11
EDGE,unconstrained,risk,7,2006,2023,17,2020.8431372549019,2022.0,51,51
EDGE,unconstrained,risk,35,2003,2023,20,2019.235294117647,2021.0,51,51
EDGE,unconstrained,risk,18,2015,2023,8,2021.4,2022.0,45,48
EDGE,unconstrained,risk,30,2011,2023,12,2020.0754716981132,2021.0,53,54
EDGE,unconstrained,risk,34,2019,2023,4,2021.4,2021.0,10,10
EDGE,unconstrained,risk,15,2013,2023,10,2021.0,2022.0,25,25
EDGE,unconstrained,risk,38,2006,2022,16,2019.4615384615386,2020.0,26,26
EDGE,unconstrained,risk,29,2011,2023,12,2021.8125,2022.0,144,144
EDGE,unconstrained,risk,8,2016,2023,7,2020.4,2021.0,20,20
EDGE,unconstrained,risk,39,2019,2023,4,2022.3478260869565,2022.0,46,46
EDGE,unconstrained,risk,33,2018,2023,5,2021.2592592592594,2022.0,27,27
EDGE,unconstrained,risk,16,2015,2023,8,2020.611111111111,2020.5,18,18
EDGE,unconstrained,risk,27,2019,2022,3,2021.0,2021.0,5,5
EDGE,unconstrained,risk,31,2014,2020,6,2018.142857142857,2019.0,7,7
EDGE,unconstrained,intervention,15,2012,2022,10,2019.4226804123712,2020.0,97,97
EDGE,unconstrained,intervention,9,2003,2023,20,2018.132743362832,2019.0,113,113
EDGE,unconstrained,intervention,17,2016,2023,7,2022.0825688073394,2023.0,109,109
EDGE,unconstrained,intervention,4,2014,2023,9,2019.8039215686274,2019.5,102,103
EDGE,unconstrained,intervention,22,2012,2023,11,2019.573033707865,2020.0,89,89
EDGE,unconstrained,intervention,5,2011,2023,12,2020.0233644859813,2022.0,214,214
EDGE,unconstrained,intervention,39,2015,2023,8,2020.923076923077,2022.0,39,39
EDGE,unconstrained,intervention,19,2006,2023,17,2019.7953488372093,2020.0,215,215
EDGE,unconstrained,intervention,10,2012,2023,11,2018.965909090909,2019.0,88,88
EDGE,unconstrained,intervention,32,2012,2023,11,2020.4920634920634,2021.0,63,63
EDGE,unconstrained,intervention,30,2010,2023,13,2020.5483870967741,2021.0,62,62
EDGE,unconstrained,intervention,2,2005,2023,18,2020.1307189542483,2021.0,153,153
EDGE,unconstrained,intervention,16,2012,2023,11,2018.857142857143,2019.5,28,28
