edge_config,mode,node_type,intra_cluster_mean,intra_cluster_std,inter_cluster_mean,inter_cluster_min,inter_cluster_std,separation_ratio,n_clusters_analyzed
EDGE,unconstrained,risk,0.4292,0.0753,0.267,0.0598,0.0816,0.622,40
EDGE,single_risk,risk,0.4382,0.0726,0.2716,0.0506,0.0866,0.6199,39
EDGE,monotonic,risk,0.44,0.0719,0.2649,0.0558,0.0783,0.6021,40
EDGE,both,risk,0.4258,0.0829,0.2744,0.0613,0.0852,0.6445,40
0.8,unconstrained,risk,0.3401,0.0916,0.2705,0.0462,0.0908,0.7953,40
0.8,single_risk,risk,0.3868,0.0992,0.2765,0.0583,0.0857,0.7148,40
0.8,monotonic,risk,0.3393,0.0911,0.2626,0.0527,0.0871,0.7739,40
0.8,both,risk,0.3874,0.0858,0.2639,0.0579,0.0797,0.6813,40
0.85,unconstrained,risk,0.3355,0.0967,0.286,0.0378,0.0907,0.8526,39
0.85,single_risk,risk,0.3958,0.0928,0.2719,0.0543,0.087,0.6869,40
0.85,monotonic,risk,0.3304,0.1023,0.2924,0.0406,0.1004,0.8848,40
0.85,both,risk,0.4126,0.0911,0.2922,0.0491,0.0962,0.7081,40
0.9,unconstrained,risk,0.3355,0.1343,0.3007,0.0347,0.1016,0.896,40
0.9,single_risk,risk,0.4244,0.0899,0.2815,0.0531,0.0956,0.6633,39
0.9,monotonic,risk,0.3319,0.1384,0.2974,0.0375,0.1041,0.896,40
0.9,both,risk,0.4107,0.0988,0.292,0.0477,0.1003,0.711,39
0.95,unconstrained,risk,0.3815,0.1421,0.2827,0.0363,0.1045,0.7409,40
0.95,single_risk,risk,0.4233,0.082,0.2781,0.0609,0.0907,0.6568,39
0.95,monotonic,risk,0.3885,0.1339,0.2799,0.0281,0.1028,0.7204,39
0.95,both,risk,0.4189,0.0808,0.2783,0.0689,0.0947,0.6643,39
EDGE,unconstrained,intervention,0.5278,0.0758,0.3145,0.0759,0.1017,0.5958,40
EDGE,single_risk,intervention,0.5281,0.0759,0.3142,0.0771,0.1015,0.595,40
EDGE,monotonic,intervention,0.5289,0.0717,0.3144,0.0694,0.104,0.5943,39
EDGE,both,intervention,0.5291,0.0718,0.3143,0.0696,0.1039,0.5941,39
0.8,unconstrained,intervention,0.4551,0.0909,0.3542,0.0564,0.1085,0.7784,40
0.8,single_risk,intervention,0.4604,0.0973,0.3594,0.0812,0.1125,0.7807,40
0.8,monotonic,intervention,0.4661,0.0834,0.36,0.0991,0.1067,0.7723,40
0.8,both,intervention,0.4454,0.1008,0.3783,0.0812,0.1204,0.8494,40
0.85,unconstrained,intervention,0.4634,0.1044,0.3701,0.0704,0.118,0.7986,40
0.85,single_risk,intervention,0.4586,0.1118,0.3727,0.07,0.1202,0.8128,40
0.85,monotonic,intervention,0.4787,0.0978,0.3596,0.0657,0.1176,0.7512,40
0.85,both,intervention,0.4754,0.1016,0.3713,0.0647,0.1262,0.7811,39
0.9,unconstrained,intervention,0.5049,0.0913,0.3441,0.0758,0.1177,0.6816,40
0.9,single_risk,intervention,0.5192,0.0876,0.3326,0.0538,0.1109,0.6405,40
0.9,monotonic,intervention,0.5225,0.0826,0.3452,0.0724,0.1132,0.6607,40
0.9,both,intervention,0.5146,0.076,0.3365,0.0684,0.1058,0.6539,40
0.95,unconstrained,intervention,0.523,0.0747,0.3232,0.064,0.1043,0.618,40
