edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
EDGE,unconstrained,15,97,97,8,84,5,0.08247422680412371,0.865979381443299,0.05154639175257732,Training
EDGE,unconstrained,9,113,113,47,4,62,0.415929203539823,0.035398230088495575,0.5486725663716814,Deployment
EDGE,unconstrained,17,109,109,6,101,2,0.05504587155963303,0.926605504587156,0.01834862385321101,Training
EDGE,unconstrained,4,103,103,37,57,9,0.3592233009708738,0.5533980582524272,0.08737864077669903,Training
EDGE,unconstrained,22,89,89,42,46,1,0.47191011235955055,0.5168539325842697,0.011235955056179775,Training
EDGE,unconstrained,5,214,214,11,0,203,0.0514018691588785,0.0,0.9485981308411215,Deployment
EDGE,unconstrained,39,39,39,32,2,5,0.8205128205128205,0.05128205128205128,0.1282051282051282,Design
EDGE,unconstrained,19,215,215,20,186,9,0.09302325581395349,0.8651162790697674,0.04186046511627907,Training
EDGE,unconstrained,10,88,88,85,2,1,0.9659090909090909,0.022727272727272728,0.011363636363636364,Design
EDGE,unconstrained,32,63,63,40,20,3,0.6349206349206349,0.31746031746031744,0.047619047619047616,Design
EDGE,unconstrained,30,62,62,3,5,54,0.04838709677419355,0.08064516129032258,0.8709677419354839,Deployment
EDGE,unconstrained,2,153,153,6,0,147,0.0392156862745098,0.0,0.9607843137254902,Deployment
EDGE,unconstrained,16,28,28,3,4,21,0.10714285714285714,0.14285714285714285,0.75,Deployment
EDGE,unconstrained,36,65,65,3,2,60,0.046153846153846156,0.03076923076923077,0.9230769230769231,Deployment
EDGE,unconstrained,18,99,99,18,18,63,0.18181818181818182,0.18181818181818182,0.6363636363636364,Deployment
EDGE,unconstrained,3,195,195,9,7,179,0.046153846153846156,0.035897435897435895,0.9179487179487179,Deployment
EDGE,unconstrained,8,106,106,13,4,89,0.12264150943396226,0.03773584905660377,0.839622641509434,Deployment
EDGE,unconstrained,33,10,10,9,0,1,0.9,0.0,0.1,Design
EDGE,unconstrained,6,81,81,41,33,7,0.5061728395061729,0.4074074074074074,0.08641975308641975,Design
EDGE,unconstrained,1,44,44,1,1,42,0.022727272727272728,0.022727272727272728,0.9545454545454546,Deployment
EDGE,unconstrained,13,180,180,7,4,169,0.03888888888888889,0.022222222222222223,0.9388888888888889,Deployment
EDGE,unconstrained,27,27,27,23,3,1,0.8518518518518519,0.1111111111111111,0.037037037037037035,Design
EDGE,unconstrained,21,27,27,5,1,21,0.18518518518518517,0.037037037037037035,0.7777777777777778,Deployment
EDGE,unconstrained,11,47,47,17,1,29,0.3617021276595745,0.02127659574468085,0.6170212765957447,Deployment
EDGE,unconstrained,14,64,64,38,21,5,0.59375,0.328125,0.078125,Design
EDGE,unconstrained,7,88,88,4,0,84,0.045454545454545456,0.0,0.9545454545454546,Deployment
EDGE,unconstrained,24,36,36,5,0,31,0.1388888888888889,0.0,0.8611111111111112,Deployment
EDGE,unconstrained,37,41,41,11,18,12,0.2682926829268293,0.43902439024390244,0.2926829268292683,Training
EDGE,unconstrained,12,11,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,Design
EDGE,unconstrained,20,26,26,1,7,18,0.038461538461538464,0.2692307692307692,0.6923076923076923,Deployment
EDGE,unconstrained,0,24,24,2,19,3,0.08333333333333333,0.7916666666666666,0.125,Training
EDGE,unconstrained,38,17,17,9,5,3,0.5294117647058824,0.29411764705882354,0.17647058823529413,Design
EDGE,unconstrained,26,16,16,12,0,4,0.75,0.0,0.25,Design
EDGE,unconstrained,34,6,6,1,0,5,0.16666666666666666,0.0,0.8333333333333334,Deployment
EDGE,unconstrained,25,36,36,5,2,29,0.1388888888888889,0.05555555555555555,0.8055555555555556,Deployment
EDGE,unconstrained,35,36,36,2,33,1,0.05555555555555555,0.9166666666666666,0.027777777777777776,Training
EDGE,unconstrained,29,23,23,0,22,1,0.0,0.9565217391304348,0.043478260869565216,Training
EDGE,unconstrained,31,17,17,3,14,0,0.17647058823529413,0.8235294117647058,0.0,Training
EDGE,unconstrained,28,13,13,1,0,12,0.07692307692307693,0.0,0.9230769230769231,Deployment
EDGE,unconstrained,23,6,6,0,5,1,0.0,0.8333333333333334,0.16666666666666666,Training
EDGE,single_risk,15,97,97,8,84,5,0.08247422680412371,0.865979381443299,0.05154639175257732,Training
EDGE,single_risk,9,113,113,47,4,62,0.415929203539823,0.035398230088495575,0.5486725663716814,Deployment
EDGE,single_risk,17,109,109,6,101,2,0.05504587155963303,0.926605504587156,0.01834862385321101,Training
EDGE,single_risk,4,103,103,37,57,9,0.3592233009708738,0.5533980582524272,0.08737864077669903,Training
EDGE,single_risk,22,89,89,42,46,1,0.47191011235955055,0.5168539325842697,0.011235955056179775,Training
EDGE,single_risk,5,214,214,11,0,203,0.0514018691588785,0.0,0.9485981308411215,Deployment
EDGE,single_risk,39,39,39,32,2,5,0.8205128205128205,0.05128205128205128,0.1282051282051282,Design
EDGE,single_risk,19,215,215,20,186,9,0.09302325581395349,0.8651162790697674,0.04186046511627907,Training
EDGE,single_risk,10,88,88,85,2,1,0.9659090909090909,0.022727272727272728,0.011363636363636364,Design
EDGE,single_risk,32,63,63,40,20,3,0.6349206349206349,0.31746031746031744,0.047619047619047616,Design
EDGE,single_risk,30,62,62,3,5,54,0.04838709677419355,0.08064516129032258,0.8709677419354839,Deployment
EDGE,single_risk,2,153,153,6,0,147,0.0392156862745098,0.0,0.9607843137254902,Deployment
EDGE,single_risk,16,28,28,3,4,21,0.10714285714285714,0.14285714285714285,0.75,Deployment
EDGE,single_risk,36,65,65,3,2,60,0.046153846153846156,0.03076923076923077,0.9230769230769231,Deployment
