node_type,edge_config,mode,silhouette_mean,edge_validation_mean,n_clusters,path_length_mean
risk,EDGE,unconstrained,0.5031889081001282,1.0,40.0,6.861790958825223
risk,EDGE,single_risk,0.4918421357870102,1.0,40.0,6.787356321839081
risk,EDGE,monotonic,0.5076028257608414,1.0,40.0,6.788245986064829
risk,EDGE,both,0.4839991778135299,1.0,40.0,6.739306899781455
risk,0.8,unconstrained,0.5583221316337585,0.2738929856622654,80.0,12.03663892599518
risk,0.8,single_risk,0.510998860001564,0.5737111964435021,46.0,10.57770343067763
risk,0.8,monotonic,0.5334789454936981,0.2782867562050751,76.0,9.737096052456952
risk,0.8,both,0.5432822406291962,0.5599159020694725,48.0,8.36536247763554
risk,0.85,unconstrained,0.5808558762073517,0.33356995351085,66.0,13.599068075657982
risk,0.85,single_risk,0.5052229464054108,0.6927871493998069,46.0,11.21277298240649
risk,0.85,monotonic,0.5951423048973083,0.363284296463945,66.0,10.148250165198064
risk,0.85,both,0.4699672162532806,0.730612608254906,43.0,8.661824196767292
risk,0.9,unconstrained,0.5403291881084442,0.5602862812701983,58.0,14.317058738183093
risk,0.9,single_risk,0.5149587392807007,0.9058099095158384,40.0,9.061804871181192
risk,0.9,monotonic,0.553881362080574,0.5807176321252543,48.0,10.24367435107054
risk,0.9,both,0.5193306058645248,0.9083393117679034,40.0,7.95841050681933
risk,0.95,unconstrained,0.5294180512428284,0.8302407635391834,43.0,12.097357787791616
risk,0.95,single_risk,0.4703726470470428,0.9977834167696396,40.0,6.793612533895752
risk,0.95,monotonic,0.5458786487579346,0.8498507888722899,42.0,10.725478060440498
risk,0.95,both,0.4941112995147705,0.9976531367914496,40.0,6.745957711442786
intervention,EDGE,unconstrained,0.4200884252786636,1.0,40.0,6.861790958825223
intervention,EDGE,single_risk,0.4213501811027527,1.0,40.0,6.787356321839081
intervention,EDGE,monotonic,0.4439222812652588,1.0,40.0,6.788245986064829
intervention,EDGE,both,0.4497832953929901,1.0,40.0,6.739306899781455
intervention,0.8,unconstrained,0.530950203537941,0.4892587581041823,53.0,12.03663892599518
intervention,0.8,single_risk,0.4711496233940124,0.499969997245509,58.0,10.57770343067763
intervention,0.8,monotonic,0.5077061355113983,0.5453423724071889,46.0,9.737096052456952
intervention,0.8,both,0.4936717599630356,0.553096239711586,50.0,8.36536247763554
intervention,0.85,unconstrained,0.4964408427476883,0.6501376484418833,44.0,13.599068075657982
intervention,0.85,single_risk,0.4737256020307541,0.6491342053601155,49.0,11.21277298240649
intervention,0.85,monotonic,0.4957311153411865,0.723001563672207,44.0,10.148250165198064
intervention,0.85,both,0.4931931495666504,0.733485969369217,41.0,8.661824196767292
intervention,0.9,unconstrained,0.4355947077274322,0.9153282427392588,40.0,14.317058738183093
intervention,0.9,single_risk,0.4468136429786682,0.9351508220021224,40.0,9.061804871181192
intervention,0.9,monotonic,0.4601193517446518,0.9406337227762914,40.0,10.24367435107054
intervention,0.9,both,0.4280920028686523,0.9409018802147052,40.0,7.95841050681933
intervention,0.95,unconstrained,0.4590557813644409,0.9985244293624378,40.0,12.097357787791616
intervention,0.95,single_risk,0.4310576915740967,0.998585998129216,40.0,6.793612533895752
intervention,0.95,monotonic,0.4515289515256881,0.99882192707567,40.0,10.725478060440498
intervention,0.95,both,0.4557010978460312,0.9986554989775138,40.0,6.745957711442786
all_concepts,EDGE,unconstrained,0.3060840964317322,1.0,64.0,6.861790958825223
all_concepts,EDGE,single_risk,0.3043414279818535,1.0,62.0,6.787356321839081
