edge_config,mode,cluster_id,cluster_size,n_unique_risk_categories,is_multi_risk,categories
EDGE,unconstrained,3,81,1,False,risk
EDGE,unconstrained,14,66,1,False,risk
EDGE,unconstrained,1,123,1,False,risk
EDGE,unconstrained,10,87,1,False,risk
EDGE,unconstrained,22,71,1,False,risk
EDGE,unconstrained,26,86,1,False,risk
EDGE,unconstrained,2,81,1,False,risk
EDGE,unconstrained,9,43,1,False,risk
EDGE,unconstrained,6,220,1,False,risk
EDGE,unconstrained,11,87,1,False,risk
EDGE,unconstrained,25,103,1,False,risk
EDGE,unconstrained,13,64,1,False,risk
EDGE,unconstrained,20,141,1,False,risk
EDGE,unconstrained,28,75,1,False,risk
EDGE,unconstrained,4,149,1,False,risk
EDGE,unconstrained,19,69,1,False,risk
EDGE,unconstrained,21,32,1,False,risk
EDGE,unconstrained,17,26,1,False,risk
EDGE,unconstrained,0,165,1,False,risk
EDGE,unconstrained,37,20,1,False,risk
EDGE,unconstrained,24,79,1,False,risk
EDGE,unconstrained,12,38,1,False,risk
EDGE,unconstrained,36,95,1,False,risk
EDGE,unconstrained,5,40,1,False,risk
EDGE,unconstrained,23,55,1,False,risk
EDGE,unconstrained,32,11,1,False,risk
EDGE,unconstrained,7,51,1,False,risk
EDGE,unconstrained,35,51,1,False,risk
EDGE,unconstrained,18,48,1,False,risk
EDGE,unconstrained,30,54,1,False,risk
EDGE,unconstrained,34,10,1,False,risk
EDGE,unconstrained,15,25,1,False,risk
EDGE,unconstrained,38,26,1,False,risk
EDGE,unconstrained,29,144,1,False,risk
EDGE,unconstrained,8,20,1,False,risk
EDGE,unconstrained,39,46,1,False,risk
EDGE,unconstrained,33,27,1,False,risk
EDGE,unconstrained,16,18,1,False,risk
EDGE,unconstrained,27,5,1,False,risk
EDGE,unconstrained,31,7,1,False,risk
0.8,unconstrained,10,544,1,False,risk
0.8,unconstrained,29,215,1,False,risk
0.8,unconstrained,21,568,1,False,risk
0.8,unconstrained,3,356,1,False,risk
0.8,unconstrained,7,242,1,False,risk
