node_type,mode,threshold_from,threshold_to,n_common_nodes,n_migrations,migration_rate
risk,unconstrained,EDGE,0.8,2639,2604,0.986737400530504
risk,unconstrained,0.8,0.85,6977,6731,0.9647412928192632
risk,unconstrained,0.85,0.9,4760,4382,0.9205882352941176
risk,unconstrained,0.9,0.95,3211,3157,0.9831828090937402
risk,single_risk,EDGE,0.8,2515,2376,0.9447316103379721
risk,single_risk,0.8,0.85,3471,3465,0.9982713915298185
risk,single_risk,0.85,0.9,2796,2701,0.9660228898426323
risk,single_risk,0.9,0.95,2534,2514,0.9921073401736386
risk,monotonic,EDGE,0.8,2532,2509,0.990916271721959
risk,monotonic,0.8,0.85,6308,5843,0.926284083703234
risk,monotonic,0.85,0.9,4341,4208,0.9693618981801428
risk,monotonic,0.9,0.95,3062,2943,0.9611365120836055
risk,both,EDGE,0.8,2453,2431,0.9910313901345291
risk,both,0.8,0.85,3336,3136,0.9400479616306955
risk,both,0.85,0.9,2714,2569,0.9465733235077377
risk,both,0.9,0.95,2473,2453,0.9919126566922766
intervention,unconstrained,EDGE,0.8,2713,2676,0.9863619609288611
intervention,unconstrained,0.8,0.85,3790,3591,0.9474934036939314
intervention,unconstrained,0.85,0.9,2924,2807,0.9599863201094391
intervention,unconstrained,0.9,0.95,2719,2657,0.9771974990805443
intervention,single_risk,EDGE,0.8,2711,2642,0.9745481372187385
intervention,single_risk,0.8,0.85,3751,3705,0.9877366035723807
intervention,single_risk,0.85,0.9,2900,2858,0.9855172413793103
intervention,single_risk,0.9,0.95,2718,2647,0.9738778513612951
intervention,monotonic,EDGE,0.8,2669,2547,0.9542899962532784
intervention,monotonic,0.8,0.85,3462,3390,0.9792027729636048
intervention,monotonic,0.85,0.9,2840,2822,0.9936619718309859
intervention,monotonic,0.9,0.95,2675,2570,0.9607476635514018
intervention,both,EDGE,0.8,2668,2618,0.9812593703148426
intervention,both,0.8,0.85,3427,3290,0.9600233440326816
intervention,both,0.85,0.9,2822,2822,1.0
intervention,both,0.9,0.95,2674,2436,0.9109947643979057
all_concepts,unconstrained,EDGE,0.8,11423,10956,0.959117569815285
all_concepts,unconstrained,0.8,0.85,17072,16518,0.9675492033739457
all_concepts,unconstrained,0.85,0.9,13205,12990,0.9837182885270731
all_concepts,unconstrained,0.9,0.95,11840,11686,0.9869932432432432
all_concepts,single_risk,EDGE,0.8,11352,10831,0.9541050035236082
all_concepts,single_risk,0.8,0.85,15514,13605,0.8769498517468093
all_concepts,single_risk,0.85,0.9,12493,12241,0.9798287040742816
all_concepts,single_risk,0.9,0.95,11715,11279,0.9627827571489543
all_concepts,monotonic,EDGE,0.8,11071,10862,0.9811218498780598
all_concepts,monotonic,0.8,0.85,14678,14613,0.9955716037607304
all_concepts,monotonic,0.85,0.9,12229,10344,0.8458582059039987
all_concepts,monotonic,0.9,0.95,11469,11432,0.9967739122852908
all_concepts,both,EDGE,0.8,11059,10827,0.9790216113572656
all_concepts,both,0.8,0.85,14083,14011,0.9948874529574665
all_concepts,both,0.85,0.9,12055,10953,0.9085856491082538
all_concepts,both,0.9,0.95,11463,11155,0.9731309430341097
problem_analysis,unconstrained,EDGE,0.8,2508,2450,0.9768740031897927
problem_analysis,unconstrained,0.8,0.85,5062,4869,0.9618727775582774
problem_analysis,unconstrained,0.85,0.9,3357,3326,0.9907655644921061
problem_analysis,unconstrained,0.9,0.95,2581,2549,0.9876017047655947
problem_analysis,single_risk,EDGE,0.8,2450,2393,0.9767346938775511
problem_analysis,single_risk,0.8,0.85,3920,3711,0.9466836734693878
problem_analysis,single_risk,0.85,0.9,2845,2817,0.990158172231986
problem_analysis,single_risk,0.9,0.95,2482,2344,0.9443996776792909
problem_analysis,monotonic,EDGE,0.8,2398,2380,0.9924937447873228
problem_analysis,monotonic,0.8,0.85,4023,3838,0.9540144171016655
problem_analysis,monotonic,0.85,0.9,2859,2771,0.969220006995453
