node_type,edge_config,mode,n_clusters,n_embeddings,n_edge_only,cluster_size_mean,cluster_size_median,cluster_size_std,cluster_size_min,cluster_size_max,silhouette_mean,silhouette_median,silhouette_min,silhouette_max,edge_validation_mean,edge_validation_min,edge_validation_max,n_pathways,path_length_mean,path_length_median
risk,EDGE,unconstrained,40,2639,17136,69.44736842105263,63.5,43.08235526500444,5,220,0.5031889081001282,0.5031889081001282,0.4742747545242309,0.5321030616760254,1.0,1.0,1.0,3473,6.861790958825223,7.0
risk,EDGE,single_risk,40,2529,16965,68.35135135135135,63.0,43.10371916995049,1,206,0.4918421357870102,0.4918421357870102,0.45050248503685,0.5331817865371704,1.0,1.0,1.0,3306,6.787356321839081,7.0
risk,EDGE,monotonic,40,2532,16668,69.36986301369863,64.0,40.20342343813047,2,198,0.5076028257608414,0.5076028257608414,0.4690392315387726,0.5461664199829102,1.0,1.0,1.0,3301,6.788245986064829,7.0
risk,EDGE,both,40,2468,16604,70.51428571428572,62.0,44.32662626366197,2,207,0.4839991778135299,0.4839991778135299,0.4360179007053375,0.5319804549217224,1.0,1.0,1.0,3203,6.739306899781455,7.0
risk,0.8,unconstrained,80,9353,17136,155.88333333333333,120.0,127.60833197283354,14,640,0.5583221316337585,0.5583221316337585,0.5265647768974304,0.5900794863700867,0.2738929856622654,0.0,0.7926829268292683,10659319,12.03663892599518,11.0
risk,0.8,single_risk,46,4254,16965,98.93023255813954,87.5,62.66110226572158,6,310,0.510998860001564,0.510998860001564,0.4445280134677887,0.5774697065353394,0.5737111964435021,0.0909090909090909,0.9375,440875,10.57770343067763,10.0
risk,0.8,monotonic,76,8734,16668,150.58620689655172,113.0,121.259345104893,12,623,0.5334789454936981,0.5334789454936981,0.4962026476860046,0.5707552433013916,0.2782867562050751,0.0,0.8666666666666667,4257205,9.737096052456952,10.0
risk,0.8,both,48,4115,16604,93.52272727272728,85.5,58.79664053342274,6,303,0.5432822406291962,0.5432822406291962,0.505121648311615,0.5814428329467773,0.5599159020694725,0.1,0.951219512195122,216303,8.36536247763554,8.0
risk,0.85,unconstrained,66,7608,17136,143.54716981132074,111.5,107.08056674770124,1,460,0.5808558762073517,0.5808558762073517,0.5406407117843628,0.6210710406303406,0.33356995351085,0.0,0.875,5688230,13.599068075657982,13.0
risk,0.85,single_risk,46,3558,16965,82.74418604651163,81.5,50.1062095317517,9,214,0.5052229464054108,0.5052229464054108,0.4721502661705017,0.5382956266403198,0.6927871493998069,0.2857142857142857,1.0,106005,11.21277298240649,10.0
