edge_config,mode,n_risk_nodes_total,n_unique_categories,n_unique_risks_csv,gini_coefficient,top_category,top_category_pct
EDGE,unconstrained,2639,1,,0.0,risk,100.0
EDGE,single_risk,2529,1,,0.0,risk,100.0
EDGE,monotonic,2532,1,,0.0,risk,100.0
EDGE,both,2468,1,,0.0,risk,100.0
0.8,unconstrained,9353,1,,0.0,risk,100.0
0.8,single_risk,4254,1,,0.0,risk,100.0
0.8,monotonic,8734,1,,0.0,risk,100.0
0.8,both,4115,1,,0.0,risk,100.0
0.85,unconstrained,7608,1,,0.0,risk,100.0
0.85,single_risk,3558,1,,0.0,risk,100.0
0.85,monotonic,6897,1,,0.0,risk,100.0
0.85,both,3426,1,,0.0,risk,100.0
0.9,unconstrained,4889,1,,0.0,risk,100.0
0.9,single_risk,2814,1,,0.0,risk,100.0
0.9,monotonic,4490,1,,0.0,risk,100.0
0.9,both,2732,1,,0.0,risk,100.0
0.95,unconstrained,3227,1,,0.0,risk,100.0
0.95,single_risk,2536,1,,0.0,risk,100.0
0.95,monotonic,3086,1,,0.0,risk,100.0
0.95,both,2475,1,,0.0,risk,100.0
