node_type,mode,threshold_1,threshold_2,ari,n_common_nodes,distance
risk,unconstrained,EDGE,0.8,0.4771731623763029,2639,1
risk,unconstrained,EDGE,0.85,0.4575999388796458,2639,2
risk,unconstrained,EDGE,0.9,0.5118734293087666,2639,3
risk,unconstrained,EDGE,0.95,0.7039809720329485,2639,4
risk,unconstrained,0.8,0.85,0.7193871572845904,6977,1
risk,unconstrained,0.8,0.9,0.6578751942879971,4650,2
risk,unconstrained,0.8,0.95,0.5368258780827978,3166,3
risk,unconstrained,0.85,0.9,0.7094377366206033,4760,1
risk,unconstrained,0.85,0.95,0.5747411266869756,3197,2
risk,unconstrained,0.9,0.95,0.6210401852469041,3211,1
risk,single_risk,EDGE,0.8,0.5103370517479133,2515,1
risk,single_risk,EDGE,0.85,0.569651043083997,2521,2
risk,single_risk,EDGE,0.9,0.6839117832156985,2527,3
risk,single_risk,EDGE,0.95,0.7224239596180825,2529,4
risk,single_risk,0.8,0.85,0.6843601114415692,3471,1
risk,single_risk,0.8,0.9,0.6188713266499477,2784,2
risk,single_risk,0.8,0.95,0.590161997427423,2521,3
risk,single_risk,0.85,0.9,0.7058477085119028,2796,1
risk,single_risk,0.85,0.95,0.6359730556720268,2528,2
risk,single_risk,0.9,0.95,0.7344583311398407,2534,1
risk,monotonic,EDGE,0.8,0.4493188481607349,2532,1
risk,monotonic,EDGE,0.85,0.49959965965201936,2532,2
risk,monotonic,EDGE,0.9,0.578330554925386,2532,3
risk,monotonic,EDGE,0.95,0.7394127041050039,2532,4
risk,monotonic,0.8,0.85,0.6398585248822849,6308,1
risk,monotonic,0.8,0.9,0.6174854322184163,4231,2
risk,monotonic,0.8,0.95,0.5493972194431392,3014,3
risk,monotonic,0.85,0.9,0.7321329416974768,4341,1
risk,monotonic,0.85,0.95,0.6123030013088202,3042,2
risk,monotonic,0.9,0.95,0.7086402871582119,3062,1
risk,both,EDGE,0.8,0.5311763734104737,2453,1
risk,both,EDGE,0.85,0.676139287606633,2459,2
risk,both,EDGE,0.9,0.7054352511946479,2466,3
risk,both,EDGE,0.95,0.7138753015197524,2468,4
risk,both,0.8,0.85,0.6495553781464022,3336,1
risk,both,0.8,0.9,0.5677543765458997,2700,2
risk,both,0.8,0.95,0.5899255667434504,2458,3
risk,both,0.85,0.9,0.6510282234665777,2714,1
risk,both,0.85,0.95,0.6226204929901169,2466,2
risk,both,0.9,0.95,0.7574525307703127,2473,1
intervention,unconstrained,EDGE,0.8,0.41911400943278815,2713,1
intervention,unconstrained,EDGE,0.85,0.5144156429755046,2714,2
intervention,unconstrained,EDGE,0.9,0.7278210831732237,2714,3
intervention,unconstrained,EDGE,0.95,0.7771445988174329,2714,4
intervention,unconstrained,0.8,0.85,0.584394939615947,3790,1
intervention,unconstrained,0.8,0.9,0.4619215368365451,2912,2
intervention,unconstrained,0.8,0.95,0.43521375427020453,2716,3
intervention,unconstrained,0.85,0.9,0.5759399555802355,2924,1
intervention,unconstrained,0.85,0.95,0.555994573655581,2718,2
intervention,unconstrained,0.9,0.95,0.7553149143132583,2719,1
intervention,single_risk,EDGE,0.8,0.42638875979465396,2711,1
intervention,single_risk,EDGE,0.85,0.539775051580305,2714,2
intervention,single_risk,EDGE,0.9,0.7591128754943817,2714,3
intervention,single_risk,EDGE,0.95,0.7906189499946955,2714,4
intervention,single_risk,0.8,0.85,0.5303909162428005,3751,1
intervention,single_risk,0.8,0.9,0.44103299043594113,2885,2
intervention,single_risk,0.8,0.95,0.4665827653015549,2713,3
intervention,single_risk,0.85,0.9,0.5886694182321998,2900,1
intervention,single_risk,0.85,0.95,0.5267782147494019,2717,2
intervention,single_risk,0.9,0.95,0.7187833143345995,2718,1
intervention,monotonic,EDGE,0.8,0.4593329494271254,2669,1
intervention,monotonic,EDGE,0.85,0.5363045854141281,2668,2
intervention,monotonic,EDGE,0.9,0.6620940254699443,2670,3
intervention,monotonic,EDGE,0.95,0.7163808199204182,2670,4
intervention,monotonic,0.8,0.85,0.6243547520562238,3462,1
intervention,monotonic,0.8,0.9,0.49755656805216336,2826,2
intervention,monotonic,0.8,0.95,0.46703099376226975,2672,3
intervention,monotonic,0.85,0.9,0.6054709352771543,2840,1
intervention,monotonic,0.85,0.95,0.5433642523706927,2672,2
intervention,monotonic,0.9,0.95,0.63453643831988,2675,1
intervention,both,EDGE,0.8,0.45542753727269253,2668,1
intervention,both,EDGE,0.85,0.5441893367652829,2668,2
intervention,both,EDGE,0.9,0.679191815648693,2670,3
intervention,both,EDGE,0.95,0.7438954038728303,2670,4
intervention,both,0.8,0.85,0.551816993687956,3427,1
intervention,both,0.8,0.9,0.4406420482684134,2807,2
intervention,both,0.8,0.95,0.4545030735755728,2670,3
intervention,both,0.85,0.9,0.6305126205605731,2822,1
intervention,both,0.85,0.95,0.577565540948428,2671,2
intervention,both,0.9,0.95,0.6809533168192424,2674,1
all_concepts,unconstrained,EDGE,0.8,0.31893879113377854,11423,1
all_concepts,unconstrained,EDGE,0.85,0.399458564447035,11639,2
all_concepts,unconstrained,EDGE,0.9,0.5100922034118164,11751,3
all_concepts,unconstrained,EDGE,0.95,0.6095934923434293,11779,4
all_concepts,unconstrained,0.8,0.85,0.5216467614925808,17072,1
all_concepts,unconstrained,0.8,0.9,0.36725544276424915,12818,2
all_concepts,unconstrained,0.8,0.95,0.3750963837031973,11506,3
all_concepts,unconstrained,0.85,0.9,0.5087469401159547,13205,1
all_concepts,unconstrained,0.85,0.95,0.4734028423005311,11725,2
all_concepts,unconstrained,0.9,0.95,0.5444249417134074,11840,1
all_concepts,single_risk,EDGE,0.8,0.34575499990433123,11352,1
all_concepts,single_risk,EDGE,0.85,0.43222513914578703,11586,2
all_concepts,single_risk,EDGE,0.9,0.5626808713732773,11698,3
all_concepts,single_risk,EDGE,0.95,0.6393349589725923,11718,4
all_concepts,single_risk,0.8,0.85,0.5137646309828191,15514,1
all_concepts,single_risk,0.8,0.9,0.3834968524939968,12142,2
all_concepts,single_risk,0.8,0.95,0.3925993416962418,11364,3
all_concepts,single_risk,0.85,0.9,0.4903507636343765,12493,1
all_concepts,single_risk,0.85,0.95,0.43084694743683344,11599,2
all_concepts,single_risk,0.9,0.95,0.5309533552044073,11715,1
all_concepts,monotonic,EDGE,0.8,0.34019654795613424,11071,1
all_concepts,monotonic,EDGE,0.85,0.4485158714056938,11319,2
all_concepts,monotonic,EDGE,0.9,0.5938638305520775,11446,3
all_concepts,monotonic,EDGE,0.95,0.6502257081791866,11462,4
all_concepts,monotonic,0.8,0.85,0.5283296171250806,14678,1
all_concepts,monotonic,0.8,0.9,0.40238326426850995,11844,2
all_concepts,monotonic,0.8,0.95,0.3619888164637698,11084,3
all_concepts,monotonic,0.85,0.9,0.5074274611971875,12229,1
all_concepts,monotonic,0.85,0.95,0.48139875590248155,11332,2
