cluster_id,total_qualifying,maturity_1_count,maturity_1_pct,maturity_2_count,maturity_2_pct,maturity_3_count,maturity_3_pct,maturity_4_count,maturity_4_pct
0,126,0,0.0,2,1.6,103,81.7,21,16.7
1,106,0,0.0,1,0.9,89,84.0,16,15.1
2,76,0,0.0,1,1.3,66,86.8,9,11.8
3,22,0,0.0,0,0.0,20,90.9,2,9.1
4,203,0,0.0,4,2.0,172,84.7,27,13.3
5,190,0,0.0,1,0.5,184,96.8,5,2.6
6,111,0,0.0,0,0.0,109,98.2,2,1.8
7,12,0,0.0,1,8.3,9,75.0,2,16.7
8,259,3,1.2,24,9.3,158,61.0,74,28.6
9,122,0,0.0,2,1.6,85,69.7,35,28.7
10,95,5,5.3,4,4.2,72,75.8,14,14.7
11,117,0,0.0,0,0.0,87,74.4,30,25.6
12,14,0,0.0,1,7.1,13,92.9,0,0.0
13,26,0,0.0,0,0.0,24,92.3,2,7.7
14,15,0,0.0,0,0.0,8,53.3,7,46.7
15,87,1,1.1,24,27.6,62,71.3,0,0.0
16,25,0,0.0,0,0.0,22,88.0,3,12.0
17,42,0,0.0,0,0.0,39,92.9,3,7.1
18,53,0,0.0,8,15.1,45,84.9,0,0.0
19,80,0,0.0,0,0.0,79,98.8,1,1.2
20,25,0,0.0,0,0.0,21,84.0,4,16.0
21,48,0,0.0,1,2.1,43,89.6,4,8.3
22,69,0,0.0,1,1.4,59,85.5,9,13.0
23,101,0,0.0,2,2.0,91,90.1,8,7.9
24,78,1,1.3,5,6.4,65,83.3,7,9.0
25,105,0,0.0,0,0.0,95,90.5,10,9.5
26,174,0,0.0,2,1.1,163,93.7,9,5.2
27,23,0,0.0,1,4.3,19,82.6,3,13.0
28,19,4,21.1,5,26.3,7,36.8,3,15.8
29,5,0,0.0,0,0.0,5,100.0,0,0.0
30,17,0,0.0,0,0.0,14,82.4,3,17.6
31,28,0,0.0,1,3.6,22,78.6,5,17.9
32,53,1,1.9,23,43.4,28,52.8,1,1.9
33,34,0,0.0,0,0.0,26,76.5,8,23.5
34,71,0,0.0,1,1.4,64,90.1,6,8.5
35,185,0,0.0,23,12.4,159,85.9,3,1.6
36,38,0,0.0,0,0.0,38,100.0,0,0.0
37,6,0,0.0,0,0.0,6,100.0,0,0.0
38,68,0,0.0,1,1.5,64,94.1,3,4.4
39,42,0,0.0,1,2.4,29,69.0,12,28.6
