edge_config,mode,cluster_id,cluster_size,n_unique_risk_categories,is_multi_risk,categories
0.9,unconstrained,14,158,1,False,risk
0.9,unconstrained,6,214,1,False,risk
0.9,unconstrained,19,136,1,False,risk
0.9,unconstrained,21,179,1,False,risk
0.9,unconstrained,35,168,1,False,risk
0.9,unconstrained,12,102,1,False,risk
0.9,unconstrained,15,121,1,False,risk
0.9,unconstrained,0,299,1,False,risk
0.9,unconstrained,17,116,1,False,risk
0.9,unconstrained,24,48,1,False,risk
0.9,unconstrained,10,367,1,False,risk
0.9,unconstrained,20,105,1,False,risk
0.9,unconstrained,5,155,1,False,risk
0.9,unconstrained,9,219,1,False,risk
0.9,unconstrained,16,269,1,False,risk
0.9,unconstrained,4,341,1,False,risk
0.9,unconstrained,1,114,1,False,risk
0.9,unconstrained,2,112,1,False,risk
0.9,unconstrained,8,126,1,False,risk
0.9,unconstrained,33,49,1,False,risk
0.9,unconstrained,25,223,1,False,risk
0.9,unconstrained,7,142,1,False,risk
0.9,unconstrained,38,102,1,False,risk
0.9,unconstrained,26,235,1,False,risk
0.9,unconstrained,11,126,1,False,risk
0.9,unconstrained,34,37,1,False,risk
0.9,unconstrained,22,221,1,False,risk
0.9,unconstrained,31,59,1,False,risk
0.9,unconstrained,37,33,1,False,risk
0.9,unconstrained,27,44,1,False,risk
0.9,unconstrained,3,50,1,False,risk
0.9,unconstrained,18,60,1,False,risk
0.9,unconstrained,28,45,1,False,risk
0.9,unconstrained,32,23,1,False,risk
0.9,unconstrained,39,10,1,False,risk
0.9,unconstrained,29,15,1,False,risk
0.9,unconstrained,30,39,1,False,risk
0.9,unconstrained,23,20,1,False,risk
0.9,unconstrained,36,3,1,False,risk
0.9,unconstrained,13,4,1,False,risk
