node_type,cluster_id,n_qualifying,n_consim0_anchored,n_consim2_only,n_consim0_fraction,n_consim2_fraction,edge_only_path_fraction
risk,14,158,147,7,0.9304,0.9747,0.9304
risk,6,214,112,85,0.5234,0.9206,0.5234
risk,19,136,40,86,0.2941,0.9265,0.2941
risk,21,179,38,137,0.2123,0.9777,0.2123
risk,35,168,52,101,0.3095,0.9107,0.3095
risk,12,102,32,66,0.3137,0.9608,0.3137
risk,15,121,77,38,0.6364,0.9504,0.6364
risk,0,299,283,16,0.9465,1.0,0.9465
risk,17,116,103,11,0.8879,0.9828,0.8879
risk,24,48,22,18,0.4583,0.8333,0.4583
risk,10,367,77,280,0.2098,0.9728,0.2098
risk,20,105,30,61,0.2857,0.8667,0.2857
risk,5,155,148,7,0.9548,1.0,0.9548
risk,9,219,135,74,0.6164,0.9543,0.6164
risk,16,269,165,103,0.6134,0.9963,0.6134
risk,4,341,300,33,0.8798,0.9765,0.8798
risk,1,114,64,44,0.5614,0.9474,0.5614
risk,2,112,60,44,0.5357,0.9286,0.5357
risk,8,126,119,7,0.9444,1.0,0.9444
risk,33,49,44,5,0.898,1.0,0.898
risk,25,223,28,186,0.1256,0.9596,0.1256
risk,7,142,23,111,0.162,0.9437,0.162
risk,38,102,26,64,0.2549,0.8824,0.2549
risk,26,235,40,179,0.1702,0.9319,0.1702
risk,11,126,54,50,0.4286,0.8254,0.4286
risk,34,37,14,18,0.3784,0.8649,0.3784
risk,22,221,181,40,0.819,1.0,0.819
risk,31,59,57,2,0.9661,1.0,0.9661
risk,37,33,15,16,0.4545,0.9394,0.4545
risk,27,44,6,20,0.1364,0.5909,0.1364
risk,3,50,28,12,0.56,0.8,0.56
risk,18,60,14,45,0.2333,0.9833,0.2333
risk,28,45,29,12,0.6444,0.9111,0.6444
risk,32,23,8,14,0.3478,0.9565,0.3478
risk,39,10,9,1,0.9,1.0,0.9
risk,29,15,7,2,0.4667,0.6,0.4667
risk,30,39,30,9,0.7692,1.0,0.7692
risk,23,20,15,5,0.75,1.0,0.75
risk,36,3,3,0,1.0,1.0,1.0
risk,13,4,4,0,1.0,1.0,1.0
intervention,32,53,26,25,0.4906,0.9623,0.4906
intervention,25,105,104,1,0.9905,1.0,0.9905
intervention,24,78,63,14,0.8077,0.9872,0.8077
intervention,6,111,109,2,0.982,1.0,0.982
intervention,35,185,148,27,0.8,0.9459,0.8
intervention,15,87,62,21,0.7126,0.954,0.7126
intervention,0,126,126,0,1.0,1.0,1.0
intervention,8,259,203,43,0.7838,0.9498,0.7838
intervention,9,122,122,0,1.0,1.0,1.0
intervention,34,71,70,1,0.9859,1.0,0.9859
intervention,22,69,69,0,1.0,1.0,1.0
intervention,14,15,10,5,0.6667,1.0,0.6667
intervention,16,25,25,0,1.0,1.0,1.0
intervention,23,101,101,0,1.0,1.0,1.0
intervention,4,203,190,12,0.936,0.9951,0.936
intervention,1,106,106,0,1.0,1.0,1.0
intervention,2,76,75,1,0.9868,1.0,0.9868
intervention,19,80,79,1,0.9875,1.0,0.9875
intervention,28,19,9,9,0.4737,0.9474,0.4737
intervention,26,174,173,1,0.9943,1.0,0.9943
intervention,17,42,42,0,1.0,1.0,1.0
intervention,5,190,181,9,0.9526,1.0,0.9526
intervention,18,53,45,8,0.8491,1.0,0.8491
intervention,36,38,38,0,1.0,1.0,1.0
intervention,21,48,46,2,0.9583,1.0,0.9583
intervention,10,95,82,7,0.8632,0.9368,0.8632
intervention,39,42,31,9,0.7381,0.9524,0.7381
intervention,38,68,62,4,0.9118,0.9706,0.9118
intervention,11,117,107,9,0.9145,0.9915,0.9145
intervention,13,26,26,0,1.0,1.0,1.0
intervention,3,22,22,0,1.0,1.0,1.0
intervention,31,28,28,0,1.0,1.0,1.0
intervention,33,34,34,0,1.0,1.0,1.0
intervention,27,23,22,1,0.9565,1.0,0.9565
intervention,20,25,25,0,1.0,1.0,1.0
intervention,30,17,16,1,0.9412,1.0,0.9412
intervention,7,12,12,0,1.0,1.0,1.0
intervention,12,14,14,0,1.0,1.0,1.0
intervention,37,6,6,0,1.0,1.0,1.0
intervention,29,5,5,0,1.0,1.0,1.0
