edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources,source_coverage_pct
0.9,unconstrained,risk,14,147,158,158,93.0
0.9,unconstrained,risk,6,196,214,214,91.6
0.9,unconstrained,risk,19,134,136,136,98.5
0.9,unconstrained,risk,21,178,179,179,99.4
0.9,unconstrained,risk,35,166,168,168,98.8
0.9,unconstrained,risk,12,102,102,102,100.0
0.9,unconstrained,risk,15,115,121,121,95.0
0.9,unconstrained,risk,0,251,299,299,83.9
0.9,unconstrained,risk,17,105,116,116,90.5
0.9,unconstrained,risk,24,46,48,48,95.8
0.9,unconstrained,risk,10,362,367,367,98.6
0.9,unconstrained,risk,20,97,105,105,92.4
0.9,unconstrained,risk,5,136,155,155,87.7
0.9,unconstrained,risk,9,209,219,219,95.4
0.9,unconstrained,risk,16,245,269,269,91.1
0.9,unconstrained,risk,4,260,341,341,76.2
0.9,unconstrained,risk,1,107,114,114,93.9
0.9,unconstrained,risk,2,105,112,112,93.8
0.9,unconstrained,risk,8,114,126,126,90.5
0.9,unconstrained,risk,33,48,49,49,98.0
0.9,unconstrained,risk,25,222,223,223,99.6
0.9,unconstrained,risk,7,142,142,142,100.0
0.9,unconstrained,risk,38,102,102,102,100.0
0.9,unconstrained,risk,26,234,235,235,99.6
0.9,unconstrained,risk,11,122,126,126,96.8
0.9,unconstrained,risk,34,37,37,37,100.0
0.9,unconstrained,risk,22,192,221,221,86.9
0.9,unconstrained,risk,31,56,59,59,94.9
0.9,unconstrained,risk,37,32,33,33,97.0
0.9,unconstrained,risk,27,44,44,44,100.0
0.9,unconstrained,risk,3,49,50,50,98.0
0.9,unconstrained,risk,18,60,60,60,100.0
0.9,unconstrained,risk,28,45,45,45,100.0
0.9,unconstrained,risk,32,23,23,23,100.0
0.9,unconstrained,risk,39,10,10,10,100.0
0.9,unconstrained,risk,29,15,15,15,100.0
0.9,unconstrained,risk,30,28,39,39,71.8
0.9,unconstrained,risk,23,19,20,20,95.0
0.9,unconstrained,risk,36,2,3,3,66.7
0.9,unconstrained,risk,13,2,4,4,50.0
0.9,unconstrained,intervention,32,50,53,53,94.3
0.9,unconstrained,intervention,25,93,105,105,88.6
0.9,unconstrained,intervention,24,77,78,78,98.7
0.9,unconstrained,intervention,6,98,111,111,88.3
0.9,unconstrained,intervention,35,174,185,185,94.1
0.9,unconstrained,intervention,15,82,87,87,94.3
0.9,unconstrained,intervention,0,101,126,126,80.2
0.9,unconstrained,intervention,8,202,259,259,78.0
0.9,unconstrained,intervention,9,93,122,122,76.2
0.9,unconstrained,intervention,34,57,71,71,80.3
0.9,unconstrained,intervention,22,56,69,69,81.2
0.9,unconstrained,intervention,14,12,15,15,80.0
0.9,unconstrained,intervention,16,19,25,25,76.0
0.9,unconstrained,intervention,23,86,101,101,85.1
0.9,unconstrained,intervention,4,175,203,203,86.2
0.9,unconstrained,intervention,1,95,106,106,89.6
0.9,unconstrained,intervention,2,68,76,76,89.5
0.9,unconstrained,intervention,19,73,80,80,91.2
0.9,unconstrained,intervention,28,17,19,19,89.5
0.9,unconstrained,intervention,26,141,174,174,81.0
0.9,unconstrained,intervention,17,40,42,42,95.2
0.9,unconstrained,intervention,5,175,190,190,92.1
0.9,unconstrained,intervention,18,52,53,53,98.1
0.9,unconstrained,intervention,36,34,38,38,89.5
0.9,unconstrained,intervention,21,40,48,48,83.3
0.9,unconstrained,intervention,10,85,95,95,89.5
0.9,unconstrained,intervention,39,39,42,42,92.9
0.9,unconstrained,intervention,38,57,68,68,83.8
0.9,unconstrained,intervention,11,104,117,117,88.9
0.9,unconstrained,intervention,13,22,26,26,84.6
0.9,unconstrained,intervention,3,21,22,22,95.5
0.9,unconstrained,intervention,31,25,28,28,89.3
0.9,unconstrained,intervention,33,32,34,34,94.1
0.9,unconstrained,intervention,27,21,23,23,91.3
0.9,unconstrained,intervention,20,22,25,25,88.0
0.9,unconstrained,intervention,30,15,17,17,88.2
0.9,unconstrained,intervention,7,12,12,12,100.0
0.9,unconstrained,intervention,12,14,14,14,100.0
0.9,unconstrained,intervention,37,6,6,6,100.0
0.9,unconstrained,intervention,29,4,5,5,80.0
0.9,unconstrained,problem_analysis,16,101,109,109,92.7
0.9,unconstrained,problem_analysis,18,81,87,87,93.1
0.9,unconstrained,problem_analysis,5,104,112,112,92.9
0.9,unconstrained,problem_analysis,9,138,142,142,97.2
0.9,unconstrained,problem_analysis,3,95,99,99,96.0
0.9,unconstrained,problem_analysis,7,132,140,140,94.3
0.9,unconstrained,problem_analysis,23,52,52,52,100.0
0.9,unconstrained,problem_analysis,1,106,124,124,85.5
0.9,unconstrained,problem_analysis,6,266,295,295,90.2
0.9,unconstrained,problem_analysis,19,177,186,186,95.2
0.9,unconstrained,problem_analysis,2,159,188,188,84.6
0.9,unconstrained,problem_analysis,0,95,108,108,88.0
0.9,unconstrained,problem_analysis,39,107,109,109,98.2
0.9,unconstrained,problem_analysis,11,115,133,133,86.5
0.9,unconstrained,problem_analysis,8,68,69,69,98.6
0.9,unconstrained,problem_analysis,20,112,127,127,88.2
0.9,unconstrained,problem_analysis,34,44,46,46,95.7
0.9,unconstrained,problem_analysis,24,29,29,29,100.0
0.9,unconstrained,problem_analysis,10,151,164,164,92.1
0.9,unconstrained,problem_analysis,13,164,171,171,95.9
0.9,unconstrained,problem_analysis,30,30,32,32,93.8
0.9,unconstrained,problem_analysis,4,114,129,129,88.4
0.9,unconstrained,problem_analysis,12,114,115,115,99.1
0.9,unconstrained,problem_analysis,28,59,70,70,84.3
0.9,unconstrained,problem_analysis,27,104,108,108,96.3
0.9,unconstrained,problem_analysis,37,38,40,40,95.0
0.9,unconstrained,problem_analysis,22,71,78,78,91.0
0.9,unconstrained,problem_analysis,31,56,57,57,98.2
0.9,unconstrained,problem_analysis,32,49,49,49,100.0
0.9,unconstrained,problem_analysis,35,15,17,17,88.2
0.9,unconstrained,problem_analysis,26,38,38,38,100.0
0.9,unconstrained,problem_analysis,29,26,29,29,89.7
0.9,unconstrained,problem_analysis,15,31,32,32,96.9
0.9,unconstrained,problem_analysis,17,29,32,32,90.6
0.9,unconstrained,problem_analysis,33,30,30,30,100.0
0.9,unconstrained,problem_analysis,25,56,57,57,98.2
0.9,unconstrained,problem_analysis,14,38,41,41,92.7
0.9,unconstrained,problem_analysis,21,16,16,16,100.0
0.9,unconstrained,problem_analysis,38,16,16,16,100.0
0.9,unconstrained,problem_analysis,36,7,7,7,100.0
0.9,unconstrained,theoretical_insight,9,71,76,76,93.4
0.9,unconstrained,theoretical_insight,2,130,138,138,94.2
0.9,unconstrained,theoretical_insight,25,19,19,19,100.0
0.9,unconstrained,theoretical_insight,6,124,129,129,96.1
0.9,unconstrained,theoretical_insight,3,62,70,70,88.6
0.9,unconstrained,theoretical_insight,11,100,108,108,92.6
0.9,unconstrained,theoretical_insight,33,78,88,88,88.6
0.9,unconstrained,theoretical_insight,14,29,30,30,96.7
0.9,unconstrained,theoretical_insight,29,79,83,83,95.2
0.9,unconstrained,theoretical_insight,39,38,42,42,90.5
0.9,unconstrained,theoretical_insight,10,130,155,155,83.9
0.9,unconstrained,theoretical_insight,13,87,101,101,86.1
0.9,unconstrained,theoretical_insight,34,56,61,61,91.8
0.9,unconstrained,theoretical_insight,23,20,21,21,95.2
0.9,unconstrained,theoretical_insight,18,41,46,46,89.1
0.9,unconstrained,theoretical_insight,36,101,107,107,94.4
0.9,unconstrained,theoretical_insight,4,109,114,114,95.6
0.9,unconstrained,theoretical_insight,12,209,239,239,87.4
0.9,unconstrained,theoretical_insight,28,58,63,63,92.1
0.9,unconstrained,theoretical_insight,30,67,70,70,95.7
0.9,unconstrained,theoretical_insight,7,116,143,143,81.1
0.9,unconstrained,theoretical_insight,1,107,125,125,85.6
0.9,unconstrained,theoretical_insight,8,60,65,65,92.3
0.9,unconstrained,theoretical_insight,21,24,24,24,100.0
0.9,unconstrained,theoretical_insight,0,34,35,35,97.1
0.9,unconstrained,theoretical_insight,37,31,32,32,96.9
