edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
0.9,unconstrained,risk,14,147,158,158
0.9,unconstrained,risk,6,196,214,214
0.9,unconstrained,risk,19,134,136,136
0.9,unconstrained,risk,21,178,179,179
0.9,unconstrained,risk,35,166,168,168
0.9,unconstrained,risk,12,102,102,102
0.9,unconstrained,risk,15,115,121,121
0.9,unconstrained,risk,0,251,299,299
0.9,unconstrained,risk,17,105,116,116
0.9,unconstrained,risk,24,46,48,48
0.9,unconstrained,risk,10,362,367,367
0.9,unconstrained,risk,20,97,105,105
0.9,unconstrained,risk,5,136,155,155
0.9,unconstrained,risk,9,209,219,219
0.9,unconstrained,risk,16,245,269,269
0.9,unconstrained,risk,4,260,341,341
0.9,unconstrained,risk,1,107,114,114
0.9,unconstrained,risk,2,105,112,112
0.9,unconstrained,risk,8,114,126,126
0.9,unconstrained,risk,33,48,49,49
0.9,unconstrained,risk,25,222,223,223
0.9,unconstrained,risk,7,142,142,142
0.9,unconstrained,risk,38,102,102,102
0.9,unconstrained,risk,26,234,235,235
0.9,unconstrained,risk,11,122,126,126
0.9,unconstrained,risk,34,37,37,37
0.9,unconstrained,risk,22,192,221,221
0.9,unconstrained,risk,31,56,59,59
0.9,unconstrained,risk,37,32,33,33
0.9,unconstrained,risk,27,44,44,44
0.9,unconstrained,risk,3,49,50,50
0.9,unconstrained,risk,18,60,60,60
0.9,unconstrained,risk,28,45,45,45
0.9,unconstrained,risk,32,23,23,23
0.9,unconstrained,risk,39,10,10,10
0.9,unconstrained,risk,29,15,15,15
0.9,unconstrained,risk,30,28,39,39
0.9,unconstrained,risk,23,19,20,20
0.9,unconstrained,risk,36,2,3,3
0.9,unconstrained,risk,13,2,4,4
0.9,unconstrained,intervention,32,50,53,53
0.9,unconstrained,intervention,25,93,105,105
0.9,unconstrained,intervention,24,77,78,78
0.9,unconstrained,intervention,6,98,111,111
0.9,unconstrained,intervention,35,174,185,185
0.9,unconstrained,intervention,15,82,87,87
0.9,unconstrained,intervention,0,101,126,126
0.9,unconstrained,intervention,8,202,259,259
0.9,unconstrained,intervention,9,93,122,122
0.9,unconstrained,intervention,34,57,71,71
0.9,unconstrained,intervention,22,56,69,69
0.9,unconstrained,intervention,14,12,15,15
0.9,unconstrained,intervention,16,19,25,25
0.9,unconstrained,intervention,23,86,101,101
0.9,unconstrained,intervention,4,175,203,203
0.9,unconstrained,intervention,1,95,106,106
0.9,unconstrained,intervention,2,68,76,76
0.9,unconstrained,intervention,19,73,80,80
0.9,unconstrained,intervention,28,17,19,19
0.9,unconstrained,intervention,26,141,174,174
0.9,unconstrained,intervention,17,40,42,42
0.9,unconstrained,intervention,5,175,190,190
0.9,unconstrained,intervention,18,52,53,53
0.9,unconstrained,intervention,36,34,38,38
0.9,unconstrained,intervention,21,40,48,48
0.9,unconstrained,intervention,10,85,95,95
0.9,unconstrained,intervention,39,39,42,42
0.9,unconstrained,intervention,38,57,68,68
0.9,unconstrained,intervention,11,104,117,117
0.9,unconstrained,intervention,13,22,26,26
0.9,unconstrained,intervention,3,21,22,22
0.9,unconstrained,intervention,31,25,28,28
0.9,unconstrained,intervention,33,32,34,34
0.9,unconstrained,intervention,27,21,23,23
0.9,unconstrained,intervention,20,22,25,25
0.9,unconstrained,intervention,30,15,17,17
0.9,unconstrained,intervention,7,12,12,12
0.9,unconstrained,intervention,12,14,14,14
0.9,unconstrained,intervention,37,6,6,6
0.9,unconstrained,intervention,29,4,5,5
