family_id,group_id,n_paths,signature_str,jaccard_sim_to_centroid
83,1,162,de:6 & im:31 & pr:30 & th:5 & va:0,0.4
106,1,135,de:29 & im:12 & pr:0 & th:5 & va:0,0.4
111,1,126,de:28 & im:9 & pr:7 & th:39 & va:0,0.1667
163,1,76,de:7 & im:7 & pr:39 & th:5 & va:0,0.4
174,1,69,de:38 & im:7 & pr:5 & th:12 & va:0,0.1667
191,1,58,de:38 & im:10 & pr:7 & th:12 & va:0,0.1667
302,1,29,de:6 & im:31 & pr:30 & pr:6 & th:5 & va:0,0.3333
348,1,25,de:21 & im:5 & pr:39 & th:39 & va:0,0.1667
350,1,25,de:38 & de:6 & im:10 & im:3 & pr:31 & pr:32 & pr:4 & va:0 & va:23,0.1
364,1,23,de:7 & im:7 & pr:39 & pr:6 & th:5 & va:0,0.3333
392,1,21,de:28 & im:9 & pr:6 & pr:7 & th:39 & va:0,0.1429
405,1,20,de:29 & im:12 & pr:0 & pr:6 & th:5 & va:0,0.3333
441,1,18,de:29 & im:29 & pr:0 & th:34 & va:14,0.0
458,1,17,de:38 & im:10 & pr:6 & pr:7 & th:12 & va:0,0.1429
663,1,12,de:38 & de:6 & im:10 & im:3 & pr:21 & pr:32 & pr:4 & th:31 & va:0 & va:23,0.0909
698,1,11,de:6 & im:31 & pr:12 & pr:30 & th:5 & va:0,0.3333
792,1,9,de:28 & im:9 & pr:19 & pr:7 & th:39 & va:0,0.1429
822,1,9,de:21 & im:5 & pr:5 & th:39 & va:31,0.0
852,1,8,de:7 & im:7 & pr:19 & pr:39 & th:5 & va:0,0.3333
886,1,8,de:29 & im:12 & pr:0 & pr:31 & th:5 & va:0,0.3333
902,1,8,de:38 & im:7 & pr:22 & th:12 & va:13,0.0
954,1,7,de:6 & im:31 & pr:19 & pr:30 & th:5 & va:0,0.3333
1001,1,7,de:29 & im:12 & pr:0 & pr:33 & th:5 & va:0,0.3333
1064,1,7,de:6 & im:31 & pr:27 & pr:30 & th:5 & va:0,0.3333
1118,1,6,de:38 & de:6 & im:10 & im:3 & pr:19 & pr:31 & pr:32 & pr:4 & va:0 & va:23,0.0909
1143,1,6,de:29 & im:12 & pr:0 & pr:9 & th:5 & va:0,0.3333
1184,1,6,de:6 & im:31 & pr:30 & pr:33 & th:5 & va:0,0.3333
1230,1,6,de:29 & im:12 & pr:0 & pr:19 & th:5 & va:0,0.3333
1310,1,6,de:28 & im:9 & pr:27 & pr:7 & th:39 & va:0,0.1429
1427,1,5,de:7 & im:7 & pr:27 & pr:39 & th:5 & va:0,0.3333
1472,1,5,de:38 & de:6 & im:10 & im:3 & pr:31 & pr:32 & pr:33 & pr:4 & va:0 & va:23,0.0909
1483,1,5,de:6 & im:31 & pr:30 & pr:31 & th:5 & va:0,0.3333
1500,1,5,de:38 & im:10 & pr:19 & pr:7 & th:12 & va:0,0.1429
1523,1,5,de:21 & im:5 & pr:12 & pr:39 & th:39 & va:0,0.1429
1525,1,5,de:29 & im:12 & pr:0 & pr:12 & th:5 & va:0,0.3333
1534,1,5,de:3 & im:9 & pr:19 & th:37 & va:0,0.1667
6,2,746,de:3 & im:16 & pr:39 & th:36 & va:26,0.8
24,2,328,de:3 & im:16 & pr:39 & th:36 & va:0,0.8
32,2,281,de:3 & im:8 & pr:39 & pr:7 & th:36 & va:0,0.4286
46,2,230,de:29 & im:16 & pr:39 & th:36 & va:26,0.5
57,2,211,de:3 & im:16 & pr:7 & va:0,0.3333
107,2,128,de:3 & im:16 & pr:23 & th:36 & va:0,0.5
117,2,122,de:3 & im:16 & pr:39 & pr:6 & th:36 & va:26,0.6667
141,2,92,de:3 & im:16 & pr:39 & th:36 & va:7,0.8
143,2,90,de:3 & im:16 & pr:7 & th:36 & va:0,0.5
197,2,56,de:3 & im:16 & pr:38 & th:12 & va:26,0.2857
205,2,52,de:3 & im:16 & pr:39 & pr:6 & th:36 & va:0,0.6667
215,2,47,de:3 & im:16 & pr:19 & pr:39 & th:36 & va:26,0.6667
220,2,43,de:3 & im:8 & pr:39 & pr:6 & pr:7 & th:36 & va:0,0.375
247,2,36,de:3 & im:33 & pr:16 & pr:19 & pr:2 & th:34 & va:26,0.1
268,2,33,de:29 & im:16 & pr:39 & pr:6 & th:36 & va:26,0.4286
304,2,29,de:3 & im:16 & pr:23 & pr:6 & th:36 & va:0,0.4286
316,2,28,de:3 & im:16 & pr:6 & pr:7 & va:0,0.2857
320,2,28,de:3 & im:33 & pr:2 & th:34 & va:26,0.125
