family_id,group_id,n_paths,signature_str,jaccard_sim_to_centroid
21,1,13,de:33 & im:5 & pr:16 & th:26 & va:20,0.25
47,1,8,de:14 & im:25 & pr:14 & va:20,0.8
87,1,5,de:14 & im:25 & pr:14 & th:26 & va:20,1.0
29,2,11,de:10 & im:26 & pr:28 & th:33 & va:21,0.7143
38,2,9,de:10 & im:32 & pr:28 & th:33 & va:33,0.7143
56,3,7,de:22 & im:31 & pr:9 & th:14 & th:4 & va:7,0.5714
62,3,7,de:22 & im:31 & pr:3 & th:4 & va:11,0.4286
63,3,6,de:22 & im:31 & pr:13 & th:4 & va:7,1.0
75,3,6,de:22 & im:26 & pr:13 & th:4 & va:7,0.6667
86,3,5,de:22 & im:23 & pr:13 & th:4 & va:38,0.4286
94,3,5,de:27 & im:31 & pr:15 & th:38 & va:11,0.1111
0,4,185,de:15 & im:4 & pr:6 & th:11 & va:10,0.6
1,4,57,de:15 & im:4 & pr:6 & th:11 & va:9,0.6
2,4,39,pr:6,0.3333
3,4,35,de:15 & im:4 & pr:6 & th:11 & va:32,0.6
6,4,26,de:28 & im:9 & pr:18 & th:35 & va:28,0.0
14,4,15,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:10,0.5
22,4,13,de:15 & im:4 & pr:31 & th:9 & va:10,0.3333
27,4,12,de:15 & im:4 & pr:12 & th:2 & va:10,0.3333
44,4,8,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:32,0.5
49,4,8,de:15 & pr:6 & th:11 & va:32,0.4
54,4,8,de:21 & im:5 & pr:5 & th:39 & va:31,0.0
59,4,7,de:15 & im:4 & pr:6 & th:2 & va:10,0.6
66,4,6,de:11 & im:9 & pr:33 & th:35 & va:15,0.0
69,4,6,de:15 & im:4 & pr:6 & th:12 & va:10,0.6
82,4,6,de:7 & im:4 & pr:6 & th:12 & va:10,0.3333
91,4,5,de:17 & im:4 & pr:6 & th:12 & va:9,0.3333
98,4,5,de:15 & im:9 & pr:5 & th:2 & va:18,0.1429
101,4,5,de:9 & pr:6 & th:11,0.2
102,4,5,de:9 & im:4 & pr:6 & th:11 & va:10,0.3333
4,5,35,de:3 & im:16 & pr:39 & th:36 & va:26,0.0
15,5,15,de:3 & im:33 & pr:2 & th:34 & va:26,0.0
20,5,13,de:3 & im:16 & pr:39 & th:36 & va:0,0.0
28,5,12,de:31 & im:2 & pr:10 & th:10 & va:1,0.0
33,5,10,de:3 & im:11 & pr:0 & va:8,0.0
36,5,9,de:3 & im:16 & pr:2 & th:36 & va:26,0.0
39,5,9,de:19 & im:2 & pr:2 & th:32 & va:14,0.0
45,5,8,de:29 & im:16 & pr:39 & th:36 & va:26,0.0
52,5,8,de:31 & im:2 & pr:2 & th:10 & va:36,0.0
53,5,8,de:19 & im:0 & pr:2 & th:10 & va:36,0.0
65,5,6,de:7 & im:10 & pr:19 & th:37 & va:37,0.0
68,5,6,de:6 & im:10 & pr:8 & th:1 & va:13,0.0
76,5,6,de:29 & im:10 & pr:10 & th:5 & va:1,0.0
80,5,6,de:1 & im:18 & pr:2 & th:34 & va:26,0.0
81,5,6,de:1 & im:18 & pr:0 & th:34 & va:26,0.0
83,5,6,de:1 & im:18 & pr:10 & th:27 & va:4,0.0
95,5,5,de:3 & im:33 & pr:10 & th:34 & va:36,0.0
99,5,5,de:6 & im:16 & pr:5 & th:1 & va:26,0.0
8,6,21,de:20 & im:19 & pr:11 & th:12 & va:9,0.0
9,6,20,de:12 & im:20 & pr:9 & th:1 & va:12,0.0
11,6,17,de:16 & im:1 & pr:9 & th:31 & va:39,0.1429
12,6,16,de:16 & im:1 & pr:12 & th:31 & va:39,0.1429
16,6,14,de:16 & im:1 & pr:9 & th:14 & va:37,0.1429
17,6,14,de:12 & im:20 & pr:12 & pr:9 & th:1 & va:12,0.0
18,6,14,de:37 & im:1 & pr:12 & th:6 & va:39,0.6
19,6,14,de:37 & im:1 & pr:12 & th:6 & va:17,0.6
23,6,12,de:37 & im:1 & pr:9 & th:6 & va:17,0.6
24,6,12,de:32 & de:37 & im:0 & im:1 & pr:19 & th:7 & va:17,0.25
25,6,12,de:12 & de:32 & de:37 & im:0 & im:1 & im:20 & pr:19 & pr:9 & th:1 & th:6 & th:7 & va:12,0.25
26,6,12,de:16 & de:32 & de:37 & im:0 & im:1 & pr:19 & pr:9 & th:31 & th:6 & th:7 & va:39,0.2727
30,6,11,de:37 & im:1 & pr:12 & th:6 & va:1,0.6
31,6,10,de:37 & im:1 & pr:19 & th:6 & va:1,0.6
32,6,10,de:37 & im:1 & pr:12 & pr:9 & th:6 & va:39,0.5
34,6,9,de:37 & im:3 & pr:19 & th:6 & va:1,0.3333
35,6,9,de:37 & im:1 & pr:7 & th:6 & va:17,0.6
37,6,9,de:37 & im:1 & pr:12 & pr:9 & th:6 & va:17,0.5
41,6,9,de:7 & im:7 & pr:11 & th:12 & va:9,0.0
43,6,8,de:37 & im:1 & pr:12 & th:6 & va:37,0.6
46,6,8,de:16 & de:28 & de:5 & im:28 & im:9 & pr:7 & pr:9 & th:25 & th:31 & th:39 & va:0,0.0
48,6,8,de:37 & im:1 & pr:19 & th:6 & va:39,0.6
50,6,8,de:16 & im:35 & pr:21 & pr:9 & th:2 & va:2,0.0
51,6,8,de:16 & de:28 & de:5 & im:28 & im:9 & pr:21 & pr:7 & pr:9 & th:25 & th:31 & th:39 & va:0,0.0
55,6,8,de:13 & im:1 & pr:7 & th:37 & va:17,0.1429
57,6,7,de:16 & de:28 & de:5 & im:28 & im:9 & pr:12 & pr:7 & th:25 & th:31 & th:39 & va:0,0.0
58,6,7,de:37 & im:1 & pr:12 & th:6 & va:15,0.6
60,6,7,de:20 & de:28 & im:19 & pr:12 & pr:24 & pr:9 & va:30,0.0
61,6,7,de:20 & de:28 & im:7 & pr:12 & pr:27 & pr:9 & va:25,0.0
64,6,6,de:32 & de:37 & im:0 & im:1 & pr:19 & pr:9 & th:6 & th:7 & va:39,0.3333
67,6,6,pr:12 & pr:9,0.0
70,6,6,de:32 & de:37 & im:0 & im:1 & pr:19 & pr:9 & th:6 & th:7,0.375
71,6,6,de:32 & de:37 & im:0 & im:1 & im:28 & pr:19 & th:6 & th:7 & va:1,0.3333
72,6,6,de:32 & de:37 & im:0 & im:1 & pr:19 & pr:23 & pr:7 & pr:9 & th:6 & th:7 & va:17,0.2727
73,6,6,de:16 & de:32 & de:37 & im:0 & im:1 & im:35 & pr:19 & pr:21 & pr:9 & th:14 & th:2 & th:31 & th:6 & th:7 & va:2,0.2
74,6,6,de:16 & de:28 & de:32 & de:37 & de:5 & im:0 & im:1 & im:28 & im:9 & pr:19 & pr:7 & pr:9 & th:14 & th:25 & th:31 & th:39 & th:6 & th:7 & va:0,0.1579
78,6,6,de:20 & im:19 & pr:11 & th:2 & va:9,0.0
84,6,6,de:20 & im:19 & pr:24 & th:1 & va:30,0.0
88,6,5,de:37 & im:1 & pr:19 & th:6 & va:17,0.6
89,6,5,de:37 & im:1 & im:28 & pr:9 & th:6 & va:1,0.5
90,6,5,de:37 & im:1 & pr:37 & th:6 & va:39,0.6
92,6,5,de:11 & im:1 & pr:7 & th:25 & va:12,0.1429
93,6,5,de:37 & im:1 & pr:12 & pr:9 & th:6 & va:15,0.5
97,6,5,de:37 & im:1 & pr:25 & th:6 & va:17,0.6
100,6,5,de:37 & im:1 & pr:32 & th:6 & va:17,0.6
103,6,5,de:20 & im:20 & pr:24 & th:1 & va:30,0.0
5,7,30,de:30 & im:8 & pr:1 & th:7 & va:1,0.6
13,7,16,de:30 & im:8 & pr:1 & th:13 & va:1,0.3333
40,7,9,de:31 & im:24 & pr:1 & th:13 & va:36,0.1429
