cluster_id,n_paths,n_unique_body_nodes,n_sources
33,4905,2082,531
6,4710,2344,593
27,4548,1559,423
29,4152,2230,518
37,3578,1157,355
4,3460,681,237
17,2747,1056,301
13,2747,421,181
38,2552,6953,1110
8,2494,588,218
31,2329,745,258
26,2292,461,183
11,2172,561,218
7,2168,411,149
1,2105,2527,562
12,1952,1019,318
16,1934,882,255
15,1798,2090,458
35,1697,326,136
39,1658,263,115
3,1623,1156,270
10,1554,954,251
5,1462,549,217
36,1451,1664,391
25,1451,490,186
32,1428,1086,303
2,1348,721,277
14,1346,728,246
28,1277,586,173
20,1074,684,244
19,957,344,143
24,943,742,208
23,531,195,87
0,530,379,140
22,474,347,136
21,452,162,73
9,370,246,119
18,320,111,56
34,216,154,76
30,109,141,38
