family_id,n_paths,n_sources,signature_str,top_subtypes
0,185,45,de:15 & im:4 & pr:6 & th:11 & va:10,{}
1,57,4,de:15 & im:4 & pr:6 & th:11 & va:9,{}
2,39,3,pr:6,{}
3,35,15,de:15 & im:4 & pr:6 & th:11 & va:32,{}
4,35,24,de:3 & im:16 & pr:39 & th:36 & va:26,{}
5,30,5,de:30 & im:8 & pr:1 & th:7 & va:1,{}
6,26,2,de:28 & im:9 & pr:18 & th:35 & va:28,{}
7,26,15,de:23 & im:27 & pr:22 & th:18 & va:22,{}
8,21,14,de:20 & im:19 & pr:11 & th:12 & va:9,{}
9,20,1,de:12 & im:20 & pr:9 & th:1 & va:12,{}
10,17,13,de:25 & im:34 & pr:4 & th:21 & va:27,{}
11,17,2,de:16 & im:1 & pr:9 & th:31 & va:39,{}
12,16,2,de:16 & im:1 & pr:12 & th:31 & va:39,{}
13,16,5,de:30 & im:8 & pr:1 & th:13 & va:1,{}
14,15,3,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:10,{}
15,15,7,de:3 & im:33 & pr:2 & th:34 & va:26,{}
16,14,1,de:16 & im:1 & pr:9 & th:14 & va:37,{}
17,14,1,de:12 & im:20 & pr:12 & pr:9 & th:1 & va:12,{}
18,14,2,de:37 & im:1 & pr:12 & th:6 & va:39,{}
19,14,2,de:37 & im:1 & pr:12 & th:6 & va:17,{}
20,13,10,de:3 & im:16 & pr:39 & th:36 & va:0,{}
21,13,1,de:33 & im:5 & pr:16 & th:26 & va:20,{}
22,13,5,de:15 & im:4 & pr:31 & th:9 & va:10,{}
23,12,2,de:37 & im:1 & pr:9 & th:6 & va:17,{}
24,12,2,de:32 & de:37 & im:0 & im:1 & pr:19 & th:7 & va:17,{}
25,12,1,de:12 & de:32 & de:37 & im:0 & im:1 & im:20 & pr:19 & pr:9 & th:1 & th:6 & th:7 & va:12,{}
26,12,2,de:16 & de:32 & de:37 & im:0 & im:1 & pr:19 & pr:9 & th:31 & th:6 & th:7 & va:39,{}
27,12,1,de:15 & im:4 & pr:12 & th:2 & va:10,{}
28,12,4,de:31 & im:2 & pr:10 & th:10 & va:1,{}
29,11,7,de:10 & im:26 & pr:28 & th:33 & va:21,{}
30,11,5,de:37 & im:1 & pr:12 & th:6 & va:1,{}
31,10,5,de:37 & im:1 & pr:19 & th:6 & va:1,{}
32,10,2,de:37 & im:1 & pr:12 & pr:9 & th:6 & va:39,{}
33,10,3,de:3 & im:11 & pr:0 & va:8,{}
34,9,2,de:37 & im:3 & pr:19 & th:6 & va:1,{}
35,9,7,de:37 & im:1 & pr:7 & th:6 & va:17,{}
36,9,6,de:3 & im:16 & pr:2 & th:36 & va:26,{}
37,9,2,de:37 & im:1 & pr:12 & pr:9 & th:6 & va:17,{}
38,9,6,de:10 & im:32 & pr:28 & th:33 & va:33,{}
39,9,6,de:19 & im:2 & pr:2 & th:32 & va:14,{}
40,9,7,de:31 & im:24 & pr:1 & th:13 & va:36,{}
41,9,3,de:7 & im:7 & pr:11 & th:12 & va:9,{}
42,9,5,de:35 & im:3 & pr:34 & th:7 & va:23,{}
43,8,2,de:37 & im:1 & pr:12 & th:6 & va:37,{}
44,8,2,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:32,{}
45,8,4,de:29 & im:16 & pr:39 & th:36 & va:26,{}
46,8,1,de:16 & de:28 & de:5 & im:28 & im:9 & pr:7 & pr:9 & th:25 & th:31 & th:39 & va:0,{}
47,8,2,de:14 & im:25 & pr:14 & va:20,{}
48,8,5,de:37 & im:1 & pr:19 & th:6 & va:39,{}
49,8,1,de:15 & pr:6 & th:11 & va:32,{}
50,8,1,de:16 & im:35 & pr:21 & pr:9 & th:2 & va:2,{}
51,8,1,de:16 & de:28 & de:5 & im:28 & im:9 & pr:21 & pr:7 & pr:9 & th:25 & th:31 & th:39 & va:0,{}
52,8,6,de:31 & im:2 & pr:2 & th:10 & va:36,{}
53,8,1,de:19 & im:0 & pr:2 & th:10 & va:36,{}
54,8,5,de:21 & im:5 & pr:5 & th:39 & va:31,{}
55,8,4,de:13 & im:1 & pr:7 & th:37 & va:17,{}
56,7,1,de:22 & im:31 & pr:9 & th:14 & th:4 & va:7,{}
57,7,1,de:16 & de:28 & de:5 & im:28 & im:9 & pr:12 & pr:7 & th:25 & th:31 & th:39 & va:0,{}
58,7,1,de:37 & im:1 & pr:12 & th:6 & va:15,{}
59,7,4,de:15 & im:4 & pr:6 & th:2 & va:10,{}
60,7,1,de:20 & de:28 & im:19 & pr:12 & pr:24 & pr:9 & va:30,{}
61,7,1,de:20 & de:28 & im:7 & pr:12 & pr:27 & pr:9 & va:25,{}
62,7,6,de:22 & im:31 & pr:3 & th:4 & va:11,{}
63,6,4,de:22 & im:31 & pr:13 & th:4 & va:7,{}
