family_id,n_paths,n_sources,signature_str,meta_family_id
0,6944,111,de:15 & im:4 & pr:6 & th:11 & va:10,18
1,1649,44,de:15 & im:4 & pr:6 & th:11 & va:9,18
2,1210,59,de:15 & im:4 & pr:6 & th:11 & va:32,18
3,900,16,de:34 & im:10 & pr:10 & pr:19 & th:3 & va:4,25
4,896,33,de:12 & im:20 & pr:9 & th:1 & va:12,15
5,855,9,de:13 & im:1 & pr:7 & th:37 & va:17,23
6,746,41,de:3 & im:16 & pr:39 & th:36 & va:26,4
7,729,48,pr:6,17
8,678,13,de:15 & im:4 & pr:31 & th:9 & va:10,18
9,538,40,de:15 & im:4 & pr:27 & pr:6 & th:12 & th:2 & va:10,18
10,522,65,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:10,18
11,444,5,de:11 & im:9 & pr:33 & th:35 & va:15,6
12,429,25,de:15 & im:10 & pr:6 & th:11 & va:10,18
13,403,8,de:15 & im:4 & pr:31 & th:11 & va:9,18
14,399,11,de:15 & im:4 & pr:6 & th:1 & va:10,18
15,394,6,de:25 & im:34 & pr:32 & th:21 & va:30,5
16,391,27,de:14 & im:20 & pr:19 & pr:9 & th:14 & th:26 & va:19,15
17,383,31,de:20 & im:19 & pr:11 & th:12 & va:9,19
18,379,13,de:37 & im:1 & pr:12 & th:6 & va:39,23
19,377,21,de:37 & im:1 & pr:12 & th:6 & va:1,23
20,360,12,de:16 & im:1 & pr:12 & th:31 & va:39,21
21,350,6,de:7 & im:10 & pr:19 & th:37 & va:37,25
22,342,16,de:37 & im:8 & pr:19 & th:28 & va:1,29
23,337,16,de:16 & im:4 & pr:6 & va:9,18
24,328,24,de:3 & im:16 & pr:39 & th:36 & va:0,4
25,326,23,de:25 & im:34 & pr:4 & th:21 & va:27,5
26,323,11,de:15 & im:4 & pr:6 & th:11,18
27,320,35,de:15 & pr:6 & th:1,18
28,320,35,de:4 & im:7 & pr:6 & th:12 & va:30,19
29,320,5,de:20 & im:19 & pr:35 & th:12 & va:2,19
30,298,8,de:15 & im:4 & pr:31 & th:2 & va:10,18
31,288,18,de:37 & im:1 & pr:12 & pr:7 & th:6 & va:1,23
32,281,11,de:3 & im:8 & pr:39 & pr:7 & th:36 & va:0,4
33,274,21,de:37 & im:1 & pr:12 & pr:20 & th:6 & va:1,23
34,272,19,de:22 & im:31 & pr:13 & th:4 & va:7,11
35,271,15,de:37 & im:1 & pr:9 & th:6 & va:17,23
36,270,55,de:15 & im:4 & pr:19 & pr:6 & th:11 & va:10,18
37,265,30,de:20 & im:7 & pr:6 & th:12 & va:0,19
38,264,29,de:17 & im:4 & pr:6 & th:12 & va:9,19
39,263,34,de:23 & im:38 & pr:6 & th:12 & va:2,19
40,260,18,de:15 & im:7 & pr:6 & th:12 & va:10,18
41,251,18,de:37 & im:1 & pr:19 & th:6 & va:1,23
42,248,18,de:29 & im:10 & pr:19 & th:5 & va:1,25
43,246,15,de:25 & im:34 & pr:31 & pr:32,5
44,239,9,de:13 & im:1 & pr:7 & th:37 & va:39,23
45,232,10,im:4 & pr:31 & th:9 & va:10,18
46,230,15,de:29 & im:16 & pr:39 & th:36 & va:26,4
47,229,17,de:14 & im:25 & pr:9 & th:26 & va:20,15
48,229,7,de:37 & im:1 & pr:12 & th:6 & va:37,23
49,228,11,de:20 & im:4 & pr:11 & th:12,19
50,227,13,de:15 & im:4 & pr:31,18
51,226,8,im:31 & pr:13 & th:4,11
52,222,61,de:15 & im:4 & pr:27 & pr:6 & th:11 & va:10,18
53,220,7,de:16 & im:4,18
54,217,10,de:15 & im:4 & pr:31 & th:9 & va:32,18
55,214,16,de:37 & im:1 & pr:19 & th:6 & va:39,23
56,213,10,de:11 & im:1 & pr:10 & pr:31 & th:27 & va:22,21
57,211,8,de:3 & im:16 & pr:7 & va:0,4
58,211,8,de:20 & de:28 & im:19 & pr:12 & pr:24 & va:30,19
59,208,27,de:15 & im:19 & pr:6 & th:12 & va:10,18
60,201,10,de:16 & im:31 & pr:12 & th:4,21
61,199,30,de:7 & im:7 & pr:11 & pr:14 & pr:6 & th:12 & va:18,19
62,197,6,de:25 & im:34 & pr:32 & th:21 & va:17,5
63,194,15,de:15 & im:4 & pr:31 & th:9 & va:31,18
64,193,11,de:16 & pr:12 & th:2 & va:2,21
65,191,7,de:14 & im:25 & pr:7 & th:26 & va:20,15
66,189,11,de:37 & im:1 & pr:12 & th:6 & va:15,23
67,185,19,de:11 & pr:9 & th:14 & th:2 & va:2,21
68,182,10,de:29 & im:9 & pr:33 & th:9 & va:38,6
69,180,4,de:37 & im:1 & pr:25 & th:37 & va:39,23
70,179,52,de:15 & im:4 & pr:11 & pr:6 & th:11 & va:10,18
71,178,6,de:37 & im:28 & pr:7 & th:2 & va:1,23
72,177,7,de:29 & im:10 & pr:5 & th:8 & va:12,25
73,175,8,de:22 & im:31 & pr:31 & th:2,11
74,175,8,de:22 & im:31 & pr:31 & th:2 & va:4,11
75,174,30,de:15 & de:20 & im:19 & im:4 & pr:11 & pr:6 & th:11 & th:2 & va:10,18
76,173,40,de:15 & im:4 & pr:33 & pr:6 & th:11 & va:10,18
77,172,11,de:15 & im:4 & pr:6 & th:11 & va:15,18
78,169,13,de:16 & im:10 & pr:6 & th:12 & va:3,18
79,166,7,de:6 & im:21 & pr:4 & th:1 & va:28,7
80,165,12,de:37 & im:3 & pr:19 & th:6 & va:1,23
81,164,2,de:15 & im:4 & pr:13 & th:4 & va:12,18
82,162,5,de:6 & im:21 & pr:30 & th:1 & va:18,7
83,162,5,de:6 & im:31 & pr:30 & th:5 & va:0,2
84,160,18,de:14 & im:25 & pr:14 & th:26 & va:20,15
85,159,15,de:17 & im:7 & pr:11 & pr:27 & th:12 & va:9,19
86,157,10,de:37 & im:1 & pr:12 & pr:18 & th:6 & va:17,23
87,157,21,de:37 & im:0 & pr:19 & pr:7 & th:6 & va:1,23
88,157,9,de:16 & im:1 & pr:31 & th:2 & va:17,21
89,155,9,de:15 & im:4 & pr:31 & th:12 & va:10,18
90,153,8,de:37 & im:1 & pr:12 & th:6 & va:17,23
91,150,8,pr:12 & th:2,21
92,150,8,de:8 & im:3 & pr:16 & th:13 & va:1,29
93,149,8,de:15 & im:4 & pr:31 & th:2 & va:32,18
94,148,7,de:8 & im:39 & pr:10 & th:28 & va:1,29
95,148,6,pr:11 & th:12 & va:9,19
96,147,10,de:37 & im:20 & pr:16 & th:8 & va:20,14
97,146,4,de:6 & im:21 & pr:32 & th:1 & va:8,7
98,146,7,de:37 & im:28 & pr:7 & th:6 & va:1,23
99,145,13,de:16 & im:4 & pr:31 & th:2 & va:10,18
100,144,6,de:29 & im:10 & pr:14 & th:8 & va:20,25
101,142,19,pr:19,24
102,139,50,de:15 & im:4 & pr:23 & pr:6 & th:11 & va:10,18
103,138,6,de:15 & im:4 & pr:7 & th:2 & va:2,18
104,136,15,de:20 & im:19 & pr:27 & th:12,19
105,135,13,de:15 & pr:6,18
106,135,3,de:29 & im:12 & pr:0 & th:5 & va:0,2
107,128,12,de:3 & im:16 & pr:23 & th:36 & va:0,4
108,128,4,de:15 & im:4 & pr:12 & th:2 & va:10,18
109,128,61,de:15 & im:4 & pr:6 & pr:9 & th:11 & va:10,18
110,126,5,de:13 & im:1 & pr:17 & th:0,23
111,126,10,de:28 & im:9 & pr:7 & th:39 & va:0,1
112,126,6,de:7 & im:7 & pr:27 & th:12 & va:28,19
113,125,7,de:9 & im:22 & pr:12 & pr:22 & th:33 & va:33,30
114,124,8,de:1 & im:1 & pr:13 & pr:36 & th:23 & va:4,10
115,123,9,de:15 & pr:6 & th:11 & va:32,18
116,122,12,de:9 & im:35 & pr:6 & th:12 & va:2,19
117,122,35,de:3 & im:16 & pr:39 & pr:6 & th:36 & va:26,4
118,118,7,de:16 & im:19 & pr:27 & th:12 & va:9,19
119,117,7,de:20 & im:19 & pr:11 & th:1 & va:9,19
120,116,2,de:7 & im:4 & pr:6 & th:12 & va:10,19
121,115,6,de:22 & im:31 & pr:3 & pr:6 & th:4 & va:18,11
122,114,11,de:37 & im:1 & pr:19 & th:6 & va:17,23
123,112,6,de:28 & im:7 & pr:6 & th:9 & va:32,19
124,111,10,de:22 & im:23 & pr:13 & th:4 & va:38,11
125,110,8,de:5 & im:28 & pr:7 & th:6 & va:1,23
126,110,3,de:3 & im:12 & pr:10 & th:7 & va:0,26
127,107,2,de:9 & im:19 & pr:4 & th:12 & va:30,19
128,105,30,de:15 & im:4 & pr:31 & pr:6 & th:11 & va:9,18
129,104,8,de:14 & im:25 & pr:14 & th:26,15
130,102,26,de:34 & im:10 & pr:10 & pr:19 & pr:6 & th:3 & va:4,25
131,101,28,de:15 & im:4 & pr:31 & pr:6 & th:9 & va:10,18
132,100,15,pr:23,17
133,100,3,im:9 & pr:0 & va:28,8
134,98,9,de:14 & im:20 & pr:9 & th:14 & va:19,15
135,98,9,de:16 & im:10 & pr:27 & th:12,18
136,98,5,de:8 & im:12 & pr:10 & pr:12 & th:7 & va:4,26
137,95,21,de:13 & im:1 & pr:6 & pr:7 & th:37 & va:17,23
138,93,3,de:22 & im:31 & pr:32 & th:4 & va:23,11
139,93,8,de:17 & im:20 & pr:12 & th:12 & th:2 & va:3,19
140,93,46,de:15 & im:4 & pr:12 & pr:6 & th:11 & va:10,18
141,92,7,de:3 & im:16 & pr:39 & th:36 & va:7,4
142,92,8,de:20 & im:7 & pr:11 & th:1,19
143,90,5,de:3 & im:16 & pr:7 & th:36 & va:0,4
144,90,11,de:16 & im:4 & pr:6 & th:19 & va:32,18
145,89,9,de:29 & im:10 & pr:39 & th:36 & va:0,25
146,89,13,pr:12,21
147,86,15,de:15 & im:4 & pr:6 & th:0,18
148,85,6,de:13 & im:1 & th:0 & va:15,23
149,85,12,de:37 & im:1 & pr:7 & th:6 & va:17,23
150,84,2,de:15 & im:4 & pr:12 & th:2 & va:9,18
151,83,12,de:20 & im:19 & pr:27 & th:12 & va:9,19
152,83,6,de:16 & pr:19 & th:31,21
153,83,33,de:15 & im:4 & pr:27 & pr:6 & th:11 & th:12 & th:2 & va:10,18
154,82,35,de:12 & im:20 & pr:6 & pr:9 & th:1 & va:12,15
155,81,8,de:37 & im:1 & pr:7 & th:37 & va:1,23
