k,mean_intra_jaccard
20,0.247
21,0.2457
22,0.2471
23,0.249
24,0.2533
25,0.2601
26,0.2825
27,0.2827
28,0.2827
29,0.2832
30,0.2889
31,0.2924
32,0.3007
33,0.3061
34,0.3116
35,0.3186
36,0.3186
37,0.3165
38,0.3131
39,0.3147
40,0.3284
41,0.3323
42,0.3327
43,0.3384
44,0.3386
45,0.342
46,0.3464
47,0.354
48,0.3581
49,0.3608
50,0.3597
51,0.3597
52,0.3608
53,0.3633
54,0.3657
55,0.3714
56,0.3715
57,0.3745
58,0.378
59,0.3775
60,0.389
61,0.3922
62,0.3925
63,0.3983
64,0.4046
65,0.4057
66,0.4077
67,0.4149
68,0.4224
69,0.4233
70,0.4274
71,0.428
72,0.4356
73,0.4369
74,0.4385
75,0.44
76,0.4438
77,0.4441
78,0.4456
79,0.4448
80,0.4453
