cluster_a,cluster_b,n_paths
0,8,6678
1,8,1372
2,8,1210
4,4,894
5,24,855
7,8,729
6,6,662
3,19,600
9,8,538
10,8,517
12,8,429
13,8,403
14,8,399
15,39,394
16,17,391
19,35,377
17,10,371
8,11,362
20,35,360
22,26,342
23,8,337
25,39,325
26,8,323
29,8,320
27,8,320
28,8,320
8,8,316
3,5,300
31,35,288
32,26,281
1,11,277
33,35,274
35,24,271
34,15,270
37,1,265
36,8,265
0,11,264
38,4,264
39,8,263
40,11,260
24,6,255
42,5,248
43,39,246
41,35,245
44,24,239
45,11,232
48,35,229
47,32,228
49,8,228
50,8,227
11,33,222
11,27,222
53,8,220
54,8,217
52,8,215
56,31,213
58,10,211
57,5,211
59,11,208
60,15,201
61,4,199
62,39,197
63,8,194
64,8,193
65,32,191
18,35,190
18,24,189
66,35,189
67,4,184
68,5,182
69,24,180
71,35,178
72,5,177
74,29,175
21,35,175
73,29,175
21,5,175
75,8,174
70,8,172
77,8,172
78,11,169
76,8,168
79,1,166
80,35,165
81,8,164
46,6,163
83,15,162
82,1,162
84,32,160
85,4,159
88,24,157
86,24,157
87,27,157
89,11,155
90,24,153
92,35,150
91,8,150
30,11,149
30,8,149
93,8,149
94,19,148
95,4,148
96,23,147
97,1,146
98,35,146
99,8,145
100,5,144
55,18,141
103,8,138
106,5,135
105,8,135
104,4,135
102,8,134
101,35,129
108,8,128
107,6,128
111,5,126
110,24,126
112,4,126
113,11,125
115,8,123
109,8,122
116,38,122
117,6,120
118,10,118
119,10,117
120,8,116
121,25,115
122,24,114
51,15,113
51,8,113
124,37,111
125,35,110
126,5,110
127,4,107
129,32,104
133,5,100
136,26,98
135,38,98
134,17,98
128,8,97
137,24,95
138,15,93
139,4,93
142,4,92
132,5,92
141,6,92
144,8,90
143,6,90
145,5,89
146,8,87
147,8,86
148,22,85
140,8,84
150,28,84
152,8,83
151,10,83
154,4,82
156,24,80
153,8,80
155,24,80
157,4,79
159,5,78
158,4,78
160,24,78
162,17,77
163,5,76
164,8,75
161,10,75
165,35,74
166,23,74
6,5,74
168,4,73
24,5,73
169,35,71
55,35,70
172,8,69
174,1,69
149,35,69
130,19,68
175,8,68
173,4,68
176,8,67
46,5,67
177,35,66
178,35,64
181,11,63
183,24,63
182,8,63
114,35,62
114,13,62
185,8,62
184,35,62
186,35,62
188,18,60
171,8,59
193,8,58
192,15,58
191,5,58
190,39,58
194,8,57
123,11,56
123,8,56
197,6,56
195,8,56
198,2,56
200,8,55
131,11,54
201,13,54
202,4,54
203,1,53
207,8,52
208,11,51
209,35,50
210,8,50
211,35,48
189,8,48
214,8,48
199,8,47
131,8,47
217,24,45
215,6,45
206,24,44
218,8,44
221,25,43
222,38,43
220,26,43
224,8,42
223,8,42
225,24,42
226,17,41
196,4,40
228,32,40
216,8,40
227,8,40
229,35,39
233,26,39
234,5,39
232,15,39
231,8,39
237,24,38
235,5,38
236,8,38
238,39,37
239,8,36
247,36,36
243,4,36
245,24,36
244,35,36
248,8,36
240,35,36
241,8,36
242,5,36
253,31,35
205,6,35
170,35,35
249,8,35
204,18,35
254,35,35
251,11,35
252,19,35
255,10,35
170,24,35
256,8,35
250,35,35
266,8,34
260,35,34
263,10,34
262,4,34
258,8,34
265,35,34
167,35,34
264,4,34
130,5,34
261,11,34
259,5,34
267,5,33
276,8,33
272,11,33
270,35,33
273,35,33
269,35,33
274,8,33
277,38,32
180,27,32
278,1,32
287,8,32
281,39,32
279,8,32
275,38,32
179,8,32
179,11,32
180,33,32
280,5,32
284,35,32
289,5,31
291,8,31
288,10,31
296,23,30
298,8,30
292,11,30
187,8,30
293,4,30
295,32,30
282,15,30
187,15,30
297,0,30
294,5,30
257,8,30
299,24,30
304,6,29
311,26,29
307,8,29
306,39,29
303,1,29
312,17,29
313,8,29
301,1,29
302,15,29
268,6,29
305,24,29
308,24,29
310,32,29
309,4,29
316,5,28
317,8,28
319,8,28
300,8,28
315,8,28
318,24,28
314,8,28
322,8,28
321,4,28
324,23,27
323,35,27
325,27,27
327,8,27
271,8,27
230,5,27
330,24,27
320,36,27
326,5,27
212,8,27
331,4,26
338,4,26
333,8,26
332,37,26
328,8,26
334,1,26
336,27,26
345,29,25
290,8,25
348,21,25
347,15,25
344,29,25
342,4,25
341,22,25
343,8,25
349,6,25
350,12,25
246,19,24
354,32,24
337,6,24
356,8,24
213,5,24
355,4,24
353,6,24
357,8,24
352,8,24
359,24,24
213,35,24
358,8,24
362,14,24
366,5,23
363,10,23
167,19,23
346,6,23
364,5,23
367,5,23
370,35,23
365,10,23
374,24,22
378,8,22
372,4,22
384,24,22
382,24,22
373,4,22
375,24,22
377,6,22
386,35,22
371,8,22
381,4,22
380,27,22
387,8,22
376,15,22
385,8,22
379,32,22
212,35,21
403,8,21
396,35,21
390,1,21
393,35,21
397,26,21
398,35,21
369,34,21
401,8,21
368,8,21
400,4,21
392,5,21
391,13,21
389,8,21
395,8,21
394,5,21
406,24,20
407,18,20
408,6,20
416,35,20
414,6,20
415,26,20
412,8,20
409,17,20
417,4,20
405,5,20
418,39,20
404,10,20
432,5,19
427,8,19
361,6,19
431,8,19
424,4,19
426,21,19
422,4,19
430,8,19
428,8,19
429,23,19
448,24,18
410,8,18
449,24,18
435,4,18
437,39,18
440,35,18
425,23,18
434,24,18
456,8,18
454,5,18
452,8,18
455,8,18
444,8,18
433,38,18
441,5,18
443,35,18
442,24,18
439,5,18
419,6,17
472,5,17
471,35,17
474,8,17
470,8,17
467,4,17
463,4,17
411,35,17
468,4,17
462,4,17
466,10,17
459,15,17
204,35,17
458,5,17
205,5,17
460,8,17
465,8,17
457,2,17
477,5,16
512,10,16
513,35,16
438,6,16
149,24,16
511,6,16
509,9,16
524,8,16
517,8,16
486,0,16
487,6,16
510,17,16
525,8,16
485,15,16
283,15,16
283,8,16
476,17,16
519,8,16
482,9,16
515,4,16
494,8,16
399,10,16
285,35,16
479,5,16
475,15,16
196,5,16
478,10,16
491,22,16
286,11,16
423,8,16
286,8,16
520,4,16
507,8,16
506,8,16
495,5,16
285,5,16
505,22,16
481,28,16
500,8,16
501,10,16
499,35,16
498,15,16
497,1,16
496,35,16
492,22,16
493,5,16
421,8,16
502,4,16
453,6,16
504,8,16
514,8,16
489,10,16
480,24,16
483,8,16
503,4,16
518,8,16
539,35,15
530,8,15
535,36,15
548,8,15
537,13,15
536,36,15
540,8,15
544,4,15
541,0,15
542,8,15
533,11,15
527,8,15
532,1,15
534,8,15
473,8,15
528,26,15
543,28,15
545,4,15
521,8,15
516,8,15
529,8,15
557,8,14
383,11,14
329,11,14
570,39,14
566,5,14
523,8,14
555,35,14
560,4,14
559,8,14
584,35,14
339,24,14
413,6,14
567,23,14
580,8,14
576,10,14
571,8,14
564,8,14
562,8,14
558,8,14
582,11,14
579,8,14
569,4,14
577,8,14
553,8,14
575,8,14
554,11,14
572,6,14
574,8,14
402,19,14
522,8,14
531,8,14
563,8,14
565,8,14
587,8,13
329,8,13
583,10,13
591,25,13
593,26,13
601,26,13
606,35,13
340,4,13
590,35,13
340,11,13
219,19,13
598,5,13
592,4,13
603,35,13
589,5,13
602,35,13
600,37,13
588,15,13
607,35,13
605,4,13
594,26,13
604,24,13
599,39,13
611,24,13
597,4,13
595,23,13
642,27,12
669,39,12
654,35,12
547,6,12
639,35,12
360,26,12
644,26,12
360,35,12
658,4,12
652,6,12
647,35,12
651,35,12
556,8,12
610,0,12
650,8,12
617,8,12
649,8,12
550,6,12
659,24,12
526,39,12
645,15,12
609,34,12
663,12,12
660,11,12
620,32,12
619,35,12
670,24,12
641,36,12
630,10,12
623,24,12
632,8,12
622,10,12
621,32,12
616,8,12
388,11,12
655,11,12
634,35,12
638,5,12
447,19,12
246,5,12
664,6,12
637,11,12
436,19,12
635,26,12
643,1,12
640,24,12
624,35,12
230,8,12
614,35,12
613,38,12
189,11,12
668,35,12
628,0,12
627,6,12
657,35,12
339,35,12
615,8,12
549,8,12
661,11,12
672,8,12
696,19,11
702,8,11
629,6,11
676,35,11
674,35,11
682,5,11
675,35,11
596,8,11
686,15,11
698,15,11
699,1,11
451,34,11
17,4,11
684,23,11
690,24,11
704,24,11
697,1,11
608,6,11
219,26,11
351,30,11
692,35,11
219,32,11
171,11,11
678,8,11
681,5,11
693,35,11
688,15,11
700,1,11
687,23,11
694,35,11
683,19,11
680,11,11
679,24,11
689,2,11
677,5,11
685,18,11
716,38,10
713,8,10
743,11,10
388,8,10
722,39,10
335,22,10
731,8,10
747,35,10
732,8,10
734,8,10
774,8,10
737,17,10
748,8,10
723,8,10
759,26,10
772,10,10
773,8,10
705,4,10
546,19,10
706,8,10
739,8,10
738,6,10
6,22,10
768,24,10
775,35,10
756,13,10
735,8,10
714,24,10
718,6,10
771,8,10
420,27,10
721,26,10
712,32,10
711,8,10
719,1,10
755,8,10
420,33,10
727,39,10
744,8,10
730,8,10
742,4,10
753,8,10
752,2,10
757,8,10
708,39,10
778,8,10
736,26,10
538,19,10
733,8,10
777,4,10
578,15,10
754,29,10
461,11,10
728,6,10
725,24,10
779,8,10
745,11,10
770,8,10
715,35,10
720,8,10
625,8,10
746,15,10
717,6,10
762,29,10
749,8,10
751,25,10
750,17,10
813,26,9
814,24,9
827,4,9
834,8,9
796,23,9
784,5,9
795,0,9
817,8,9
618,6,9
741,35,9
819,9,9
835,2,9
798,8,9
793,32,9
446,27,9
446,33,9
823,8,9
766,8,9
797,35,9
792,5,9
826,31,9
825,35,9
764,22,9
806,35,9
671,8,9
811,10,9
812,26,9
783,8,9
219,35,9
808,38,9
445,24,9
789,37,9
821,0,9
445,35,9
804,35,9
809,39,9
824,8,9
140,11,9
199,11,9
831,8,9
662,6,9
816,24,9
810,32,9
833,32,9
787,11,9
785,10,9
830,8,9
469,8,9
801,35,9
799,10,9
800,8,9
828,24,9
786,8,9
450,11,9
695,8,9
815,35,9
450,8,9
790,4,9
788,35,9
818,10,9
552,11,8
845,31,8
484,27,8
703,8,8
854,5,8
853,10,8
852,5,8
851,13,8
941,35,8
940,39,8
846,18,8
841,4,8
896,15,8
924,35,8
923,35,8
758,8,8
905,8,8
904,4,8
383,8,8
882,8,8
840,8,8
872,15,8
887,4,8
886,5,8
891,24,8
890,5,8
880,39,8
910,8,8
930,8,8
929,5,8
508,11,8
869,8,8
843,10,8
842,8,8
857,18,8
167,32,8
908,6,8
907,34,8
667,19,8
488,15,8
922,5,8
128,11,8
895,8,8
935,4,8
934,8,8
873,5,8
903,35,8
760,8,8
912,26,8
911,8,8
894,26,8
726,5,8
508,8,8
469,11,8
939,8,8
871,1,8
870,4,8
844,5,8
879,4,8
878,39,8
484,33,8
464,35,8
464,24,8
167,26,8
490,13,8
865,10,8
918,11,8
888,24,8
917,8,8
916,4,8
868,35,8
867,4,8
351,20,8
656,19,8
906,39,8
885,4,8
884,4,8
849,4,8
490,35,8
856,35,8
892,24,8
925,8,8
488,8,8
889,8,8
848,1,8
847,35,8
900,32,8
862,8,8
860,8,8
859,35,8
937,8,8
893,32,8
850,18,8
206,22,8
855,6,8
780,6,8
875,35,8
897,9,8
902,11,8
901,11,8
863,6,8
876,8,8
781,6,8
931,24,8
909,8,8
919,4,8
921,24,8
920,35,8
861,4,8
802,6,8
874,0,8
927,17,8
612,8,8
928,8,8
837,39,8
926,26,8
864,8,8
899,6,8
898,24,8
883,8,8
932,35,8
954,15,7
953,1,7
586,33,7
1086,11,7
