cluster_a,cluster_b,n_paths
8,8,197
8,4,151
6,26,143
3,0,122
9,6,114
8,10,105
1,35,99
3,9,95
8,11,83
6,35,79
6,19,74
3,34,73
7,25,70
1,24,62
6,2,62
0,38,52
6,23,52
5,5,51
7,15,50
1,5,44
4,5,44
4,4,44
2,9,40
4,21,39
4,23,39
4,1,38
0,22,34
1,18,33
6,20,30
0,25,29
8,39,27
9,5,25
6,5,25
9,34,24
5,22,21
8,1,20
7,1,20
6,32,20
8,38,20
5,1,19
1,13,18
6,30,18
3,36,18
4,17,18
3,26,17
8,5,17
1,25,16
9,36,15
4,26,15
3,22,15
1,11,15
7,17,15
1,33,15
3,6,14
6,27,14
1,31,14
7,33,14
2,2,13
9,22,13
5,33,12
0,5,12
8,31,12
5,4,12
0,26,12
2,3,12
7,9,12
0,23,11
8,6,11
1,8,11
3,15,11
3,18,11
1,22,11
3,2,11
3,16,10
1,1,10
2,0,10
0,16,10
2,11,9
0,1,9
0,0,9
1,17,9
1,19,9
2,39,9
1,12,9
6,17,8
4,32,8
4,28,8
1,26,8
1,27,8
7,31,7
3,19,7
3,5,7
7,23,7
6,0,7
2,4,7
1,23,7
8,14,7
8,28,7
1,14,6
6,25,6
0,3,6
3,25,6
7,22,6
9,0,6
7,5,6
5,18,6
9,16,6
7,11,6
7,8,6
7,29,6
0,8,6
3,7,6
7,19,5
7,26,5
2,38,5
7,21,5
3,37,5
6,9,5
5,6,5
1,7,4
3,17,4
7,34,4
7,4,4
3,20,4
7,0,4
1,36,4
7,2,4
1,2,4
7,37,4
6,1,4
4,15,4
2,34,4
4,10,4
1,4,4
0,21,3
0,12,3
3,24,3
1,0,3
3,27,3
5,15,3
3,21,3
6,11,3
3,1,3
4,0,3
1,32,3
3,30,3
8,12,3
6,13,3
7,18,3
8,25,3
1,6,3
7,7,3
0,6,3
6,21,3
3,3,3
5,24,3
1,15,3
2,17,2
5,31,2
3,11,2
2,8,2
0,11,2
7,3,2
2,29,2
3,13,2
6,24,2
0,2,2
0,27,2
6,22,2
0,24,2
6,31,2
7,16,2
0,36,2
4,2,2
4,33,2
7,24,2
0,4,2
2,5,2
2,23,2
2,1,2
7,35,2
0,13,2
4,19,2
6,3,2
4,25,1
5,35,1
8,23,1
9,19,1
6,34,1
1,9,1
7,14,1
7,38,1
0,35,1
8,35,1
0,19,1
3,23,1
0,15,1
6,15,1
1,34,1
7,6,1
4,35,1
7,12,1
3,33,1
4,22,1
6,36,1
4,31,1
2,10,1
6,7,1
0,17,1
4,11,1
8,18,1
2,35,1
4,30,1
9,1,1
4,20,1
8,22,1
0,31,1
2,31,1
1,3,1
0,32,1
7,13,1
1,10,1
9,15,1
5,11,1
8,21,1
0,18,1
4,8,1
9,13,1
9,26,1
1,38,1
9,18,1
6,4,1
2,36,1
4,7,1
6,18,1
8,24,1
3,35,1
3,31,1
