cluster_a,cluster_b,n_paths
10,8,16194
6,6,15099
0,35,12019
31,8,12007
11,35,9980
30,39,9836
23,38,9051
25,35,8915
3,35,8476
16,8,7502
11,24,7354
32,5,7307
18,4,6970
8,8,6939
8,10,6670
39,8,6596
34,8,6388
20,5,6196
19,8,5921
2,8,5812
12,8,5555
21,8,5530
3,24,5470
28,15,5367
13,8,5032
26,8,5003
0,26,4997
27,32,4856
7,8,4805
22,8,4763
38,11,4677
20,4,4529
5,26,4452
5,23,4227
4,8,4201
35,8,4151
29,8,3915
32,6,3845
6,5,3742
20,1,3740
18,10,3702
37,24,3628
25,8,3446
9,4,3283
33,32,3222
14,15,3130
13,11,2927
8,4,2568
11,27,2535
26,11,2446
1,25,2376
24,19,2299
18,8,2232
1,8,2197
36,17,2080
28,5,2047
2,4,1951
28,8,1929
5,35,1928
14,0,1878
1,15,1865
24,5,1844
21,4,1812
25,26,1786
31,11,1764
7,29,1761
17,8,1753
32,4,1713
25,24,1665
5,5,1637
19,1,1488
2,38,1441
25,4,1373
32,26,1311
23,11,1234
0,19,1230
0,5,1227
14,25,1207
25,18,1179
14,6,1133
21,11,1114
38,4,1073
19,35,1061
14,9,1053
37,5,1041
20,15,1031
32,36,1027
37,33,1024
37,27,1016
37,35,1005
30,38,1001
7,31,981
38,38,979
11,13,958
21,24,957
37,17,954
18,11,948
22,11,948
32,1,932
19,5,914
9,5,907
0,11,899
33,5,898
10,11,896
2,1,885
25,19,876
6,0,870
32,21,863
8,5,853
17,11,849
25,5,839
14,8,830
4,11,825
37,2,823
28,1,813
8,38,799
25,11,798
20,39,791
37,18,728
9,11,719
39,11,719
32,35,718
11,18,707
4,28,691
37,22,689
19,10,674
28,37,669
5,19,668
18,28,661
25,2,638
5,32,621
20,8,571
18,12,563
32,13,547
18,39,536
32,23,530
23,8,521
32,8,519
8,11,487
25,10,476
32,0,466
27,6,464
21,29,454
8,12,446
37,8,439
30,8,437
19,4,408
11,8,397
9,17,392
0,27,369
0,8,360
18,5,359
14,5,347
20,21,344
14,35,321
25,27,302
