risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
10.0,8.0,10_8,25,6632,21654,6607,15022
26.0,8.0,26_8,14,2715,11184,2701,8469
25.0,8.0,25_8,24,3391,11144,3367,7753
21.0,8.0,21_8,6,2680,10077,2674,7397
16.0,8.0,16_8,86,2580,9998,2494,7418
10.0,35.0,10_35,4,1198,7284,1194,6086
6,8,6_8,0,1072,6141,1072,5069
9.0,8.0,9_8,7,1268,5362,1261,4094
10.0,5.0,10_5,5,807,4872,802,4065
10.0,4.0,10_4,9,985,4467,976,3482
2.0,8.0,2_8,7,889,4343,882,3454
16,35,16_35,0,684,4242,684,3558
10.0,11.0,10_11,9,941,4198,932,3257
1.0,8.0,1_8,4,572,4190,568,3618
26.0,35.0,26_35,3,591,4007,588,3416
20,8,20_8,0,877,3830,877,2953
25.0,35.0,25_35,2,808,3817,806,3009
7.0,8.0,7_8,6,243,3753,237,3510
12.0,8.0,12_8,10,418,3738,408,3320
10.0,6.0,10_6,4,650,3559,646,2909
21.0,35.0,21_35,7,657,3383,650,2726
38.0,8.0,38_8,6,496,3291,490,2795
10.0,24.0,10_24,3,1067,3237,1064,2170
16.0,5.0,16_5,1,507,3168,506,2661
22.0,8.0,22_8,2,393,3039,391,2646
35.0,8.0,35_8,2,626,2922,624,2296
16.0,4.0,16_4,16,514,2805,498,2291
15,8,15_8,0,193,2760,193,2567
25.0,5.0,25_5,1,305,2661,304,2356
4,8,4_8,0,160,2548,160,2388
10.0,38.0,10_38,3,75,2497,72,2422
21.0,5.0,21_5,6,607,2420,601,1813
26.0,5.0,26_5,5,494,2417,489,1923
18.0,8.0,18_8,4,364,2324,360,1960
26.0,4.0,26_4,6,497,2265,491,1768
25.0,4.0,25_4,4,524,2214,520,1690
16.0,11.0,16_11,37,404,2182,367,1778
10.0,39.0,10_39,5,466,2162,461,1696
6.0,35.0,6_35,48,437,2141,389,1704
10,26,10_26,0,262,2096,262,1834
16,6,16_6,0,315,2095,315,1780
9.0,35.0,9_35,6,313,2093,307,1780
25.0,11.0,25_11,5,476,2093,471,1617
26.0,11.0,26_11,4,517,2078,513,1561
10.0,10.0,10_10,12,295,2077,283,1782
10.0,15.0,10_15,4,403,1951,399,1548
19.0,8.0,19_8,4,290,1883,286,1593
21.0,4.0,21_4,3,355,1871,352,1516
21.0,6.0,21_6,5,277,1870,272,1593
35.0,35.0,35_35,12,238,1860,226,1622
26.0,24.0,26_24,3,754,1815,751,1061
16.0,24.0,16_24,1,413,1773,412,1360
6.0,5.0,6_5,6,262,1746,256,1484
25,24,25_24,0,457,1703,457,1246
17,8,17_8,0,118,1650,118,1532
11,8,11_8,0,45,1628,45,1583
10.0,1.0,10_1,6,523,1574,517,1051
25,6,25_6,0,85,1562,85,1477
10,32,10_32,0,208,1526,208,1318
21.0,11.0,21_11,1,195,1525,194,1330
6.0,4.0,6_4,3,197,1523,194,1326
21.0,24.0,21_24,2,168,1514,166,1346
1.0,35.0,1_35,1,119,1494,118,1375
2,35,2_35,0,170,1460,170,1290
9.0,5.0,9_5,12,247,1430,235,1183
26,6,26_6,0,27,1428,27,1401
16.0,38.0,16_38,11,95,1405,84,1310
7.0,35.0,7_35,5,150,1377,145,1227
34.0,8.0,34_8,1,491,1311,490,820
20,35,20_35,0,200,1306,200,1106
22.0,35.0,22_35,12,149,1289,137,1140
9.0,4.0,9_4,19,269,1272,250,1003
16.0,10.0,16_10,12,229,1232,217,1003
16.0,39.0,16_39,1,191,1206,190,1015
26.0,38.0,26_38,2,66,1205,64,1139
6.0,11.0,6_11,3,135,1199,132,1064
0,8,0_8,0,180,1196,180,1016
16.0,26.0,16_26,1,118,1196,117,1078
25,38,25_38,0,18,1178,18,1160
6.0,6.0,6_6,1,144,1153,143,1009
21.0,38.0,21_38,1,75,1151,74,1076
16,15,16_15,0,184,1121,184,937
12.0,35.0,12_35,2,123,1117,121,994
38.0,35.0,38_35,4,73,1109,69,1036
24,8,24_8,0,200,1095,200,895
25.0,10.0,25_10,2,199,1092,197,893
15.0,35.0,15_35,1,63,1079,62,1016
26,26,26_26,0,100,1068,100,968
21.0,15.0,21_15,1,171,1062,170,891
