config,node_type,cluster_id,n_qualifying,n_consim0_anchored,edge_only_frac
consim1,risk,14,154,147,0.9545
consim1,risk,6,162,112,0.6914
consim1,risk,19,99,40,0.404
consim1,risk,21,117,38,0.3248
consim1,risk,35,96,52,0.5417
consim1,risk,12,74,32,0.4324
consim1,risk,15,101,77,0.7624
consim1,risk,0,294,283,0.9626
consim1,risk,17,109,103,0.945
consim1,risk,24,36,22,0.6111
consim1,risk,10,253,77,0.3043
consim1,risk,20,63,30,0.4762
consim1,risk,5,155,148,0.9548
consim1,risk,9,189,135,0.7143
consim1,risk,16,236,165,0.6992
consim1,risk,4,319,300,0.9404
consim1,risk,1,93,64,0.6882
consim1,risk,2,88,60,0.6818
consim1,risk,8,124,119,0.9597
consim1,risk,33,48,44,0.9167
consim1,risk,25,135,28,0.2074
consim1,risk,7,78,23,0.2949
consim1,risk,38,58,25,0.431
consim1,risk,26,135,40,0.2963
consim1,risk,11,77,54,0.7013
consim1,risk,34,25,14,0.56
consim1,risk,22,215,181,0.8419
consim1,risk,31,57,57,1.0
consim1,risk,37,23,15,0.6522
consim1,risk,27,15,6,0.4
consim1,risk,3,34,28,0.8235
consim1,risk,18,33,14,0.4242
consim1,risk,28,41,29,0.7073
consim1,risk,32,15,8,0.5333
consim1,risk,39,10,9,0.9
consim1,risk,29,8,7,0.875
consim1,risk,30,36,30,0.8333
consim1,risk,23,18,15,0.8333
consim1,risk,36,3,3,1.0
consim1,risk,13,4,4,1.0
consim2,risk,14,154,147,0.9545
consim2,risk,6,197,112,0.5685
consim2,risk,19,126,40,0.3175
consim2,risk,21,175,38,0.2171
consim2,risk,35,153,52,0.3399
consim2,risk,12,98,32,0.3265
consim2,risk,15,115,77,0.6696
consim2,risk,0,299,283,0.9465
consim2,risk,17,114,103,0.9035
consim2,risk,24,40,22,0.55
consim2,risk,10,357,77,0.2157
consim2,risk,20,91,30,0.3297
consim2,risk,5,155,148,0.9548
consim2,risk,9,209,135,0.6459
consim2,risk,16,268,165,0.6157
consim2,risk,4,333,300,0.9009
consim2,risk,1,108,64,0.5926
consim2,risk,2,104,60,0.5769
consim2,risk,8,126,119,0.9444
consim2,risk,33,49,44,0.898
consim2,risk,25,214,28,0.1308
consim2,risk,7,134,23,0.1716
consim2,risk,38,90,26,0.2889
consim2,risk,26,219,40,0.1826
consim2,risk,11,104,54,0.5192
consim2,risk,34,32,14,0.4375
consim2,risk,22,221,181,0.819
consim2,risk,31,59,57,0.9661
consim2,risk,37,31,15,0.4839
consim2,risk,27,26,6,0.2308
consim2,risk,3,40,28,0.7
consim2,risk,18,59,14,0.2373
consim2,risk,28,41,29,0.7073
consim2,risk,32,22,8,0.3636
consim2,risk,39,10,9,0.9
consim2,risk,29,9,7,0.7778
consim2,risk,30,39,30,0.7692
consim2,risk,23,20,15,0.75
consim2,risk,36,3,3,1.0
consim2,risk,13,4,4,1.0
consim1,intervention,32,29,26,0.8966
consim1,intervention,25,105,104,0.9905
consim1,intervention,24,71,63,0.8873
consim1,intervention,6,111,109,0.982
consim1,intervention,35,160,147,0.9187
consim1,intervention,15,62,60,0.9677
consim1,intervention,0,124,124,1.0
consim1,intervention,8,230,201,0.8739
consim1,intervention,9,120,120,1.0
consim1,intervention,34,70,70,1.0
consim1,intervention,22,68,68,1.0
consim1,intervention,14,13,10,0.7692
consim1,intervention,16,25,25,1.0
consim1,intervention,23,99,99,1.0
consim1,intervention,4,198,189,0.9545
consim1,intervention,1,105,105,1.0
consim1,intervention,2,75,74,0.9867
