meta_family_id,interv_cluster,n_paths
1,5,169
1,21,37
2,1,69
2,5,397
2,11,8
2,12,48
2,15,227
3,5,41
3,8,1
3,18,13
4,0,19
4,1,6
4,5,611
4,6,2291
4,9,1
4,15,28
4,16,1
4,21,19
4,22,82
4,23,9
4,26,382
4,34,58
4,36,118
5,8,1
5,38,6
5,39,1607
6,1,1
6,4,4
6,5,255
6,8,15
6,27,318
6,33,318
6,35,7
7,1,671
7,4,3
7,6,37
7,12,12
7,36,2
8,4,187
8,5,217
8,6,5
8,8,4
8,10,1
8,18,5
8,22,10
9,1,26
9,5,19
10,13,76
10,18,93
10,19,6
10,35,152
11,1,1
11,2,1
11,5,6
11,8,261
11,9,26
11,15,879
11,17,104
11,24,8
11,25,209
11,29,448
11,33,1
11,37,177
12,25,5
13,4,58
13,8,29
13,19,26
13,26,8
13,32,8
13,35,42
14,23,261
15,4,1180
15,8,13
15,17,663
15,26,15
15,32,982
16,1,2
16,4,1
16,8,1
16,11,1
16,31,6
17,1,2
17,5,131
17,8,858
17,10,1
17,35,21
18,8,20721
18,11,2820
18,14,32
18,28,106
18,35,8
18,38,152
19,1,329
19,4,2019
19,5,288
19,6,1
19,8,1865
19,10,1398
19,11,333
19,24,10
19,28,27
19,38,209
19,39,1
20,4,1
20,5,23
20,24,5
20,26,6
20,35,4
21,4,451
21,8,870
21,10,61
21,15,291
21,24,352
21,31,296
21,35,653
22,1,93
22,35,33
23,2,10
23,8,98
23,11,6
23,13,25
23,18,215
23,19,6
23,22,132
23,24,3585
23,26,20
23,27,238
23,35,3917
24,1,22
24,4,130
24,5,5
24,8,6
24,11,51
24,15,1
24,19,13
24,24,47
24,26,12
24,32,11
24,35,197
25,4,1
25,5,1596
25,19,808
25,20,2
25,26,2
25,35,265
26,2,99
26,5,151
26,13,94
26,24,36
26,26,141
26,27,22
27,8,27
27,29,20
27,35,6
28,23,88
29,9,7
29,18,1
29,19,216
29,20,13
29,23,31
29,26,541
29,30,23
29,32,4
29,35,394
30,2,3
30,3,1
30,8,8
30,9,22
30,11,168
30,25,1
30,38,67
31,0,54
31,9,1
31,35,9
32,0,54
32,2,1
32,9,18
32,17,3
32,20,4
32,22,3
32,26,1
32,30,3
32,34,10
