cluster_a,cluster_b,n_paths
10,0,2487
25,0,1153
21,0,1027
26,0,810
10,1,644
16,0,598
10,2,358
10,5,333
10,3,315
26,1,302
26,5,286
10,4,276
10,6,265
25,1,240
10,29,224
25,13,223
10,8,221
26,2,221
25,2,218
21,1,213
38,0,209
21,3,201
26,8,194
10,20,190
10,9,182
25,19,181
10,7,179
26,21,164
6,36,163
10,18,162
25,4,160
25,5,158
26,15,156
25,8,154
10,11,150
16,10,147
21,7,146
25,11,146
2,52,144
26,30,144
21,14,142
10,15,138
21,2,138
26,4,136
10,39,133
26,7,131
25,18,130
25,10,129
10,12,128
10,53,128
16,2,127
10,24,127
10,40,126
10,16,125
20,76,125
18,0,125
25,48,124
21,4,122
10,37,120
10,26,120
10,46,119
6,0,117
10,28,116
10,27,116
16,117,116
10,17,115
10,83,115
10,82,115
10,79,115
10,21,114
10,25,113
10,14,112
10,32,110
10,42,110
10,81,110
10,97,109
26,35,108
21,51,108
10,38,108
10,23,106
12,6,103
10,60,102
10,49,101
10,22,101
25,7,101
10,71,100
26,11,100
16,1,96
10,98,96
10,104,96
10,44,95
21,41,95
10,59,95
10,112,94
16,131,94
9,10,93
10,13,93
10,67,92
10,19,92
10,43,91
16,130,90
10,47,89
16,137,89
26,106,86
21,20,86
10,110,86
10,51,86
20,102,85
10,50,84
10,33,83
10,57,83
26,9,82
10,55,82
10,31,82
26,88,81
10,66,81
25,38,81
10,56,80
10,48,79
25,64,79
25,65,79
26,31,79
26,17,79
26,95,79
10,69,79
21,9,78
26,3,78
10,75,78
35,160,78
26,62,78
25,91,78
25,47,77
17,6,77
25,58,77
10,126,77
10,10,76
21,114,76
26,74,75
26,73,75
25,12,75
10,45,75
25,23,75
21,12,75
25,33,75
16,154,74
26,57,74
10,64,74
26,34,74
26,44,73
10,68,73
26,127,73
25,139,72
26,99,72
21,94,72
26,93,72
21,63,72
10,90,71
21,17,71
25,16,71
16,161,71
20,0,70
21,85,70
21,96,70
25,54,70
21,87,70
10,62,69
25,56,69
26,77,69
25,45,69
25,31,68
26,105,68
21,6,67
25,24,67
26,33,67
25,89,67
21,80,67
21,22,67
26,149,67
25,32,67
21,34,67
25,50,66
25,60,66
16,170,66
7,3,66
26,16,66
21,100,66
21,135,66
26,69,66
16,9,66
25,103,66
10,86,65
16,128,65
25,66,65
10,89,65
26,101,65
21,26,64
21,72,64
21,68,64
10,54,63
21,121,63
26,116,63
21,92,63
16,178,62
21,107,62
10,58,62
26,133,62
10,30,62
9,70,61
21,16,61
26,78,61
21,129,61
12,0,61
10,72,61
10,143,60
16,179,60
16,184,60
10,138,60
26,12,60
12,108,60
12,120,60
16,177,59
38,2,59
10,113,58
25,134,58
21,151,58
25,61,58
25,22,58
26,43,58
26,26,58
7,4,58
25,3,57
16,153,57
21,163,57
16,187,56
16,180,56
16,190,56
26,28,56
26,27,56
10,84,56
16,185,56
25,90,55
26,45,55
16,7,55
25,28,55
25,125,55
25,152,55
25,27,55
10,144,54
10,159,54
10,34,54
26,23,54
26,202,54
21,142,53
25,118,53
10,92,53
26,165,53
26,22,53
25,15,52
35,36,52
9,207,52
25,29,52
34,109,51
10,103,51
21,141,51
21,23,51
26,54,51
