cluster_a,cluster_b,n_paths
10,11,4468
10,6,3826
10,0,3623
10,8,3231
10,20,3099
6,25,2991
16,13,2822
10,10,2796
10,32,2749
10,31,2663
10,18,2507
10,30,2505
26,11,2467
16,8,2416
10,3,2412
25,11,2392
16,25,2386
9,25,2346
16,10,2226
10,5,2211
21,11,2194
26,0,2152
10,19,2066
10,23,2016
6,0,2013
10,2,2007
21,6,1977
10,28,1950
10,37,1909
25,0,1837
22,11,1688
25,6,1686
2,18,1684
16,6,1665
16,20,1664
26,8,1655
10,25,1654
21,5,1613
16,31,1611
10,21,1611
25,20,1596
21,32,1593
16,32,1590
9,18,1569
6,32,1536
25,10,1494
6,11,1491
10,39,1475
21,31,1467
2,8,1467
21,0,1466
25,8,1462
10,13,1440
26,20,1434
10,16,1433
16,3,1423
35,0,1412
10,38,1408
9,32,1404
4,0,1401
25,31,1391
16,5,1391
16,18,1380
25,3,1374
21,10,1368
26,10,1367
21,3,1365
16,21,1344
10,14,1342
35,25,1329
26,25,1326
26,6,1321
10,26,1318
26,31,1313
10,7,1298
25,18,1284
21,8,1279
25,32,1249
21,20,1236
26,3,1224
10,34,1189
26,32,1178
10,4,1162
25,19,1141
9,10,1130
1,25,1124
26,37,1120
26,18,1120
16,0,1102
10,22,1100
26,28,1090
26,30,1087
2,25,1079
16,23,1075
6,5,1058
25,30,1040
26,19,1023
26,2,1013
21,28,1007
16,37,996
22,37,990
12,6,977
26,5,972
25,2,967
26,21,964
21,18,962
0,14,958
16,30,957
10,1,957
15,14,955
10,35,952
21,37,947
6,20,946
11,23,945
10,12,940
21,30,940
25,37,937
9,20,936
25,25,934
25,28,932
9,8,930
16,19,929
2,30,928
10,27,925
10,9,920
16,1,914
17,6,890
15,8,881
26,23,880
25,23,879
1,20,879
16,2,877
9,0,860
16,38,857
16,11,851
21,23,848
6,6,841
21,2,829
22,32,826
20,32,824
22,25,808
25,5,808
25,21,801
25,26,794
20,6,783
0,32,781
12,8,780
21,14,779
9,6,777
20,28,776
26,39,772
21,39,769
25,39,768
26,7,768
35,11,767
35,32,766
25,13,763
21,16,762
7,0,752
26,38,749
26,13,744
1,18,743
21,25,742
25,16,741
1,8,739
38,11,737
10,24,731
35,3,730
26,16,724
10,33,715
10,29,713
25,14,710
25,38,708
21,21,707
2,10,695
6,18,690
26,14,685
26,34,684
26,4,684
7,11,684
25,4,684
25,7,683
25,34,681
1,10,677
12,10,676
8,25,675
26,22,674
4,5,672
6,10,670
26,26,668
16,12,668
21,13,663
21,7,655
1,32,652
16,39,649
16,14,646
16,28,638
38,0,637
21,19,637
21,26,636
17,32,635
6,3,634
1,6,627
12,20,619
6,8,618
21,22,616
1,2,614
16,26,605
12,5,598
25,22,596
2,32,587
15,25,583
22,0,578
9,5,573
22,14,569
11,7,563
0,15,555
9,11,555
22,3,553
