cluster_a,cluster_b,n_paths
10,27,988
10,4,977
10,33,811
26,27,797
10,29,784
10,13,704
10,31,692
10,35,691
10,17,657
10,37,629
21,4,578
25,7,571
21,33,561
16,6,557
10,11,555
10,8,527
6,33,526
25,26,518
16,29,516
10,26,499
10,6,493
10,16,469
25,33,469
0,38,467
10,28,463
25,27,463
10,10,460
10,39,459
25,8,457
9,15,448
2,29,445
26,13,436
10,7,427
26,37,421
4,38,412
25,37,412
16,37,411
10,19,396
25,29,387
21,13,386
26,4,372
10,12,372
10,3,371
26,7,364
26,33,362
16,33,353
16,3,349
9,6,344
16,27,343
10,32,341
10,25,336
26,26,323
6,6,317
21,29,311
16,8,308
10,5,301
35,33,300
26,10,297
21,17,297
25,4,297
26,6,296
25,12,292
9,29,291
10,20,290
10,1,287
21,1,285
16,31,283
26,39,282
10,14,281
21,31,281
26,11,280
16,17,273
21,11,264
17,17,260
25,6,260
16,26,259
25,13,257
35,6,254
26,25,253
25,31,239
21,27,238
10,2,237
25,5,235
21,16,232
21,6,231
20,6,231
16,32,229
22,36,227
16,4,225
26,29,224
16,13,224
26,31,216
9,3,211
21,35,211
5,38,207
9,33,206
21,12,202
16,11,199
26,5,195
25,16,194
21,3,194
1,6,194
25,39,193
16,16,189
10,36,189
16,7,188
25,14,186
25,25,186
26,24,183
16,35,182
16,1,182
4,33,182
6,27,181
26,2,181
9,37,179
21,8,179
6,1,178
10,24,178
16,12,177
16,14,174
12,17,174
21,26,174
6,37,173
25,32,172
34,6,171
21,39,170
21,37,168
21,36,167
21,38,166
2,6,163
14,38,163
35,27,162
22,27,159
26,21,158
25,23,154
20,37,154
21,14,152
9,27,152
7,27,152
26,8,151
2,10,151
16,2,151
10,15,150
21,25,149
16,20,147
20,27,147
26,16,146
16,10,145
2,37,142
1,29,142
25,17,142
6,15,139
7,6,137
9,1,137
9,17,137
15,29,136
34,37,135
6,4,135
26,12,135
25,11,135
25,24,132
35,29,131
16,25,128
21,5,128
12,6,127
22,38,127
19,6,124
16,19,124
35,37,123
21,2,122
12,29,122
20,33,120
10,22,119
25,35,118
25,10,117
21,15,116
16,28,116
6,29,115
6,2,114
4,1,114
25,20,114
20,4,114
18,33,112
9,16,112
16,36,112
38,4,110
9,4,109
15,36,108
22,6,108
10,9,107
16,15,107
6,17,107
18,8,106
0,17,106
26,36,104
6,12,104
34,27,104
6,8,102
8,38,102
20,17,100
26,15,100
6,38,99
1,32,99
16,24,98
25,2,98
21,20,98
2,27,97
2,33,97
25,19,97
21,0,96
22,33,96
6,13,96
2,4,95
16,5,94
15,38,93
0,15,92
0,6,90
14,24,89
9,13,89
20,29,89
35,1,89
1,37,89
19,37,88
12,32,88
12,14,87
25,15,87
9,31,87
26,3,87
7,11,85
10,38,85
11,38,85
38,13,84
10,18,82
16,38,82
21,28,82
17,38,81
26,0,80
6,31,80
1,27,79
20,8,79
9,12,79
25,3,79
9,2,79
4,15,79
26,35,78
21,23,78
10,23,78
7,37,77
6,16,76
21,7,76
25,18,74
20,13,74
7,1,74
7,33,74
26,14,74
9,7,73
12,13,72
9,11,71
2,16,71
18,26,71
26,1,71
35,8,69
20,11,69
2,1,69
19,33,69
35,11,69
20,7,69
7,5,68
18,6,68
34,33,68
1,33,68
22,1,68
2,13,66
17,6,66
24,6,66
25,28,66
20,16,66
26,34,66
21,32,66
22,15,66
16,39,65
2,31,65
6,36,64
8,37,64
24,33,64
9,38,64
1,17,64
25,9,63
12,8,63
9,35,63
20,26,63
9,14,63
9,26,62
10,0,62
15,6,62
20,31,61
20,39,61
20,28,61
18,4,61
26,18,61
26,32,59
9,20,59
32,6,58
1,4,58
6,39,58
22,8,58
34,4,57
6,26,57
1,31,57
19,27,57
17,15,57
20,12,56
9,36,56
7,12,56
4,17,55
15,27,55
8,6,55
12,33,55
35,17,55
24,37,54
6,11,54
35,32,54
3,1,54
38,27,54
6,25,54
38,39,54
2,11,53
21,10,52
26,28,52
1,12,52
2,17,52
20,36,52
1,28,51
7,8,51
19,29,51
25,21,50
35,28,50
6,20,49
16,21,49
20,2,48
38,37,48
6,14,48
10,21,48
4,6,48
19,1,48
9,10,48
34,29,48
35,4,47
35,38,47
9,8,47
26,22,47
18,12,47
1,11,46
25,22,46
35,20,46
35,15,45
20,35,45
2,39,45
4,3,45
12,15,45
24,27,45
6,35,44
20,10,44
1,1,44
1,7,44
35,2,44
35,12,44
6,28,44
9,28,44
2,12,44
0,28,43
38,33,43
2,7,43
20,19,43
38,1,43
31,38,43
16,9,43
22,29,42
20,5,42
20,20,42
1,39,42
38,31,41
20,3,41
21,9,41
2,32,41
18,29,41
38,16,41
9,5,41
9,39,40
6,10,40
38,36,40
38,25,40
9,32,40
35,19,40
6,3,40
6,5,40
12,12,40
6,7,40
16,22,39
38,35,39
20,32,39
2,14,39
21,22,39
2,8,39
1,16,39
15,33,38
2,5,38
18,13,38
4,29,38
4,12,38
19,5,38
20,15,38
38,26,38
35,7,37
2,3,37
12,37,37
18,11,37
19,8,37
2,26,37
18,27,37
34,8,37
2,35,36
3,38,36
1,8,36
22,4,36
22,16,36
19,17,36
35,25,35
1,5,35
20,14,35
1,19,35
