cluster_a,cluster_b,n_paths
4,26,128
16,8,86
0,0,76
0,34,70
8,23,62
0,9,61
4,19,58
17,6,55
14,25,50
6,35,48
5,9,45
1,4,44
11,38,42
16,11,37
4,2,35
22,24,34
22,5,32
4,20,32
0,22,30
4,35,29
0,5,28
22,33,26
4,23,26
10,8,25
22,22,25
0,6,25
5,2,25
25,8,24
15,25,24
4,0,23
15,15,22
0,36,22
4,30,21
4,5,20
5,0,20
0,16,19
17,5,19
6,26,19
9,4,19
22,4,18
14,5,17
9,1,17
31,1,17
16,4,16
31,5,16
8,26,16
6,32,16
2,39,16
9,21,15
9,10,15
26,8,14
5,35,13
22,18,13
33,6,12
22,35,12
10,10,12
2,4,12
5,34,12
9,6,12
9,5,12
33,4,12
35,35,12
5,26,12
16,10,12
0,1,12
0,18,12
16,1,11
17,22,11
14,26,11
16,38,11
8,35,11
31,21,11
14,2,11
8,17,11
30,10,11
16,31,10
14,1,10
11,11,10
14,9,10
5,3,10
12,8,10
4,9,10
3,15,9
33,10,9
10,4,9
10,11,9
22,1,9
30,28,9
2,10,9
4,21,8
38,4,8
15,0,8
22,17,8
12,4,8
1,10,8
30,4,8
9,25,8
6,19,8
5,25,8
16,14,8
22,6,8
14,21,8
22,0,7
0,7,7
6,24,7
2,8,7
21,35,7
31,4,7
9,8,7
1,5,7
16,22,7
4,27,7
9,11,7
15,9,7
5,19,7
37,8,7
17,0,7
9,0,7
13,14,6
26,4,6
8,2,6
23,13,6
15,11,6
21,8,6
17,4,6
10,1,6
28,10,6
9,35,6
2,38,6
7,8,6
12,5,6
18,5,6
3,9,6
19,4,6
38,8,6
14,22,6
9,22,6
21,5,6
14,15,6
0,17,6
17,36,6
6,23,6
6,5,6
10,5,5
25,11,5
15,16,5
26,5,5
24,35,5
8,11,5
8,1,5
22,27,5
35,5,5
35,23,5
14,35,5
14,19,5
5,5,5
35,25,5
5,6,5
22,37,5
4,32,5
7,35,5
20,15,5
8,25,5
19,5,5
21,6,5
6,27,5
22,34,5
6,2,5
20,6,5
22,9,5
28,12,5
34,5,5
0,25,5
16,25,5
1,1,5
17,1,5
5,17,5
2,11,5
9,24,5
19,35,5
1,39,5
10,39,5
30,8,4
26,11,4
16,17,4
12,6,4
25,4,4
0,27,4
4,1,4
14,13,4
10,35,4
6,22,4
19,8,4
6,25,4
31,0,4
22,11,4
10,15,4
15,6,4
4,34,4
10,6,4
11,3,4
4,25,4
18,8,4
17,15,4
11,34,4
0,11,4
8,31,4
5,18,4
38,35,4
14,32,4
28,36,4
28,4,4
14,23,4
35,24,4
9,13,4
2,5,4
1,8,4
19,1,4
0,26,4
17,34,3
0,19,3
8,5,3
14,38,3
21,10,3
32,26,3
31,22,3
14,11,3
33,5,3
14,31,3
9,23,3
19,10,3
31,17,3
6,4,3
10,24,3
14,17,3
32,4,3
14,18,3
20,5,3
35,4,3
21,4,3
12,11,3
6,11,3
9,39,3
22,10,3
33,22,3
20,0,3
8,19,3
38,5,3
23,35,3
7,5,3
14,33,3
3,2,3
26,35,3
0,3,3
20,4,3
0,24,3
3,18,3
10,38,3
12,10,3
35,19,3
4,4,3
5,36,3
26,24,3
14,29,3
31,7,2
38,22,2
17,21,2
12,35,2
36,19,2
36,23,2
5,21,2
8,6,2
8,4,2
0,2,2
14,3,2
37,4,2
21,18,2
14,34,2
15,5,2
4,36,2
15,4,2
22,15,2
9,18,2
19,15,2
29,4,2
11,12,2
26,39,2
26,38,2
2,28,2
14,4,2
24,24,2
33,1,2
20,9,2
25,35,2
6,18,2
38,10,2
18,35,2
29,10,2
15,31,2
35,8,2
22,8,2
1,11,2
21,1,2
5,4,2
37,31,2
33,33,2
28,6,2
19,17,2
9,33,2
9,19,2
6,13,2
34,33,2
30,38,2
38,24,2
33,21,2
1,6,2
21,24,2
3,35,2
24,1,2
9,9,2
8,21,2
9,31,2
25,10,2
17,23,2
11,31,2
