cluster_a,cluster_b,n_paths
10,8,21654
26,8,11184
25,8,11144
21,8,10077
16,8,9998
10,35,7284
6,8,6141
9,8,5362
10,5,4872
10,4,4467
2,8,4343
16,35,4242
10,11,4198
1,8,4190
26,35,4007
20,8,3830
25,35,3817
7,8,3753
12,8,3738
10,6,3559
21,35,3383
38,8,3291
10,24,3237
16,5,3168
22,8,3039
35,8,2922
16,4,2805
15,8,2760
25,5,2661
4,8,2548
10,38,2497
21,5,2420
26,5,2417
18,8,2324
26,4,2265
25,4,2214
16,11,2182
10,39,2162
6,35,2141
10,26,2096
16,6,2095
9,35,2093
25,11,2093
26,11,2078
10,10,2077
10,15,1951
19,8,1883
21,4,1871
21,6,1870
35,35,1860
26,24,1815
16,24,1773
6,5,1746
25,24,1703
17,8,1650
11,8,1628
10,1,1574
25,6,1562
10,32,1526
21,11,1525
6,4,1523
21,24,1514
1,35,1494
2,35,1460
9,5,1430
26,6,1428
16,38,1405
7,35,1377
34,8,1311
20,35,1306
22,35,1289
9,4,1272
16,10,1232
16,39,1206
26,38,1205
6,11,1199
0,8,1196
16,26,1196
25,38,1178
6,6,1153
21,38,1151
16,15,1121
12,35,1117
38,35,1109
24,8,1095
25,10,1092
15,35,1079
26,26,1068
21,15,1062
2,5,1055
21,26,1048
9,11,1028
26,39,1017
20,5,1008
25,39,1004
26,10,1002
25,26,995
9,6,988
26,15,983
6,24,982
2,4,975
1,5,960
25,15,942
4,35,940
1,4,940
35,5,920
21,39,919
19,35,897
16,1,886
12,5,878
9,24,877
22,5,876
20,4,865
27,8,858
12,6,852
10,19,851
7,5,835
35,4,834
21,10,827
2,11,813
30,8,811
16,32,810
7,4,809
18,35,793
1,11,789
12,4,784
25,32,782
6,38,774
38,5,766
10,23,764
26,1,755
21,32,744
20,6,739
2,6,732
26,32,732
25,1,720
6,15,719
22,4,718
6,26,716
10,27,714
35,24,710
20,11,709
1,6,707
7,24,700
15,5,696
21,1,692
35,11,692
6,10,687
3,8,685
7,11,671
2,24,662
10,25,656
4,5,636
28,8,635
1,24,622
9,26,620
15,4,609
9,38,600
12,11,600
10,17,597
38,4,595
17,6,592
6,39,591
20,24,591
38,24,579
18,5,578
10,0,570
9,10,561
19,5,558
11,35,555
37,8,554
22,24,553
16,23,547
22,11,547
9,15,546
22,6,546
17,35,540
19,4,530
38,11,530
21,23,523
2,38,520
21,19,520
16,19,518
9,39,509
15,11,502
35,26,499
15,6,496
1,38,490
17,5,489
4,6,486
10,18,477
6,1,476
14,8,476
4,4,470
4,26,470
15,24,469
6,32,457
12,24,450
2,10,442
2,15,438
9,1,437
38,6,431
0,35,431
26,19,429
8,8,427
2,26,426
34,35,422
9,32,422
20,38,420
1,26,419
2,39,419
12,38,415
12,26,415
22,26,413
31,8,413
7,38,412
7,6,410
35,6,403
16,17,400
4,11,399
25,19,398
32,8,398
18,4,395
10,29,395
4,24,390
7,39,387
0,5,386
20,10,386
0,6,386
26,27,385
12,10,384
1,15,383
34,5,381
20,39,380
11,5,379
1,10,378
12,15,374
25,17,371
20,26,371
20,15,370
21,27,368
16,27,366
11,4,364
24,35,361
17,4,359
19,24,358
1,39,357
25,27,356
6,23,348
35,10,347
26,25,346
38,38,346
7,15,345
11,11,344
26,17,341
26,23,339
22,38,339
18,6,338
22,15,336
34,4,336
38,15,331
25,25,326
18,11,323
38,26,323
5,8,323
16,0,323
15,15,322
22,10,320
15,10,318
12,32,317
18,24,317
35,15,316
16,18,314
7,10,314
19,11,313
35,38,312
2,1,312
11,24,312
38,39,312
15,38,311
19,6,310
1,32,309
7,26,308
15,26,306
21,0,305
16,25,300
2,32,300
0,4,297
12,1,295
1,1,293
24,5,291
6,19,290
21,18,288
10,13,285
17,11,279
9,19,277
9,23,274
35,1,272
7,32,270
20,1,269
25,23,269
4,39,266
18,38,265
20,32,264
25,0,263
17,24,263
34,11,262
11,6,260
4,38,260
22,39,259
21,17,258
7,1,255
21,25,254
4,15,253
6,25,252
26,18,252
16,29,251
12,39,251
12,23,249
21,29,248
24,4,246
34,6,246
35,32,245
26,29,243
38,10,243
19,15,242
18,15,241
22,1,241
6,27,241
3,35,240
35,19,240
0,24,239
22,32,239
10,2,237
19,26,237
11,38,236
8,35,234
30,35,234
0,11,233
18,26,230
15,39,228
6,17,222
17,38,221
15,1,221
37,35,221
10,21,219
25,18,217
35,39,216
27,35,215
24,6,215
19,32,213
28,35,212
19,38,212
26,28,211
18,10,210
24,11,205
38,32,205
21,13,205
10,12,205
34,24,204
15,32,203
14,35,202
9,27,200
4,32,199
10,28,198
2,23,196
27,11,196
4,19,194
4,10,193
9,25,193
12,19,192
25,29,192
6,0,191
1,19,190
24,24,187
38,1,187
16,28,185
30,4,185
4,1,184
33,8,184
10,31,183
2,19,183
17,15,181
10,33,180
22,23,180
3,5,176
1,23,175
18,32,174
21,2,173
17,10,172
10,9,172
4,23,171
22,19,171
20,19,169
11,26,168
0,38,167
10,36,166
18,39,166
9,0,165
16,13,165
19,10,165
7,19,164
27,4,163
11,10,163
16,12,163
26,0,163
34,38,162
30,24,160
25,28,159
6,18,158
16,2,158
17,39,157
17,26,156
11,1,156
16,21,155
9,17,155
9,18,155
38,19,154
18,1,154
30,11,154
6,2,153
7,17,153
20,23,149
35,25,149
37,6,149
11,15,148
31,35,148
27,5,147
1,25,146
35,23,146
19,19,144
0,10,144
35,36,144
6,29,143
35,27,143
14,5,143
34,39,142
19,39,142
32,35,142
12,25,142
17,1,141
30,5,141
0,0,141
2,27,141
2,25,141
25,13,141
34,10,139
0,15,139
3,4,138
15,19,138
29,8,137
10,37,137
12,0,137
11,39,136
21,21,133
32,5,132
11,32,132
6,13,130
28,5,130
35,2,129
19,1,127
8,4,127
28,4,127
10,22,127
2,17,127
20,17,126
34,26,126
1,27,126
7,27,126
26,13,125
4,27,125
37,5,124
34,15,124
5,35,124
3,11,121
17,32,121
3,24,119
1,17,119
8,5,119
38,23,118
0,1,118
0,39,118
15,25,117
27,24,117
31,5,117
3,6,117
0,34,116
20,0,116
32,4,116
26,22,116
26,2,116
2,0,115
1,0,114
35,18,114
37,4,114
12,18,112
24,15,112
28,11,112
22,25,111
20,27,110
8,11,110
38,27,110
0,26,110
24,10,109
15,23,108
23,8,108
35,17,108
