risk_cluster,meta_family_id,n_paths
0,1,3
0,2,6
0,3,3
0,4,127
0,5,2
0,6,6
0,7,3
0,11,14
0,14,1
0,15,5
0,17,1
0,18,103
0,19,38
0,21,13
0,23,25
0,24,8
0,25,13
0,26,2
0,29,9
0,31,18
0,32,19
1,2,10
1,3,2
1,4,71
1,5,36
1,6,16
1,7,18
1,8,7
1,9,4
1,11,12
1,13,1
1,15,50
1,17,21
1,18,385
1,19,144
1,21,19
1,23,110
1,24,4
1,25,46
1,26,5
1,29,4
1,30,11
2,1,3
2,2,11
2,4,70
2,5,44
2,6,16
2,7,17
2,8,5
2,9,1
2,10,10
2,11,30
2,13,29
2,14,4
2,15,63
2,17,9
2,18,678
2,19,146
2,21,57
2,22,4
2,23,157
2,24,3
2,25,67
2,26,5
2,27,2
2,28,1
2,29,21
2,30,9
3,1,1
3,2,1
3,3,1
3,4,10
3,6,1
3,11,12
3,18,20
3,19,9
3,21,2
3,23,1
3,24,1
3,25,8
3,29,1
3,31,2
4,1,1
4,2,1
4,4,106
4,5,1
4,6,1
4,8,6
4,10,4
4,11,29
4,13,28
4,14,30
4,15,32
4,17,3
4,18,139
4,19,47
4,21,12
4,22,1
4,23,58
4,24,60
4,25,17
4,26,25
4,27,1
4,29,112
4,30,2
4,32,11
5,4,3
5,7,1
5,10,10
5,11,2
5,15,2
5,19,3
5,23,11
5,26,4
5,30,24
5,32,9
6,1,17
6,2,39
6,3,4
6,4,172
6,5,45
6,6,30
6,7,16
6,8,7
6,10,45
6,11,100
6,13,3
6,14,19
6,15,100
6,17,33
6,18,808
6,19,210
6,20,9
6,21,83
6,22,12
6,23,303
6,24,81
6,25,87
6,26,64
6,27,11
6,28,3
6,29,118
6,30,11
6,31,11
6,32,1
7,1,3
7,2,25
7,3,1
7,4,18
7,5,16
7,6,8
7,7,15
7,8,17
7,9,14
7,11,17
7,15,121
7,17,5
7,18,156
7,19,67
7,20,15
7,21,144
7,22,19
7,23,186
7,24,11
7,25,74
7,26,2
7,28,5
7,29,3
7,32,5
8,1,1
8,4,3
8,5,4
8,6,2
8,8,1
8,11,1
8,13,5
8,15,5
8,18,79
8,19,10
8,21,1
8,23,15
8,25,5
8,26,2
8,29,1
8,30,1
9,1,13
9,2,18
9,3,7
9,4,191
9,5,44
9,6,29
9,7,11
9,8,15
9,10,5
9,11,83
9,13,29
9,14,14
9,15,93
9,16,7
9,17,21
9,18,851
9,19,212
9,20,1
9,21,87
9,22,4
9,23,357
9,24,32
9,25,105
9,26,7
9,27,15
9,28,1
9,29,53
9,30,3
9,31,9
9,32,3
10,1,3
10,2,180
10,3,3
10,4,869
10,5,451
10,6,230
10,7,352
10,8,15
10,9,18
10,10,3
10,11,391
10,13,25
10,14,40
10,15,650
10,17,225
10,18,6226
10,19,1701
10,21,754
10,22,1
10,23,1962
10,24,30
