cluster_id,n_paths,mean_cosine_sim,median_cosine_sim,std_cosine_sim,min_cosine_sim,max_cosine_sim
0,2221,0.9144366572752347,0.92962247133255,0.03869398479701237,0.5592461824417114,0.9690201282501221
1,1079,0.9371713208202083,0.9510622024536133,0.02956535869494165,0.6601759195327759,0.9673622846603394
2,2703,0.8827477411521703,0.8924483060836792,0.050487945809050805,0.4799017906188965,0.95931077003479
3,3187,0.9573577398000034,0.9621731638908386,0.020452797278177767,0.8271917700767517,0.987714409828186
4,1366,0.9307225879341756,0.9360770583152771,0.025959354237929742,0.8287217617034912,0.9749428629875183
5,977,0.8918377493518646,0.8965743184089661,0.04202507541310709,0.5321462154388428,0.9609811305999756
6,2851,0.9253977915355089,0.9369677305221558,0.039756698550611314,0.6921374797821045,0.9783403873443604
7,1361,0.9209152151783279,0.9191465377807617,0.02637988873899939,0.664164125919342,0.9752956628799438
8,3294,0.8989319738903115,0.9121960401535034,0.04159062935647503,0.6138026714324951,0.9630780220031738
9,1610,0.9276736026224883,0.9417035579681396,0.0512878670757344,0.5316196084022522,0.9718698263168335
10,5069,0.9208755681067441,0.9275202751159668,0.03168111631968298,0.5729387998580933,0.9690202474594116
11,4777,0.9304341068321724,0.9413214921951294,0.03043398733974572,0.5955938696861267,0.9742895364761353
12,45,0.9042304383383857,0.9318768382072449,0.04928908950607815,0.7587206363677979,0.9486172199249268
13,1096,0.8758658115772435,0.871411919593811,0.07967015740562083,0.5024566650390625,0.9720953106880188
14,597,0.8802970547971614,0.903382420539856,0.05952929140033753,0.5925712585449219,0.9486472606658936
15,2720,0.7303396119681351,0.7361385226249695,0.07364339490068993,0.39526623487472534,0.9089545607566833
16,2168,0.932964089474335,0.9358820617198944,0.03518416575765267,0.6580235958099365,0.9760461449623108
17,313,0.9566280091532503,0.9708704352378845,0.0542866752706026,0.5991734266281128,0.9887672066688538
18,1990,0.9028155738085358,0.9194487929344177,0.05969675241652928,0.42952287197113037,0.965488076210022
19,1481,0.921754427208923,0.9230274558067322,0.02910484405632318,0.7942497134208679,0.9747892618179321
20,2386,0.8771758542926194,0.8867117166519165,0.05382458704171136,0.5759707093238831,0.9547502994537354
21,2082,0.9193760138309197,0.9210198223590851,0.02458846408154401,0.7624759674072266,0.9663410782814026
22,1769,0.9688076598621345,0.9811902046203613,0.026472687205086644,0.6305654048919678,0.9915926456451416
23,330,0.8581769397764495,0.8849824666976929,0.05197703454829952,0.6686349511146545,0.9311720132827759
24,1606,0.9574162555512872,0.9825834035873413,0.04989846290575454,0.7556253671646118,0.9904106855392456
25,3031,0.9266128108588747,0.9316608309745789,0.029321973983062542,0.6035100817680359,0.9680578708648682
26,1963,0.9380969879764474,0.9500348567962646,0.03658354251148311,0.6831287741661072,0.9749146103858948
27,880,0.9492357987571847,0.9517847299575806,0.027317159214996143,0.6245354413986206,0.9790499210357666
28,1450,0.9289681346663113,0.9393544793128967,0.04096837627335306,0.6422424912452698,0.9746147990226746
29,1030,0.9383225224550488,0.9366760849952698,0.019467082438367412,0.7094727754592896,0.9711025357246399
30,2009,0.9453942208458619,0.9494920372962952,0.03799952101544806,0.5746471881866455,0.9861202239990234
31,3776,0.9447425296056574,0.9402234554290771,0.019318493504285786,0.7527543306350708,0.9833674430847168
32,3164,0.8990063597783728,0.9093233048915863,0.043019853437502906,0.45519399642944336,0.9621316194534302
33,566,0.9275439677516479,0.9571763873100281,0.04579284675782998,0.6117590665817261,0.9751553535461426
34,1375,0.9352026658925143,0.9393548965454102,0.04056656402106938,0.5293468832969666,0.9777753353118896
35,1149,0.9386087671583688,0.9476311206817627,0.03277075154344463,0.7132390737533569,0.9846299886703491
36,869,0.9488619258680882,0.9686285853385925,0.05228486812343734,0.5462473630905151,0.9838992953300476
37,2154,0.8949358689917828,0.8958475589752197,0.03970424004512998,0.612666130065918,0.9565378427505493
38,618,0.9272866830663774,0.9270984530448914,0.031035890361587305,0.6905210018157959,0.9673885107040405
39,1809,0.9209926034153463,0.9209758043289185,0.027021720285465522,0.7709479331970215,0.9731201529502869
