node_type,cluster_id,n_nodes,centroid_sim_mean,n_unique_cats,split_reason,n_subclusters,sub_cluster_summary
risk,14,158,0.6784,1,large_size,5,"{'0': [('risk', 69)], '3': [('risk', 18)], '1': [('risk', 29)], '2': [('risk', 34)], '4': [('risk', 8)]}"
risk,6,214,0.8127,1,large_size,5,"{'0': [('risk', 55)], '4': [('risk', 15)], '1': [('risk', 69)], '3': [('risk', 52)], '2': [('risk', 23)]}"
risk,19,136,0.8648,1,large_size,5,"{'0': [('risk', 41)], '3': [('risk', 8)], '4': [('risk', 45)], '1': [('risk', 29)], '2': [('risk', 13)]}"
risk,21,179,0.9336,1,large_size,5,"{'2': [('risk', 97)], '0': [('risk', 57)], '3': [('risk', 14)], '1': [('risk', 6)], '4': [('risk', 5)]}"
risk,35,168,0.8877,1,large_size,5,"{'4': [('risk', 63)], '2': [('risk', 17)], '1': [('risk', 56)], '3': [('risk', 21)], '0': [('risk', 11)]}"
risk,12,102,0.8929,1,large_size,5,"{'4': [('risk', 8)], '0': [('risk', 65)], '2': [('risk', 8)], '3': [('risk', 13)], '1': [('risk', 8)]}"
risk,15,121,0.8022,1,large_size,5,"{'3': [('risk', 32)], '0': [('risk', 22)], '2': [('risk', 16)], '1': [('risk', 39)], '4': [('risk', 12)]}"
risk,0,299,0.7051,1,large_size,5,"{'0': [('risk', 66)], '1': [('risk', 105)], '4': [('risk', 54)], '2': [('risk', 45)], '3': [('risk', 29)]}"
risk,17,116,0.8179,1,large_size,5,"{'3': [('risk', 42)], '2': [('risk', 15)], '0': [('risk', 42)], '1': [('risk', 10)], '4': [('risk', 7)]}"
risk,10,367,0.922,1,large_size,5,"{'1': [('risk', 98)], '3': [('risk', 174)], '0': [('risk', 54)], '4': [('risk', 33)], '2': [('risk', 8)]}"
risk,20,105,0.8306,1,large_size,5,"{'0': [('risk', 27)], '2': [('risk', 36)], '1': [('risk', 24)], '4': [('risk', 14)], '3': [('risk', 4)]}"
risk,5,155,0.6763,1,large_size,5,"{'1': [('risk', 21)], '4': [('risk', 39)], '2': [('risk', 12)], '0': [('risk', 73)], '3': [('risk', 10)]}"
risk,9,219,0.8045,1,large_size,5,"{'0': [('risk', 89)], '4': [('risk', 23)], '1': [('risk', 39)], '3': [('risk', 40)], '2': [('risk', 28)]}"
risk,16,269,0.7521,1,large_size,5,"{'1': [('risk', 67)], '3': [('risk', 92)], '0': [('risk', 49)], '2': [('risk', 40)], '4': [('risk', 21)]}"
risk,4,341,0.745,1,large_size,5,"{'0': [('risk', 146)], '4': [('risk', 54)], '2': [('risk', 44)], '3': [('risk', 36)], '1': [('risk', 61)]}"
risk,1,114,0.7813,1,large_size,5,"{'0': [('risk', 36)], '1': [('risk', 11)], '2': [('risk', 48)], '4': [('risk', 12)], '3': [('risk', 7)]}"
risk,2,112,0.7792,1,large_size,5,"{'4': [('risk', 21)], '1': [('risk', 26)], '0': [('risk', 22)], '3': [('risk', 18)], '2': [('risk', 25)]}"
risk,8,126,0.7068,1,large_size,5,"{'0': [('risk', 53)], '3': [('risk', 20)], '2': [('risk', 28)], '1': [('risk', 10)], '4': [('risk', 15)]}"
risk,25,223,0.9443,1,large_size,5,"{'2': [('risk', 123)], '1': [('risk', 37)], '4': [('risk', 32)], '0': [('risk', 30)], '3': [('risk', 1)]}"
risk,7,142,0.9274,1,large_size,5,"{'2': [('risk', 31)], '3': [('risk', 35)], '1': [('risk', 48)], '0': [('risk', 26)], '4': [('risk', 2)]}"
risk,38,102,0.9145,1,large_size,5,"{'1': [('risk', 52)], '0': [('risk', 30)], '2': [('risk', 12)], '3': [('risk', 7)], '4': [('risk', 1)]}"
risk,26,235,0.9391,1,large_size,5,"{'2': [('risk', 125)], '0': [('risk', 64)], '3': [('risk', 30)], '1': [('risk', 13)], '4': [('risk', 3)]}"
risk,11,126,0.8172,1,large_size,5,"{'0': [('risk', 37)], '3': [('risk', 19)], '1': [('risk', 33)], '2': [('risk', 21)], '4': [('risk', 16)]}"
