edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
0.9,unconstrained,risk,14,2003,2023,20,2018.11,2019.0,158,158
0.9,unconstrained,risk,6,1998,2023,25,2019.7,2020.0,214,214
0.9,unconstrained,risk,19,2006,2023,17,2021.62,2022.0,136,136
0.9,unconstrained,risk,21,2013,2023,10,2020.45,2021.0,179,179
0.9,unconstrained,risk,35,2011,2023,12,2020.05,2021.0,168,168
0.9,unconstrained,risk,12,2009,2023,14,2021.19,2022.0,101,102
0.9,unconstrained,risk,15,2006,2023,17,2020.06,2020.0,121,121
0.9,unconstrained,risk,0,2012,2023,11,2019.87,2020.0,299,299
0.9,unconstrained,risk,17,2013,2023,10,2019.55,2019.0,116,116
0.9,unconstrained,risk,24,2011,2023,12,2020.44,2021.5,48,48
0.9,unconstrained,risk,10,2011,2023,12,2021.59,2022.0,365,367
0.9,unconstrained,risk,20,2008,2023,15,2021.31,2022.0,105,105
0.9,unconstrained,risk,5,2002,2023,21,2019.71,2020.0,154,155
0.9,unconstrained,risk,9,2010,2023,13,2020.45,2021.0,219,219
0.9,unconstrained,risk,16,2013,2023,10,2021.26,2022.0,267,269
0.9,unconstrained,risk,4,2006,2023,17,2019.57,2020.0,341,341
0.9,unconstrained,risk,1,2013,2023,10,2021.87,2023.0,113,114
0.9,unconstrained,risk,2,2015,2023,8,2021.1,2022.0,108,112
0.9,unconstrained,risk,8,1994,2023,29,2018.71,2020.0,126,126
0.9,unconstrained,risk,33,2017,2023,6,2021.45,2022.0,49,49
0.9,unconstrained,risk,25,2010,2023,13,2019.5,2021.5,222,223
0.9,unconstrained,risk,7,2004,2023,19,2021.5,2023.0,142,142
0.9,unconstrained,risk,38,2011,2023,12,2021.29,2022.0,101,102
0.9,unconstrained,risk,26,2010,2023,13,2021.3,2022.0,235,235
0.9,unconstrained,risk,11,2011,2023,12,2019.96,2021.0,126,126
0.9,unconstrained,risk,34,2018,2023,5,2021.68,2022.0,37,37
0.9,unconstrained,risk,22,2011,2023,12,2021.99,2022.0,221,221
